begin;pin_T_1_205;pin_T_1_205;pin_T_1_205;pin_T_1_205;pin_T_1_205;pin_T_1_205;pin_T_1_205;pin_T_1_205
6229;pin_T_1_205;pin_T_342_436;pin_T_1276_58;pin_T_1447_175;pin_T_1_205;pin_B_85_280;pin_B_1142_169;pin_B_1232_205
16759;pin_T_2_264;pin_T_202_432;vdd_T_1275_55;pin_T_1495_299;pin_T_1_205;pin_B_85_280;pin_B_1162_71;pin_B_1232_205
14714;pin_T_2_264;pin_T_162_290;pin_T_1165_175;pin_T_1495_299;pin_B_63_341;pin_B_71_168;vdd_B_1163_64;pin_B_1201_170
15930;pin_T_2_264;pin_T_162_290;pin_T_1251_226;pin_T_1364_279;gnd_B_65_359;pin_B_71_168;pin_B_1197_170;pin_B_1278_74
16553;pin_T_2_264;pin_T_246_210;pin_T_1194_284;pin_T_1364_279;vdd_B_63_361;pin_B_71_168;pin_B_1242_260;pin_B_1392_156
15100;pin_T_56_371;pin_T_281_208;pin_T_1189_270;pin_T_1298_354;vdd_B_63_361;pin_B_74_190;pin_B_1242_260;pin_B_1392_156
15475;pin_T_114_249;pin_T_281_208;pin_T_1197_274;pin_T_1215_276;pin_B_132_328;pin_B_208_209;pin_B_1242_260;pin_B_1357_183
14572;vdd_T_116_252;pin_T_236_217;pin_T_1124_295;pin_T_1215_276;pin_B_102_344;pin_B_278_150;gnd_B_1240_260;pin_B_1357_183
3368;vdd_T_116_252;pin_T_236_217;pin_T_1164_287;pin_T_1189_279;pin_B_102_344;pin_B_265_94;gnd_B_1240_260;pin_B_1401_154
2164;pin_T_26_334;vdd_T_238_216;pin_T_1199_272;pin_T_1219_275;pin_B_186_347;pin_B_221_48;gnd_B_1240_260;pin_B_1401_154
16318;pin_T_100_443;gnd_T_237_214;pin_T_1084_197;pin_T_1219_275;pin_B_166_461;pin_B_221_48;pin_B_1119_246;pin_B_1401_154
2713;pin_T_47_388;vdd_T_239_214;pin_T_961_209;pin_T_1208_238;pin_B_90_343;pin_B_221_48;pin_B_1170_244;pin_B_1401_154
2603;vdd_T_53_376;pin_T_274_97;pin_T_903_101;pin_T_1208_238;pin_B_90_343;pin_B_147_49;pin_B_1101_169;pin_B_1395_106
15172;vdd_T_53_376;pin_T_165_18;pin_T_830_86;pin_T_1183_239;pin_B_90_343;pin_B_142_119;pin_B_1038_246;pin_B_1395_106
10078;vdd_T_53_376;pin_T_163_68;pin_T_873_107;pin_T_1183_239;gnd_B_89_369;pin_B_270_114;pin_B_1038_246;pin_B_1391_183
14757;pin_T_11_351;pin_T_163_68;pin_T_873_107;pin_T_1183_239;pin_B_63_462;pin_B_274_142;pin_B_1010_356;pin_B_1416_293
6143;pin_T_11_351;pin_T_249_49;pin_T_827_180;pin_T_1202_269;pin_B_29_442;pin_B_211_217;pin_B_1010_356;pin_B_1420_378
1278;pin_T_6_387;pin_T_249_49;pin_T_899_262;pin_T_1138_253;pin_B_37_345;pin_B_270_233;pin_B_1010_356;gnd_B_1427_378
15736;pin_T_94_440;vdd_T_246_48;pin_T_899_262;pin_T_1138_253;pin_B_37_391;pin_B_174_233;pin_B_1010_426;gnd_B_1427_378
11663;pin_T_131_417;vdd_T_246_48;pin_T_899_262;pin_T_1138_253;pin_B_12_456;pin_B_103_335;pin_B_1079_351;gnd_B_1427_378
13487;pin_T_238_342;pin_T_246_154;pin_T_916_155;pin_T_1197_289;pin_B_12_456;pin_B_230_373;pin_B_1079_351;gnd_B_1427_378
