begin;0,0;0,174.75;324,0;324,174.75;0,0;0,174.75;324,0;324,174.75
9585;0.25,32.25;55,146.5;212.25,2.5;292.25,153.5;0.25,32.25;3.75,160.5;235.75,24.25;318.5,89
4818;23.5,18.75;51.5,104.75;210.5,14.5;295.5,158;0.25,32.25;42.75,132.5;220.25,14.25;318.5,89
8397;7.5,13.5;22,82.25;176,8;295.5,158;36.5,25.5;41.75,132.5;220.25,14.25;318.5,89
8995;7.5,13.5;22,82.25;176.25,8.5;282,126.25;43.75,30.75;46.5,109.25;196.5,38.75;318.5,89
9061;9,14.75;22,82.25;175.5,8.75;308.5,144.5;71.25,14.5;75.25,124;198.25,40.5;318.5,89
7556;13,22;19.5,79.5;182.75,38;308.5,144.5;80.25,42.75;89.5,157;184,8.5;318.5,89
9206;13,22;38.5,65.5;216,44.75;270,124;62.5,57.25;89.5,157;175.5,24;312.5,43.25
3277;37.5,20.5;38.5,65.5;248.75,54.25;270,124;62,57.25;80.25,144.25;167.75,18.75;303.75,11.75
3008;22,17.75;41,65;210.75,42.25;270,124;37.5,86.5;42.25,133;180.5,7.75;303.75,11.75
6695;22,17.75;66.5,54.75;232,51;270,124;59.75,76.5;65.75,167;180.75,8.25;315,25.75
1807;22,17.75;77,25.25;232,51;275.25,100.5;59,78.25;80.5,150.75;148,20;311.25,51.25
3662;5.75,3.75;77,27;232,51;300.5,88.25;87.25,63.5;113.5,163.25;123,8.75;311.25,51.25
3706;25,25.5;71.75,17.75;214.75,37;310.5,79;87.25,63.5;113.5,163.25;122.25,6.75;303,19.5
2225;25,25.5;90.25,35.75;215.25,36.75;313.25,66.5;108.5,42.25;113,163.25;122.25,6.75;280,18.75
10318;35.5,43;90.25,35.75;215.25,36.75;313.25,66.5;82.75,53;120,134.5;129.5,37.75;318,25.5
10382;35.5,43;76.5,28.75;215.25,36.75;311.75,72.5;116.5,63;120,134.5;131.25,21;302.5,21.5
2877;31.75,75.5;55,26;187,35.5;311.75,72.5;116.75,62;120,134.5;126,21.5;280.5,19.75
9290;31.75,75.5;81.25,26.75;187,35.5;272.25,69.75;112.25,73.5;119,131;126,21.5;305.5,36.75
7405;31.75,75.5;82.5,27;216,29.25;254.25,88.25;120.5,93;120.5,134.5;157.25,42;305.5,36.75
3766;36.5,64.5;66.5,58.5;216.75,28.75;254.25,88.25;96.5,110.25;131.5,110.25;137.25,37.75;305.5,36.75
1291;41.75,70;91.25,63.5;217.25,29.75;225.25,107;96.5,110.25;123,93;148,22.5;305.5,36.75
8539;19.75,67;92.25,61.5;216.75,28.75;225.5,114.75;69,113.5;112.75,74.25;148,22.5;305.5,36.75
6382;19.75,67;117.75,56.25;216.75,28.75;226.25,96.25;48,122.25;112.5,94;148,22.5;306.25,9.75
4298;47,66;110.25,72.75;212.25,57.5;249.25,75.75;48,122.25;123,126.5;148,22.5;306.25,9.75
9602;47.75,66;101,65.75;203,84.5;249.25,75.75;48,122.25;119.25,156.25;130.75,17;317,18.25
9211;29.25,69.5;101,65.75;199.25,107.25;249.25,75.75;49.25,125;119.75,156;130.75,17;302.5,37.75
10605;15.75,65.5;101,65.75;202.5,126.5;249.25,75.75;35.75,113;119.75,156;123.25,22.75;307.75,24.75
6373;15.75,65.5;104,91.75;203.75,136.5;249.25,75.75;41.5,103.25;119.5,154.75;122.25,37.25;313.5,42.75
4615;40,67.5;102,56.5;189,162.75;256.5,40.75;41.5,104.25;120,155.25;122.25,37.25;313.5,42.75
9562;53,101.75;67,53.75;189,162.75;257.25,40;41.5,104.25;110.25,134.25;122.25,37.25;302.75,25.5
2592;53,101.75;68.5,52.25;210.5,139;226.25,49.75;46.75,106.25;93.75,124;101.25,42.25;302.75,25.5
9533;55,101;87.25,75.5;210.5,139;234,24.5;44.25,106.25;82,110.5;101.75,43.75;302.75,25.5
4734;55.75,100.25;81.25,95.25;212.5,130;234,24.5;31,92;75.75,108;127.25,20.5;302.75,25.5
3029;55.75,100.25;81.25,95.25;205.75,133;220.75,15.25;48.5,103.5;94.75,128.5;127.25,20.5;268.25,32.25
9326;47.25,86.5;86,95.75;206.5,133;220.75,15.25;48.5,103.5;89.75,154.5;127.25,20.5;263,56.75
5765;47.25,86.5;86,95.75;184.75,114.25;220.75,15.25;49.75,133;80,151.25;143.25,23.25;274.25,29.25
6544;46.5,86.5;105,88.25;173,100.25;238.75,36.5;49.75,133;63.5,154.75;143.25,23.25;271.75,33
3062;46.5,86.5;98,95.75;153.25,117.25;232.5,47.25;49.75,133;83.5,139.75;136.25,34.5;271.75,33
9429;46.5,86.5;96,121.5;138.5,86.75;218.5,36;49.75,133;99.25,143.5;102,38;271.75,33
1337;34.25,87.75;97,121.75;138.5,86.75;235.75,63.75;81.25,138.75;84.5,138.25;97.5,71.5;271.75,33
5139;20.75,107;109.25,142.25;159,90;235.75,63.75;74,150.75;100.5,126.5;128,63.75;271.75,33
4665;1.25,127.5;109.25,142.25;151.5,64.5;235.5,63.5;74,150.75;93,124.75;135.25,90.75;271.75,33
8784;1.25,127.5;100.75,122;175.5,36.25;235.5,63.5;76.75,122.5;113.25,116.25;128.25,74.25;271.75,33
8385;14.5,103.25;100.75,122;163.25,21;219.75,77;60.25,91.75;113.25,116.25;116.5,82.25;294.25,4.25
9327;14.5,103.25;100.75,122;142.25,7.25;226.75,49.75;25.5,85;129.5,120.5;132,71.25;294.25,4.25
3507;31,121.75;100.75,122;142.5,8.25;236.25,33.75;25.5,85;111.75,92;168.25,76;263.75,20
8411;30,118.25;116.25,151.5;149.5,26.5;264.25,11;52.75,99.25;116.25,94;168.25,76;263.75,20
8413;27.5,103.5;116.25,151.5;148.5,26.5;262.75,15;73.25,125.5;84,89.25;175.25,108;263.75,20
6716;30,64.5;146.25,128.5;148.25,26;234.5,24;84,89.25;95,116;177.75,82.25;263.75,20
5179;49.75,61;146.25,128.5;148.25,26;210.75,21.75;61.75,72.75;101.5,99.75;168.25,74.75;256.5,19.25
7038;61,35.75;146.25,128.5;188.5,27;234.25,24.5;61.75,72.75;121.75,126;152,55.5;252,19.5
1483;71.25,44.5;146.25,128.5;207,16.25;227.5,31.75;64.25,92.75;121.75,126;141.5,25.5;252,19.5
2255;63.25,63.75;113,154.5;207,16.25;230.75,46.75;64.25,92.75;122.5,98.5;133,47.5;252.25,19
9303;72.5,95.25;103.5,170;178.25,14;230.75,46.75;62.5,62.25;129.25,99;141.5,36.25;252.25,19
8693;48.75,94.5;114.75,131.75;181,11;230.75,46.75;43.5,23.75;129.25,99;150,22.5;252.25,19
8443;48.75,94.5;104,155;180.5,11.25;230.75,46.75;44,31.25;128,73;161.5,58;263.5,49
4752;63.25,113;119.5,170;174,13.75;230.75,46.75;31,15.25;141.25,98;154.25,56.75;263.5,49
9592;63.25,113;111.25,166.25;179.5,47.25;230.75,41.5;16.75,33.25;130.25,67.75;141.25,98;247.75,85.25
3851;87,80;98.25,142.75;191.25,75.25;220,24.75;40,25.75;95,69.25;141.25,98;247.75,85.25
5945;87,80;101.5,143.25;188,37.5;246.75,28.5;43.5,22.75;87,43.25;141.25,98;246.5,83.75
6169;73.5,96;98.5,140;207.75,21.75;224.25,33.25;43.5,22.75;90.25,26.75;141.25,98;216.25,83.5
6338;73.5,96;110,170;238.5,3.5;244,28.25;43.5,22.75;88.75,31;129.75,58.25;216.5,85.75
7981;70,68.5;110,170;240,13.5;244,28.25;35.5,15.75;88.75,31;124.25,35.25;216.5,85.75
8362;79.5,26.75;110,170;220.75,14.5;243.5,28.75;37,37.75;101.25,37.75;124.25,35.25;216.5,85.75
2888;79.5,26.75;110,170;215,40.75;243.5,28.75;50.75,63.75;126.25,21.75;139.75,24;214.25,74.75
4275;75.75,31.25;110,170;215,40.75;242.75,29.5;68.75,92.75;105.25,8.25;145,41.5;229.5,90.75
5862;91.5,36.25;113,154;248.75,45.5;275.5,42.25;95.5,112.5;105.25,8.25;145,41.5;229.5,90.75
6146;110,61;113,154;253.25,39;280.25,70.75;72.25,93;106.25,5.75;145,41.5;199,111.5
999;107.75,58.25;113,154;253.25,39;296.25,85.5;72,93.5;132.75,22;133.25,47.5;218.25,122.75
5268;79.25,30.25;92,121;255.25,38;306,114.25;93.5,59.5;132.75,22;133.25,47.5;219,160.25
1986;66,40.75;78.25,98.75;228.5,22;305.5,151.5;93.5,59.5;132.75,22;133.25,47.5;228,145.75
2844;50.5,13.75;55.25,98.75;248.25,18.75;292.5,149.75;66.5,44.75;133.25,28.75;133.25,47.5;228,145.75
5285;13.25,21.25;37,67.5;230.5,25;288.75,151.75;73,10;101.5,39.5;133.25,28.75;228,145.75
9681;13.25,21.25;47,43.75;230.5,25;284.5,151.25;45,21.5;94.25,24.75;124.25,14.25;219.25,136
6495;13.25,21.25;34.25,52.75;230.5,25;311.75,158.5;71.75,27;76.5,36;126,23;193.75,147
5936;11,43;34.25,52.75;188,17.75;310.75,158;70.75,27;88.5,59.5;126,23;188,147.5
10227;7.5,49.5;34.25,52.75;177.75,46.75;310.75,158;70.75,27;82.25,51.25;126,23;163.25,120.25
9791;5,14.25;12,64.5;177.75,46.75;310.75,158;28.5,34.25;43.5,32.5;126,23;162.75,120
9371;5,14.25;12,64.5;169.5,48.25;313.25,150;33,52;43.5,32.5;148,20.5;164.5,132
5705;5,14.25;5.25,73.75;175,35.25;278.25,167.5;26.75,21.5;56,28.75;148,20.5;165,132
3550;11.25,15.75;29.25,71;175,35.25;257.75,147.25;26.75,21.5;56,28.25;124.75,23.75;169.25,165.25
8493;6.25,10.5;29.25,71;164.75,26;267,165.5;26.75,21.5;92.75,25.25;122,48;161.25,166.25
4720;6.25,10.5;48,55;134,44.5;267,165.5;26,60.75;79.25,10.5;84.75,36.5;161.25,166.25
8523;5.75,8.25;58,39.25;161,34;236.75,145.75;20.5,61.75;79.25,10.5;84.75,36.5;138,165.25
10281;30.75,23.25;58,39.25;149,8.75;234.75,153.75;23,70.75;76.75,12.75;84.75,36.5;134.75,165.75
9023;30.75,23.25;70.25,62.5;119.75,34.75;202.75,124.5;27,25.5;76.75,12.75;84.75,36.5;134.75,165.75
2394;30.75,23.25;84.5,26.75;102.75,59.75;202.25,137.5;35.75,21.5;58.75,1.75;108,42.25;134.75,165.75
2401;30.75,23.25;73.25,7.25;142.25,73.5;202.25,139;30,31.75;33.75,23.75;108,42.25;134.75,165.75
8755;2,21.75;61.75,51;151.75,63.25;207.25,109;48,75.25;63.25,44.75;108,42.25;134.75,165.75
3451;18,17.75;73.5,57.5;118.75,58.25;201,84.5;57.25,80;63.25,44.75;105.5,25.5;134.75,165.75
2474;31,23;74.25,97.75;129.25,33.75;203.75,104.75;63.25,44.75;79.75,82.5;88.25,31;134.75,165.75
