begin;pin_T_1_298;pin_T_1_298;pin_T_1_298;pin_T_1_298;pin_T_1_298;pin_T_1_298;pin_T_1_298;pin_T_1_298
1069;gnd_T_4_15;pin_T_45_492;pin_T_513_89;pin_T_633_329;pin_T_1_298;pin_T_1_298;pin_B_659_108;pin_B_675_294
3581;vdd_T_10_20;pin_T_97_429;pin_T_513_89;pin_T_535_345;pin_B_7_388;pin_B_45_240;pin_B_653_131;pin_B_675_294
8030;vdd_T_10_20;pin_T_97_429;pin_T_423_75;pin_T_535_345;pin_B_11_434;pin_B_96_215;pin_B_653_131;pin_B_677_277
1160;vdd_T_10_20;pin_T_115_450;pin_T_423_75;pin_T_491_240;pin_B_11_434;pin_B_149_300;gnd_B_654_118;clock_B_667_242
6820;vdd_T_10_20;pin_T_122_334;pin_T_360_23;pin_T_443_238;pin_B_21_392;pin_B_88_342;gnd_B_654_118;clock_B_667_242
7027;gnd_T_10_22;pin_T_111_255;pin_T_360_23;pin_T_429_241;pin_B_21_392;pin_B_100_316;pin_B_599_185;clock_B_667_242
6528;vdd_T_10_20;pin_T_111_255;pin_T_372_108;pin_T_424_309;pin_B_21_392;pin_B_102_320;gnd_B_601_185;pin_B_632_301
7877;vdd_T_10_20;pin_T_138_227;pin_T_418_169;pin_T_424_309;pin_B_21_392;pin_B_110_316;gnd_B_601_185;pin_B_679_348
7954;vdd_T_10_20;pin_T_23_222;pin_T_430_188;pin_T_459_239;pin_B_36_280;pin_B_69_352;gnd_B_601_185;pin_B_679_348
4296;vdd_T_10_20;pin_T_23_222;pin_T_411_125;pin_T_451_269;pin_B_61_224;pin_B_81_311;gnd_B_601_185;pin_B_687_354
6866;vdd_T_10_20;pin_T_23_222;pin_T_345_164;pin_T_440_201;pin_B_69_233;pin_B_109_232;gnd_B_601_185;pin_B_687_354
5253;pin_T_16_42;pin_T_23_222;pin_T_356_168;pin_T_361_174;pin_B_68_226;pin_B_104_334;pin_B_578_257;pin_B_687_354
4125;pin_T_44_83;pin_T_84_247;pin_T_325_162;pin_T_355_91;pin_B_68_226;pin_B_76_302;pin_B_606_296;pin_B_687_354
3495;pin_T_104_83;pin_T_111_263;gnd_T_331_180;pin_T_334_102;pin_B_50_175;pin_B_76_302;pin_B_606_296;vdd_B_677_355
7857;pin_T_104_83;pin_T_111_263;pin_T_279_201;pin_T_334_102;vdd_B_57_175;pin_B_110_229;pin_B_647_364;pin_B_679_380
55;pin_T_104_83;pin_T_119_288;pin_T_317_143;pin_T_394_170;vdd_B_57_175;pin_B_110_229;pin_B_573_393;gnd_B_679_360
7415;pin_T_39_19;pin_T_55_342;pin_T_335_91;pin_T_421_91;vdd_B_57_175;pin_B_110_229;pin_B_494_366;gnd_B_679_360
93;pin_T_39_19;pin_T_55_342;pin_T_295_54;pin_T_493_55;pin_B_76_216;pin_B_129_311;pin_B_501_386;gnd_B_679_360
6662;pin_T_2_48;pin_T_21_351;pin_T_316_128;pin_T_414_112;pin_B_95_305;pin_B_100_225;pin_B_501_386;gnd_B_679_360
5296;pin_T_2_48;pin_T_38_392;pin_T_402_112;pin_T_404_87;pin_B_40_340;pin_B_107_216;pin_B_548_308;gnd_B_679_360
7876;pin_T_2_48;pin_T_61_351;pin_T_367_112;pin_T_404_87;pin_B_76_283;pin_B_107_216;pin_B_599_290;gnd_B_679_360
5165;pin_T_2_48;pin_T_61_351;pin_T_376_204;pin_T_404_87;pin_B_137_302;pin_B_145_223;pin_B_542_300;pin_B_672_386
4833;pin_T_2_48;pin_T_41_347;pin_T_318_214;pin_T_397_108;pin_B_129_317;pin_B_222_211;pin_B_556_269;pin_B_672_386
3801;vdd_T_8_46;pin_T_49_357;pin_T_260_212;pin_T_370_110;pin_B_136_226;pin_B_140_217;pin_B_556_269;pin_B_672_386
4704;vdd_T_8_46;pin_T_42_363;pin_T_240_181;pin_T_370_110;pin_B_84_175;pin_B_109_216;pin_B_556_269;pin_B_640_442
7342;pin_T_2_17;pin_T_42_363;pin_T_247_95;pin_T_428_108;pin_B_84_175;pin_B_159_216;pin_B_504_244;vdd_B_640_440
6948;pin_T_2_17;pin_T_26_434;pin_T_247_95;pin_T_428_108;pin_B_75_219;pin_B_220_225;vdd_B_501_246;pin_B_591_402
8084;gnd_T_4_15;pin_T_26_434;pin_T_247_95;pin_T_515_99;pin_B_86_133;vdd_B_223_230;pin_B_471_179;pin_B_620_348
8111;gnd_T_4_15;pin_T_26_434;pin_T_247_95;pin_T_511_26;pin_B_67_70;vdd_B_223_230;pin_B_415_182;pin_B_668_336
