begin;pin_T_1_166;pin_T_1_166;pin_T_1_166;pin_T_1_166;pin_T_1_166;pin_T_1_166;pin_T_1_166;pin_T_1_166
2720;pin_T_1_166;pin_T_256_454;pin_T_303_92;pin_T_448_334;pin_T_1_166;pin_B_247_398;pin_B_320_91;pin_B_446_359
2702;pin_T_1_166;pin_T_276_416;vdd_T_307_105;pin_T_448_334;pin_B_60_164;pin_B_198_475;pin_B_363_91;pin_B_366_324
381;pin_T_1_166;gnd_T_299_432;pin_T_329_174;pin_T_479_301;vdd_B_65_176;pin_B_198_463;pin_B_353_177;pin_B_366_324
801;pin_T_1_166;gnd_T_299_432;pin_T_404_192;pin_T_421_359;pin_B_140_129;vdd_B_206_453;pin_B_270_214;pin_B_311_245
2837;pin_T_62_217;gnd_T_299_432;pin_T_404_192;pin_T_421_359;pin_B_54_167;vdd_B_206_453;pin_B_219_257;pin_B_350_199
2334;pin_T_100_170;gnd_T_299_432;pin_T_362_189;pin_T_424_311;pin_B_54_167;vdd_B_206_453;pin_B_310_252;pin_B_384_114
81;pin_T_100_170;pin_T_262_352;pin_T_362_189;pin_T_465_362;pin_B_42_224;pin_B_206_459;pin_B_376_313;pin_B_426_116
1110;pin_T_137_152;pin_T_247_425;pin_T_393_262;pin_T_456_441;vdd_B_10_225;pin_B_194_473;pin_B_376_313;pin_B_426_116
482;pin_T_191_182;pin_T_237_356;pin_T_314_297;pin_T_464_372;vdd_B_10_225;pin_B_272_441;pin_B_403_324;pin_B_426_116
1655;pin_T_191_182;pin_T_237_356;pin_T_316_351;pin_T_392_425;pin_B_30_334;pin_B_227_422;pin_B_296_328;pin_B_320_158
1276;pin_T_191_182;pin_T_197_306;pin_T_316_419;pin_T_365_426;pin_B_84_318;pin_B_227_422;vdd_B_295_331;pin_B_355_140
2027;pin_T_204_101;pin_T_252_261;pin_T_270_494;pin_T_365_426;pin_B_91_289;pin_B_222_441;pin_B_297_242;pin_B_355_140
2535;pin_T_204_101;pin_T_261_177;pin_T_280_482;pin_T_451_415;pin_B_87_281;pin_B_222_441;pin_B_277_254;pin_B_369_97
1694;pin_T_168_132;pin_T_261_177;pin_T_326_407;pin_T_392_420;pin_B_54_320;pin_B_222_441;pin_B_255_175;pin_B_328_103
741;pin_T_90_81;pin_T_300_173;pin_T_326_426;pin_T_414_418;pin_B_54_320;pin_B_222_441;pin_B_255_175;pin_B_276_61
2803;vdd_T_91_76;pin_T_365_115;pin_T_407_473;pin_T_452_346;pin_B_54_320;pin_B_248_486;gnd_B_262_183;pin_B_276_61
2285;vdd_T_91_76;pin_T_311_75;pin_T_352_416;pin_T_386_425;pin_B_48_248;pin_B_204_469;gnd_B_262_183;pin_B_277_71
1576;pin_T_66_110;pin_T_311_75;pin_T_312_355;gnd_T_384_444;pin_B_66_157;pin_B_189_424;vdd_B_257_185;pin_B_277_71
318;gnd_T_63_108;pin_T_247_24;pin_T_306_295;pin_T_419_404;pin_B_6_60;pin_B_189_424;vdd_B_257_185;pin_B_277_71
2419;gnd_T_63_108;pin_T_207_124;pin_T_273_267;pin_T_453_333;pin_B_6_60;pin_B_185_425;vdd_B_257_185;pin_B_331_91
1271;pin_T_124_95;pin_T_207_124;pin_T_273_267;pin_T_453_333;pin_B_3_121;pin_B_102_447;pin_B_222_247;pin_B_420_64
1920;pin_T_101_29;pin_T_270_171;pin_T_310_213;pin_T_415_327;pin_B_36_97;pin_B_102_447;pin_B_222_247;pin_B_444_88
2041;pin_T_101_29;pin_T_251_115;pin_T_366_192;pin_T_448_335;pin_B_56_170;pin_B_102_447;pin_B_279_244;pin_B_425_122
2013;pin_T_98_26;pin_T_171_85;pin_T_319_172;pin_T_465_414;pin_B_58_248;pin_B_102_447;pin_B_230_298;pin_B_425_122
2829;pin_T_98_26;pin_T_243_89;pin_T_393_174;pin_T_460_426;pin_B_38_165;pin_B_146_401;pin_B_259_243;pin_B_425_122
2181;pin_T_98_26;pin_T_209_12;pin_T_434_112;pin_T_463_381;pin_B_43_82;vdd_B_144_402;pin_B_262_244;pin_B_425_122
2547;pin_T_98_26;pin_T_234_90;pin_T_456_76;vdd_T_476_402;pin_B_107_122;pin_B_206_422;pin_B_322_248;pin_B_425_122
1827;pin_T_177_16;pin_T_242_165;pin_T_456_76;vdd_T_476_402;pin_B_60_126;pin_B_202_457;pin_B_345_156;pin_B_346_152
703;pin_T_204_9;pin_T_216_243;pin_T_449_94;vdd_T_476_402;pin_B_53_134;pin_B_202_457;pin_B_345_156;pin_B_357_150
1113;pin_T_211_5;pin_T_236_171;pin_T_385_170;pin_T_457_414;pin_B_53_134;pin_B_202_457;pin_B_337_95;pin_B_419_90
2350;pin_T_203_6;pin_T_258_161;pin_T_324_189;pin_T_457_414;gnd_B_52_130;vdd_B_206_453;pin_B_337_95;pin_B_479_40
1176;pin_T_210_9;pin_T_212_95;pin_T_393_191;pin_T_407_489;pin_B_52_158;vdd_B_206_453;pin_B_321_189;pin_B_479_40
1103;pin_T_210_9;pin_T_243_172;pin_T_332_213;pin_T_448_400;pin_B_52_158;pin_B_173_477;pin_B_365_191;pin_B_411_13
2215;pin_T_229_40;pin_T_312_207;pin_T_320_284;pin_T_448_400;pin_B_27_85;pin_B_173_477;pin_B_342_216;pin_B_352_89
2111;vdd_T_222_54;pin_T_223_250;pin_T_339_375;pin_T_448_400;pin_B_66_170;gnd_B_173_491;pin_B_343_176;pin_B_352_89
260;pin_T_199_144;pin_T_288_191;pin_T_390_420;pin_T_465_366;pin_B_66_170;pin_B_119_416;pin_B_246_183;pin_B_352_89
1557;pin_T_199_144;pin_T_286_179;pin_T_365_425;pin_T_454_341;pin_B_66_170;pin_B_106_415;pin_B_265_254;pin_B_395_130
2688;pin_T_199_144;pin_T_232_204;pin_T_364_420;pin_T_454_341;gnd_B_59_176;pin_B_65_466;pin_B_265_254;pin_B_401_78
1494;pin_T_234_180;pin_T_307_265;pin_T_398_419;pin_T_454_341;pin_B_42_129;pin_B_64_457;vdd_B_266_287;pin_B_401_78
2001;pin_T_209_247;pin_T_299_185;pin_T_398_419;pin_T_431_314;pin_B_24_163;pin_B_102_395;pin_B_319_244;pin_B_401_78
301;pin_T_157_182;pin_T_370_184;pin_T_395_412;pin_T_413_364;pin_B_35_80;pin_B_102_395;pin_B_319_244;pin_B_479_18
230;pin_T_167_133;pin_T_340_265;pin_T_380_412;pin_T_458_448;pin_B_43_88;pin_B_102_395;pin_B_319_244;pin_B_479_18
2436;pin_T_125_97;pin_T_341_213;pin_T_352_424;pin_T_458_448;pin_B_101_91;vdd_B_105_397;pin_B_221_243;pin_B_479_18
896;vdd_T_120_85;pin_T_304_303;pin_T_362_423;pin_T_461_380;pin_B_101_91;pin_B_121_421;pin_B_194_200;pin_B_479_18
