begin;0,0;0,224.75;373.75,0;373.75,224.75;0,0;0,224.75;373.75,0;373.75,224.75
12907;0,36.25;63,145.75;298,23.5;323.75,187.75;0,36.25;4,218.25;314.25,62.5;314.75,183.25
7443;0,36.25;52.75,184.5;267.5,73.75;313.75,220.75;0,36.25;15.75,179.5;315.5,58.75;319.75,182.25
16154;37.75,38.75;62.25,211;258.25,71.25;309.75,180;0,36.25;15.75,179.5;321.25,36;342.5,150.5
12995;43.75,2.5;52.75,167.75;288.25,76;309.5,174.75;0,36.25;49.75,169.75;321.75,36.5;342.5,150.5
16273;43.75,2.5;52.75,167.75;287.25,78;295.75,145.5;30.5,4;79.5,170.5;298.75,33;359,152.75
17320;43.75,2.5;52.75,167.75;253,89;318,129.5;67,17.75;109.25,186.75;262.25,26.75;359,152.75
5504;43.75,2.5;61.25,165;256,108;346.75,145.75;83.5,3;108.5,185.75;264.25,24.75;359,152.75
12242;43.75,2.5;62,156.75;282.5,103.75;307.75,161.25;52.5,17.25;96,207;264.25,24.75;339.25,139.5
13701;16.5,33;62,156.75;267.5,138.5;294.75,189.25;52.5,17.25;97,183.5;301.75,20.25;346.5,134.75
8406;33.25,30.75;62,156.75;266.25,159.25;294.75,188.75;52.5,17.25;93.5,192;301.75,20.25;312.5,153.5
16111;50.25,18;62,156.75;246.75,154.5;294.75,188.75;52.5,17.25;93.5,192;296,17.75;303.25,154.25
16052;45.25,18.5;74,178.5;246.75,154.5;261.75,200;28.75,18;103.5,185.25;296,17.75;304.25,181
15031;73,37;74,178.5;217.75,131;282,221.25;28.75,18;99,210.5;296,17.75;298.5,190.25
5901;71.75,36.25;74,178.5;196.5,103.5;329.75,208.25;56.75,35.5;99.5,212;296,17.75;300.75,185.5
498;35.75,37.25;93.75,214;180.75,90;344.75,165.25;34.25,71.75;99.5,212;279.75,25;300.75,185.5
16664;35.75,37.25;93.75,214;165,54;344.75,165.25;34.75,73.25;84,191.75;259.25,64.25;315.5,168.75
4060;50,22;118.5,203;129,55.5;344.75,165.25;45,88.25;71.5,185;279.75,79.5;315.5,168.75
13907;44.75,39.5;118.5,203;151.25,38.5;355.25,182.5;41.5,87.25;71.5,185;314,75.25;315.5,168.75
6966;53,20.5;118.5,203;157,79.75;355.25,182.5;73.75,105.5;91.5,181.75;316.75,78;339.25,139.5
8132;85,35;114.25,199.75;179,88.25;349.75,176.25;73.75,105.5;86.5,208.75;316,51.75;339.25,139.5
15683;58,14.25;123.5,206.5;185.25,104.5;349.75,176.25;50.75,122;86.5,208.75;318,51.75;339.25,139.5
11655;37.75,8;147.75,218;185.25,104.5;340,165.75;71.5,144.5;88.5,206.25;318,51.75;339.25,139.5
5899;37.75,8;145.5,218.5;186.75,87.75;325.75,136.5;81,170;88.5,206.25;318,51.75;367.75,171.75
2318;52,0.75;161,176;186.75,87.75;314,127;68.25,202.5;81,170;310.25,79.5;344.5,192.75
3004;60.75,13.25;156.5,165.5;163.5,73;314,128;68.25,202.5;93,182.75;274.25,72.5;344.5,192.75
3211;60.75,13.25;161.5,151.75;165,73.5;338.5,145.75;68.25,202.5;87.25,170.75;247,89.5;358,177.25
2004;59.75,14.5;156.5,186;172.25,87;315.25,157;68.25,202.5;105.5,159.25;250.5,114;358,177.25
10644;34.25,40.25;159,166.25;189,54.5;316,157;68.25,202.5;117.75,131.5;236.75,144.25;358,177.25
5999;35.25,44.75;159,166.25;189,54.5;287.5,159.75;63,215.75;144.25,129.75;236.25,144.75;355.25,179.5
15592;35.25,44.75;128.25,141;207,19.25;318.75,161.25;63,215.75;120.5,105;236.25,144.75;352.25,169
259;35.75,39;148.25,143.5;180.25,51.25;318.75,161.25;54.25,179.75;120.5,105;236.25,144.75;367.5,139.25
17056;47.5,3;179.75,146;180.25,51.25;318.75,158.5;54.25,179.75;100.75,112.25;212.5,124.75;367.5,139.25
3848;66.25,9.25;156,160.25;202.25,18.75;318.75,158.5;72,203;100.75,112.25;248.5,114.75;367.5,139.25
7387;55.5,25.25;156,160.25;211,14;312.25,153.25;61.5,172.5;67,105;244,93.25;367.5,139.25
9345;55.5,25.25;138.25,135.75;209,10.75;326.25,129;29,170.75;99.5,138.75;250.25,102.75;367.5,139.25
16392;41.5,48.75;145.75,138.25;209,10.75;324.25,116.25;30,171.5;131.5,113.75;250.25,102.75;367.5,139.25
17211;41.5,48.75;139,172;209,10.75;299.5,95.5;30,171.5;132.75,118.5;250.25,102.75;342,149
17628;73,39.25;167.25,166;191.25,8.5;299.5,95.5;30,171.5;132.75,118.5;250.25,102.75;310.75,151.75
17783;74.25,63.25;191,179.25;191.25,8.5;313,111.5;30,171.5;142.5,92.5;250.25,102.75;311.25,150.5
1278;54.75,83.5;191,179.25;200.75,19.75;331.5,83;46.75,184;167.5,76.25;251.25,134.75;311.25,150.5
17662;54.75,83.5;166.75,167;206.5,43.25;358.25,97;46.75,184;167.5,76.25;251.75,134.75;351.5,152.75
15199;66.75,82.75;166.75,167;184.5,60.25;358.25,97;18.75,190;167.5,76.25;252,135.5;356.25,185.75
16314;73,83.75;171.25,181.75;209,83.75;358.25,97;0.5,171.25;161,115;252,135.5;356.25,185.75
5206;62.25,46.25;152.25,155.5;209,83.75;346.75,128.25;0.5,171.25;129,94.25;252,135.5;317.75,184
16054;62.25,46.25;152.25,155.5;223,84.25;365.5,159.5;12.75,153;135.25,63.25;252,135.5;317.75,184
16215;64.75,43.25;160.75,177.25;223,84.25;366,163.25;12.75,153;120.75,47.25;239.5,151;291,180.25
5016;50.5,26;118.25,174.25;211.75,98;363.25,144.75;12.75,153;120.75,47.25;239.5,151;325,197.25
7905;56.25,61.5;105.5,156.75;211,98;363.25,144.75;13.5,179.5;130.75,39;239.5,151;298,183
12712;62.75,85.25;100.25,183.25;250.5,91;356.75,183.75;13.5,179.5;117.5,60.5;239.5,151;298,183
11463;62.75,85.25;128.5,203.75;250.5,91;351.5,184.75;14,179.75;94.5,55.5;212.75,123.5;313.75,180.5
7058;62.75,85.25;128.5,203.75;238,60.25;350.75,218.5;29.25,182.75;83.25,41;208.75,91;354.5,182
15853;62.75,85.25;146,215.75;238,60.25;349.75,185.25;29.25,182.75;74,28.5;207.75,90.5;359.25,188.75
11526;98.5,102.25;145,215.25;249.5,23.75;349.75,185.25;42.5,207.5;57.75,14;207.75,90.5;359.25,188.75
13663;117,85;145.5,221.75;287.75,35.25;354.5,207;37.5,210.25;57.75,14;207.75,90.5;341.5,151.25
12825;105,101.25;145.75,207.75;287.75,35.25;349.25,219.5;37.5,211.25;57.75,14;243,114;336.5,150.5
11906;116.5,56;145.75,207.75;248.25,21.75;349.25,219.5;37.5,211.25;58.25,15.25;253.25,74.25;299.25,153.25
16621;124.5,17.25;145.75,207.75;248.25,21.75;310.25,216.75;18,217.25;36.5,45.5;228.25,87.25;299.25,153.25
8090;124.5,17.25;157.25,168.5;252,2;310.25,216.75;32,217;37,45.75;198.75,108.25;267.5,159.75
14390;124.5,17.25;157.25,168.5;262.75,1.5;315.5,221.75;30,218.25;71,40.5;172.75,102.75;230,136.75
17206;124.5,17.25;157.25,168.5;262,3.25;315.5,221.75;51,173;89.25,53.75;166.5,140.5;203,114.5
9830;124.5,17.25;161.25,174.25;262,3.25;298,221.75;14.25,177.75;116,62;152.25,177.75;203,114.5
16672;124.5,17.25;161.25,174.25;261.25,29;298,221.75;2.75,191.25;140.75,70;186.25,196;204.25,116.25
496;103.5,15.75;158.25,189;273,53.25;300,218.5;2.75,191.25;140.5,56.5;186.25,196;204.25,116.25
13500;75.75,1.25;158.25,189;260,76;311,175.5;2.25,191.25;140.5,56.5;183.75,193.5;236,140.5
8403;71,22;158.25,189;258,108.25;315.25,157;28,158.75;140.5,56.5;208,183.75;243.5,114
15634;70.5,22;158.25,189;258,108.25;323.75,146.75;61.75,162;121,57.5;204,174.25;243.5,114
