begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
829;16.5,10;39.75,118;41.75,34.25;67.25,325.5;5.25,12.5;16.75,338;43,171.5;56,289.25
355;16.5,10;33.5,114.25;37.25,49.5;59.25,341.25;10.75,12;15.75,338.25;43,171.5;56,289.25
5075;9.75,8.75;18.5,149.75;31,30.25;59.25,341.25;13.5,50.75;15.75,338.25;49.25,197.5;56,289.25
8969;9.75,8.75;18.75,149.25;27.25,15.5;59.25,341.25;20.25,88;24,370.25;26.25,166;60.25,306.75
5147;6.5,51.75;23.75,164;24.5,53;28.75,307;20.25,88;24,370.25;26.25,166;29,273.25
5751;16,18.25;18.75,142.25;24.5,53;29.5,305.75;21.75,88.75;24.5,372.75;26.25,166;65.5,268.25
2746;5.5,64.5;12,120.25;16,18.25;20,315;6.5,54.75;24.5,372.75;30,170;50.25,236.5
10769;4.75,64;14.75,100.5;16,18.25;45.75,305.25;6.5,54.75;24.5,372.75;25.75,212.25;31.5,199
9848;4.75,64;14.25,98.5;16,18.25;28,270.25;14.5,55.75;24.5,372.75;38.25,225.75;65.75,176.25
6977;4.75,64;9.25,107.25;16,18.25;64.5,258.75;10.5,7.5;21,355.5;41.25,227;65.75,176.25
9890;4.75,64;9.25,107.25;61.5,33.5;64.5,258.75;2.5,14.25;24.75,360.5;32,210.25;52.75,197
4684;4.75,64;9.25,107.25;43.75,51;62,260;4.75,58;6.25,325.75;26.25,230.5;52.75,197
9807;4.75,64;14.25,139.5;32,56.25;62,260;4.75,58;7.5,343;26.25,230.5;66.5,172.5
5116;4.75,64;15.25,152.75;27.25,78.5;33,253;4.75,58;7.5,343;9.75,239;40.5,155.5
4097;4.75,64;22.25,189.25;53.75,90.5;64.75,275.75;4.75,58;20.5,360.75;34.75,264;40.5,155.5
4842;5.25,73.25;22.5,188.5;42.25,78;42.5,256.25;4.75,58;20.5,360.75;35.5,287;52.25,153
4829;5.25,73.25;34,187.25;42.25,80.25;59,235.25;9.75,46.75;20.5,360.75;24,287.5;55.25,151.5
7392;5.25,73.25;9.5,177.75;53.75,90.75;68.75,211.5;8,12;20.5,360.75;22.75,287.5;31,167.75
5176;22,55;33.25,150.25;53.75,90.75;65,225.5;8,12;19.75,350.25;22.75,287.5;31.75,168
4899;23,53.75;40,141.75;53.75,90.75;53.75,232.5;10,8.25;19.75,350.25;23.5,275.25;42,175.5
10899;25.75,73;30.5,150.25;44.25,78;53.75,232.5;7.75,51;19.75,350.25;37.25,299.5;38.75,174.5
1892;25.75,73;30.5,150.25;44.25,78;46.75,239.5;22,79.5;38.75,326.5;48.5,303;62.25,189
7363;22.75,65.25;31.25,179.25;44.25,78;69.75,217.25;21.25,96.25;38.75,326.5;47.25,302.25;52.25,183.75
5318;23.25,64.25;31.25,179.25;64,60.25;66.75,233;9.75,106.75;25.25,316.25;32.75,271.75;52.25,183.75
6524;23.25,64.25;31.25,179.25;64,60.25;66.75,228.5;0.75,86.25;36.75,325.5;38.75,266;55.25,206
8054;21.75,58.25;31.25,179.25;63.5,60.5;65,235.75;24,86.5;36.75,325.5;48.25,245;49,199.25
4955;20.75,106;28,128;63.5,60.5;65,235.75;24.5,59.5;32,326;40,224.5;49,199.25
6314;26.5,113;38,120.5;63.5,60.5;65,235.75;6.75,66;32,326;47,240.25;51,205.5
7418;13.25,119;38.25,126.25;55.25,58;64.5,258;23,48.5;32,326;47.75,241;51,205.5
11012;23,113;32.75,116.5;45,79.25;64.5,258;19,16;32,326;47.75,241;51,205.5
4605;45,79.25;51,115;56.5,103.75;60.75,292;10.25,12;28.5,329.75;51,205.5;52,232.75
10570;33.25,49.75;38.5,114.75;56.5,103.75;56.75,289.75;13.75,49;28.5,329.75;46.75,177;52,232.75
3380;13.5,44.25;13.5,124.75;39,117.25;50,287;11.75,67.5;28.5,329.75;46.75,177;52,232.75
7320;13.5,44.25;31.25,125.25;31.75,112.75;47.25,291.25;11.75,67.5;28.5,329.75;37.75,196.75;41,232.25
8063;12.25,44.25;28,126.75;43.75,89.5;61.5,326;11.75,67.5;19.25,334;28.75,233.75;37.75,196.75
3611;10.25,34;23.75,114.25;33.5,115;49,359.75;11.75,67.5;19.25,334;31.25,253.75;37.75,196.75
4017;10.25,34;30,142.25;41.25,98.75;49,359.75;41.25,58;41.75,362.5;44,266;58,184.75
809;2.25,63.5;23.5,131.5;30.25,113.25;49,359.75;17.75,57.25;19,360;49,305.5;58,184.75
3978;14,36.25;24,94.25;25,114.75;49,359.75;1,76.75;19,360;31.5,294.25;67.75,174.75
9940;10,45.75;28.25,61.75;42,115.75;56.5,367.75;1,76.75;19,360;31.5,294.25;33.75,167.25
1490;10,45.75;28,62;51,141.75;56.5,367.75;9,79.25;14,360.5;20.75,254.5;28,167.25
7727;10.5,45.75;32.5,78.5;56,149;59.5,351.75;2,91.25;14,360.5;20.75,254.5;45.25,167.25
1181;38.25,24.75;41.5,103.75;56.5,185;59.5,351.75;2.75,94.75;13.5,337.5;20.75,254.5;47.5,192.75
329;3.75,6.75;41.5,103.75;58.75,175.25;59.5,351.75;10,55.75;14,337.75;34.75,291;43.75,145.25
3436;36,5.25;37.5,93.75;40.5,129;58,327;10,55.75;22,366;34.75,291;43.75,145.25
