begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
5870;20,165.5;30.25,115;51.25,15.25;67.5,215.75;22.25,10.5;39.5,38.75;54.25,140.75;58.75,232.5
6350;8.25,202.75;21.25,115.5;51.25,15.25;69,228.75;22.25,10.5;41,38.25;41.25,118.75;58,211.5
9945;8.25,202.75;25.25,144.25;33,5.25;49.5,253.75;3,28;41,38.25;41,87.5;52,182
766;26.5,174.5;31.75,150;33,5.25;63,276.25;3,28;13,65.5;23.5,107.5;45.5,224.25
10843;18.5,216.25;31.75,150;32.25,5.5;42.75,254;8.75,30.5;13.25,58.75;36,88.5;45.5,224.25
9968;31.25,180.5;32,149;32.25,5.5;42.75,254;7.75,59;45,21.75;47,121.25;51.25,183.25
5329;35,221;38,137.25;45,17;69.25,226.5;24,80.25;30.75,2.25;47,121.25;51.25,183.25
8911;22,254;38,137.25;61.25,18;69.25,226.5;10.75,104.5;32,16.75;34.5,78.75;49.5,183.5
6615;22,254;37.75,112.5;40.75,21.25;62.5,226.75;4.5,141.5;23.25,9;34.5,78.75;62,172
590;22,254;37.75,112.5;40.75,21.25;60.25,199.25;33.5,167.75;34.25,21.25;44.5,45.75;61,156
7201;22,252.75;53,127.25;54.25,56.75;60.25,199.25;15.75,127.5;20.75,5.25;22,7;61,156
1881;22,252.75;22.75,113.5;54.25,56.75;60,235.25;30,94.75;40.25,49.25;65,31.5;65,172
9180;14.75,254;22.75,113.5;55,16;62.5,259.25;16,101;26,51.25;31.5,9.5;65,172
863;25.5,288.25;40.75,75.25;45.25,45.25;54.75,299.25;16,101;18,57;31.5,9.5;36.25,148.5
7126;32.5,306.5;40.5,45.75;40.75,75.25;49.75,305.25;26,81.75;27.75,86.5;33.25,17.25;36.25,148.5
5207;27,335.75;40.5,45.75;41.5,72.5;49.75,305.25;16.75,58.25;25.25,82.5;32.25,17;46.5,144.25
9384;39.5,332.25;40.5,45.75;44,78.5;45.75,283;14,51.75;30.75,56.5;32.25,17;46.5,144.25
4596;36.75,331.25;40,29;44,78.5;46.25,269.75;15.25,57;24,55;31.5,17.25;46.5,144.25
4389;26.25,349.5;27.75,49.5;31.25,52.5;46.25,269.75;14.25,91.25;20.25,91.25;31.5,17.25;46.5,144.25
6966;1.25,362;11.25,71.75;12.5,21;26,302;14.25,91.25;21,121.25;31.5,17.25;45.75,145
147;1.25,362;11.25,71.75;21,10;31.25,307;3,104.25;9,121.25;44.5,36.75;49,191
9487;20,328.25;21.75,116;24.25,35;43.5,318.75;3,104.25;9,121.25;17.25,11;49,191
238;13.25,312.75;18,132.25;22,12.5;43.5,318.75;7.75,66;28.25,126.75;29.5,47.5;49,191
5131;2.5,346.5;18,132.25;19,19.75;50,275.5;5.25,50.75;12.5,138.75;29.5,47.5;48,197.75
2012;7,312.5;18,132.25;22.5,20.25;33.25,256;2,8.75;14.25,125.75;26.5,54.75;48,197.75
4256;7,312.5;18,132.25;31.25,22.5;51,285;16.5,11;19.25,88;24.75,90.75;28.75,161.75
5088;7,312.5;18,132.25;26.25,52;50.5,252.5;17.75,28.75;21.75,88.75;23,95.5;44.25,145.75
8244;7,312.5;18,132.25;18.25,33.75;21,252;4.5,55.75;22.25,95.75;33,77.75;43.5,145.75
9685;8,314;18,132.25;18.25,33.75;34.25,253.75;1.5,28.75;17.25,54;19.75,37;52.75,107.75
11145;8.75,296.25;12,127;49.75,51.5;56.5,283.25;1.5,28.75;17,46.5;19.75,37;34,78
10137;8.75,296.25;12,127;49.75,51.5;59.5,302.75;15,58.5;17.25,48;31,47.25;42.5,59.5
9364;8.75,296.25;12,127;55.25,42.75;59.5,302.75;2.25,55.25;15.75,54;17,46.5;17.5,49.5
3120;4.5,340.25;27.5,94.25;55.25,42.75;59.5,302.75;2,53.75;3,12.75;26,55;54.25,48
10516;17.5,350.5;30.5,115;55.25,42.75;60.75,279.75;15.75,52;17.5,11;24.25,58.5;54.25,48
7432;9.75,358.75;35.5,78.5;37,67.25;46.5,255.75;1.25,41.5;17.5,11;31.5,97;54.25,48
5640;9.25,339.75;37,67.25;41.5,109.5;46.5,282;13.75,47.5;17.5,11;32.5,125.5;55.75,44.75
4902;34,359.5;34.25,59.25;50.5,116.5;64.75,276.75;13.75,47.5;31.5,7.25;35.25,133.75;55.75,44.75
6179;1.5,368.5;4.75,52.5;30.5,127.75;35,287.5;13.75,47.5;30.5,12.5;31.5,166.75;55.75,44.75
2888;1.5,368.5;3.25,82.25;6.25,107.25;39.75,291.25;18,83.5;20,23.75;22.25,161.25;55.75,44.75
5096;1,371.5;12.25,50.5;18,119.5;20,310.75;3,108;21.75,4.75;22.25,161.25;55.75,44.75
1951;2.25,347;11.5,50.25;38,137.25;39.5,331.75;3,108;16.5,7;27,167.25;55.75,44.75
8440;2.25,347;21,17.25;22.5,114.5;24.75,313;3,108;31,8.5;33,197.5;43,32.25
7802;12.25,309.75;26.75,60.75;29.5,113.25;39,275.25;5,85.25;31,8.5;33,197.5;37,76.75
4612;12.25,309.75;14.75,45.5;24.5,117.5;29.25,261;5.25,85.75;31,8.5;48,227;59,90.75
11073;3.25,295.5;30.75,59.5;48.5,134;52.5,276;5.25,85.75;31,8.5;40.5,264.5;61,124.5
11164;6.25,312.75;30.75,59.25;59.25,166.5;71.5,306.75;26.25,59.5;34,11.75;40.5,264.5;61,124.5
7526;30.25,305;36.75,51.5;59.25,166.5;62.75,287.75;6.75,65.5;32.5,46.75;60,288.25;61,124.5
3532;30.25,305;36.75,51.5;42.25,147.5;62.75,287.75;2.25,64;13.5,57.75;23.75,291;57.75,97.75
6570;3.5,313;7.5,50.75;24.75,150.75;62.75,287.75;1.5,80.75;21.25,51;35.25,264;57.75,97.75
4820;24.5,305;30.25,79;57.25,164.5;62.75,287.75;0.25,80.25;3,26.5;36.25,291;57.75,97.75
5406;26.25,299.75;30.25,79;41.5,126.75;48,292.5;13.25,38.5;20.75,47;29.5,324.25;57.75,97.75
2792;33.75,305;49.75,114.5;57.25,161.5;64,326.5;9,33;18,55.75;29.5,324.25;57.75,97.75
11046;30.75,302.5;49.75,114.5;63.5,161;69,339.75;9.75,32.75;15.5,50.5;29.5,324.25;57.75,97.75
7779;4.5,340.75;42.25,115.75;45.25,126.5;47.75,301.5;9.75,32.75;24.25,91.75;29.5,324.25;33.25,58.5
5734;4.5,340.75;14.25,141.5;42.25,115.75;66.25,300.25;31.5,7;32,79.5;38.75,326.25;49,78.75
9867;6.75,360.75;7.25,166;24.5,117.25;44.75,276.5;31.5,7;38.5,116.25;38.75,326.25;49,78.75
2043;6.5,361.75;7.25,166;41.5,147.75;53.5,261.25;31.5,7;35,133.75;63,353.5;66.75,90.5
6642;7.5,363;12,144.25;25.25,116;64.5,257.5;33.75,48;35,133.75;62.75,364.5;66.75,90.5
7257;18.75,361.25;20.25,158;21.5,116;33.25,252;5.75,47.5;35,133.75;44,373.25;66.75,90.5
10281;17,314.25;18,148;23.5,93.25;47.25,243.75;20.75,46.75;21.5,120.75;44,373.25;66.75,90.5
5062;24.25,349.25;31.5,114;41.5,65.5;47.25,243.75;14,58.5;22.25,121.25;35.5,370.75;66.75,90.5
11150;25.25,348.75;34.75,112.75;41.5,65.5;59.75,211.25;4,105;7.75,138.75;35.5,370.75;41.75,58.75
8466;25.25,348.75;36.5,93.25;41.5,65.5;59.75,211.25;6,144.25;17.25,147.75;18.5,373.75;25.5,47
4538;33.75,358.75;57.5,95.25;59,47;67.75,229.25;6,144.25;16,187.5;18.5,373.75;51.25,38
6569;37.5,359;39,62;39.75,68.5;62.5,273.25;11.5,138.75;16,187.5;22,364.5;51.25,38
7737;5.75,341;39.75,68.5;49.75,51;65.75,326.5;11.5,138.75;12.25,183;28.25,315.75;33.75,56.5
7666;13.75,310;29,94.25;38.75,68;63.75,360;11.5,138.75;12.25,183;13,360;21.75,10
8955;13.75,310;22,54.25;29,94.25;59.25,355.25;16.25,141.5;19,204;24,370.75;26,51
2663;20.75,302.75;25.5,26.5;29,94.25;32.25,347;16.25,141.5;17,179.5;24,370.75;60.25,78.75
5764;3.75,315.25;15.5,15;38.5,50.75;38.75,323.25;17,179.5;18.75,134.75;21.75,326.5;60.25,78.75
3743;3.75,315.25;33.5,21;42.25,36.25;64.5,289.25;15.75,141;17,179.5;21,373.25;42.5,79.5
5177;6.25,268.75;33.5,21;41.5,63;64.5,289.25;48,170.5;57.75,185;60.5,348;65.5,76.5
662;4.25,242.25;23.25,51;63.5,100.25;68.5,339.75;39.25,142.5;47.5,167.25;60.5,348;65.5,76.5
7068;4.25,242.25;21,82;51.25,118;68.5,339.75;34.5,150.25;45.5,168;62,361;65.25,77.25
5530;2,241.75;4.25,64;51.25,118;63.25,351.5;34,174;62.25,186;64.75,348.5;65.25,77.25
6123;2,241.75;4.25,64;17.75,135;28.25,354.25;15.75,125.25;23.75,190;64.25,346.75;66,44.75
3405;2,241.75;8.75,35.25;17.75,135;28.25,354.25;15,95;29.25,230.25;29.5,370.25;47,8.25
9186;3.75,270.75;4.75,52.5;39,149.25;62.5,356.5;6,58;29.25,230.25;29.5,370.25;47,8.25
2840;3.75,270.75;4.5,53.5;31,117;65,337.75;10,58.25;29.25,230.25;61.25,363.25;62.25,4.5
5356;3.75,295.75;4.5,53.5;37.75,156.5;43.25,343.25;9.25,56;29.25,230.25;61.25,363.25;65,50
1889;21.75,297.25;22,14;47.75,181.25;62.5,355;13.5,58.75;43.5,228;61.25,363.25;65,50
6900;21.75,297.25;22.5,12;23.25,205;62.5,355;23.5,95;47.75,248.75;63.5,365;64,30.25
1078;13.75,311.25;26.75,46.5;45,233.25;62.5,355;24.25,54.5;32.75,226;44.5,325.25;64,30.25
4680;12.75,311;32.75,21;40.25,253.5;56,356.5;29,47.5;32.75,226;44.5,325.25;66,42.25
6903;4.75,314.25;32.75,21;40.25,253.5;56,356.5;14.25,57;34.25,183.5;57.75,306.5;62.25,3.5
6528;32.25,303.25;37.25,34.25;42,256.75;55,356;25.5,50.5;34.25,183.5;36.25,276.75;62.25,3.5
6870;30.75,268;37.25,34.25;44.25,246.75;55,356;34,77.25;34.25,183.5;65.5,307.5;66,31.25
3614;21.25,305.75;33.5,22.5;44.25,246.75;71.75,306.25;37,69.75;43.75,226;56.25,294.5;66,31.25
4537;21.5,310.75;27.75,51.5;40,284;42.5,303.25;37,69.75;45.75,193;56.25,294.5;66,31.25
5878;7.25,312.5;23.75,50.75;30.75,253.25;42.5,303.25;5.75,55.75;45.5,224.25;65.5,292;66,31.25
8928;15,313;32.25,50.5;59,276.25;59,285.75;5.75,55.75;45.5,224.25;48,265.5;48.25,49.25
10554;15,313;38.75,67;49.25,256.25;63.5,263.75;5.75,55.75;28.25,233.75;47.5,242;48.25,49.25
6505;15,313;29.75,49.5;49.25,256.25;63.5,263.75;18.75,92.25;38.75,201.75;43,197.75;64.75,43.5
845;15,340.5;16.75,35;32.75,255.75;39.5,257.25;18.75,92.25;32,166.25;36.75,200.5;64.75,43.5
2552;15,340.5;16.75,35;31,257.25;39.5,257.25;17.75,56.25;25.5,199.5;35.5,161.5;60.5,36.25
7250;10,354.25;16.75,35;29.5,252.25;45.75,273.25;12,29.75;25.5,202;35.5,161.5;65.75,75.25
7262;10,354.25;16.75,35;40.5,251.75;62,262;17,48.5;25.5,202;36.25,175.25;65,77
2121;10,354.25;16.75,35;31.5,256.75;62,262;2,28.25;2,233;31.25,171;49.25,42.25
5199;10,354.25;13,57.25;53.25,248.5;58,222;2.5,15.5;2.5,231.25;17,133.75;49.25,42.25
5238;3.25,366;14,19.25;53.25,248.5;58,222;9.75,9.25;10,195.25;11.25,126.25;55,31.5
4196;3.25,366;17.5,15;28,269.75;58.25,213.75;13.25,50.5;15,199;21.5,121.25;55,31.5
4112;14.25,351.25;17.5,15;28.75,302.75;58.25,213.75;10.75,29;17.25,201.25;50.25,145.75;60.5,29.25
3671;14.25,351.25;38.5,38;49.25,305.25;55,242;10.75,29;17.25,201.25;48,145;64.75,35.25
6728;14.5,357.75;40.5,72.5;42.5,306.5;56,240.5;18.5,9.25;42.75,226;48,145;64.75,35.25
9620;14.5,357.75;14.75,72;23.25,306.25;53.75,231;18.5,9.25;31.5,269.25;37,161.5;44,31.25
1834;14.5,357.75;14.75,72;36.75,284.5;53.75,231;1.5,27.75;7.25,251.75;20.75,129.5;23.5,64
4770;6.5,313.5;14.75,72;48,281.5;63.5,219;0.75,28;7.25,251.75;41,113.75;47,91.5
8112;7.25,296;14.25,74.5;28.25,268.5;39.5,228.25;0.75,28;18,230.75;41,113.75;47,91.5
1592;4.75,312.5;9.75,82.25;30.5,270.25;39.5,228.25;18,59.25;18,230.75;35,126.25;41,88.75
3042;16.5,312.75;26.25,71.25;33.75,311.25;49.5,255.25;13.25,58.25;18.25,222.75;35,126.25;41,88.75
9255;13,315.25;28.75,51.75;33.75,311.25;65.75,233.5;22,59;24.25,185;35,126.25;42.5,96.5
7892;5.25,312.75;18,56;29,303.25;44.25,277.25;22,59;24.25,185;28.25,94.5;33,126.5
2608;5.25,312.75;16.5,12;23.75,313.5;45.75,231.75;7.5,77.5;24.25,185;37,69.75;44.25,153.5
46;5.25,312.75;13,12;50.75,272.5;62.75,272.75;4.5,79;20.5,161.5;26,49;44.25,153.5
2424;25,304.5;29.25,5.5;50.75,272.5;62.75,272.75;26.5,73.5;34.5,166;34.75,21;46,117
8615;21.75,311.5;29.25,5.5;46,252.5;46.75,245.5;3.5,84;21,182.5;34.75,21;49.5,134.25
3665;42.5,289;43.5,36.75;60,211.25;64.25,279.75;16.75,92.25;21,182.5;34.75,21;49.75,144.5
9166;4.75,259.25;11,59.25;29.25,181.5;64.25,279.75;5,80.25;21,182.5;25.25,30;50.25,145
10286;4.75,259.25;10.75,58.75;29.75,181.5;32.75,304;5.75,97.25;21,182.5;65,32.75;65.75,172.75
2034;4.75,259.25;10.75,58.75;35.5,157.75;69.5,336.25;18.75,67.25;26.5,166.25;41.75,41.25;64.5,172.5
10854;4.75,259.25;9.75,71;18,131.75;43,356.25;5.25,98;19.25,129.5;29,48;64.5,172.5
9999;4.75,259.25;10,34;31.75,128.5;43,356.25;0.25,77.5;13.75,90.75;58,86.25;67.25,176.25
1701;4.75,259.25;17,50.5;28.75,128.5;68.75,367.5;4.5,47.5;11,107.5;20.25,64.5;67.25,176.25
7604;3.75,310.25;17,50.5;24.25,146.5;38.25,352;14.25,64;26.5,58;65.5,51.5;67.25,176.25
286;8.25,313.5;17,50.5;26.5,156.75;38.25,352;17,58;38,59;39.5,69;42.25,193
2205;11,356.25;22,12.5;26.5,156.75;31.75,342.75;9.75,12;13,59;20.75,91.25;42.25,193
4491;3,353.5;22,12.5;25.5,157.25;53.25,339.5;25.5,2.5;36.5,75.5;41,87.25;42.25,193
3546;3,353.5;17,19.75;18,122.75;52.25,341.5;1,6.75;26,111.25;36.5,75.5;43.25,226.75
2685;7.5,367;27.25,32.25;33.75,117;47.75,363.5;1.5,17;26,111.25;36.5,75.5;43.25,226.75
3479;7,366.5;14.5,17.75;46.75,114.5;47.75,363.5;1,29.25;23.5,124.75;36.5,75.5;40.5,241
251;17,323.5;19.5,13;46.75,114.5;47.75,363.5;9.5,57.75;26.75,126.25;64.25,74.25;65.25,280.5
9705;17,323.5;19.5,13;46.5,115.5;47.75,363.5;23.75,87.5;42,87.5;59.5,83.25;64.25,283.75
2318;12,296.25;12.5,55.5;18.25,119.75;47.75,363.5;12,101.25;42,87.5;61,47.75;64.5,254.25
292;5,314.5;8.25,72.75;18.25,119.75;62.5,354;3.75,64;10.75,97.25;61,47.75;66.75,267.75
5598;5,314.5;23.5,114;56.75,102.5;59.5,342.75;22.75,54.75;32.5,75.25;64.5,45;66.75,267.75
6801;5,314.5;39.5,130.5;56,94.5;59.5,342.75;4.25,94.25;14.25,94.25;34.25,51;60,285
10823;5,314.5;5.5,115;57.5,90.25;59.5,342.75;22,105.5;42.75,115.5;53,57;60,285
2227;5,314.5;33.75,116.75;48.25,98.75;64.5,340.25;37.25,119;44.75,142.5;53,57;60.75,285
6692;34,328.75;37,119.5;45.25,79.5;58.75,356.25;37.25,119;40.75,171;53,57;67,269
2992;42.25,355.5;48.25,118;49.25,123.5;54.25,345.75;35.25,96.75;40.75,171;53,57;67,269
1546;25.25,348.25;30.75,112.5;37.5,117.25;39,304.5;35.5,79.5;40.75,171;53,57;60,309.25
9374;17.5,351;34.75,116;47.75,114.25;49.25,305.5;7.25,47.75;40.75,171;53,57;65,339.25
3317;5.75,315;38.25,112.75;46.5,101.25;59.25,281;7.25,47.75;49.75,199.5;53,57;63.5,356.25
458;34.5,336.25;44.25,109.25;50.25,109.5;50.5,254.75;10,4.75;18,166.25;53,57;63.5,356.25
4959;18,365.25;21.75,115.25;50,109;50.5,254.75;14.5,8.5;18,166.25;44.5,35.75;54,334
7305;1.75,368;21.75,122.75;40,98.5;50.5,254.75;17.5,3.25;18,166.25;23,56.5;63.75,346.75
1080;19.25,359;21.75,122.75;40,98.5;60.75,227;10.5,10.75;16,192;17.5,83.75;59.75,335.25
7314;19.25,359;21.75,122.75;25.25,94;62.75,201.25;6.25,9;13.25,161.25;14.75,54.25;25.5,321.75
3711;2.25,364;40,143.75;61.25,69.75;69.75,218.75;6.25,9;13.25,125.25;24.5,56.5;25.5,321.75
644;6.5,362.5;29.25,113.25;64.5,97.5;69.75,218.75;6.25,9;7,144.25;35.5,86.5;47.25,353.25
8205;6.5,362.5;40.25,147.5;54.25,60.75;69.75,218.75;5.75,54;9.25,91.25;31,129.75;47.5,354.25
10829;7.5,363;40.25,147.5;48.75,48.25;69.25,219;7.25,85.25;29.25,55.5;31,129.75;65.25,348
9611;2.5,353.5;40.25,147.5;52.75,47.75;56.25,219.5;4.75,54.25;15.5,50.25;29.75,126.25;65.25,348
651;2.5,353.5;27,168.75;29.25,50.25;49,252.75;2,53.25;18.5,10.5;29.75,126.25;37.75,336.25
5859;2.5,353.5;11,169.75;12.5,36.25;47.25,255.75;2,53.25;48.25,19.25;49.25,129.5;60,316.75
3034;2.5,353.5;11,175.75;15.75,51.25;52.75,274.25;24,67.5;46.5,24.25;49.25,129.5;62.5,318.25
5618;9.75,355.25;11,175.75;15.75,51.75;28.75,302;23.25,47.25;23.5,54.75;53.5,152.5;62.5,318.25
8222;2.25,373;12.75,203;19,17.75;61,301.75;23,51.5;24.75,66.5;53.5,152.5;62.5,318.25
6030;9.5,345;16,238.5;43,4.75;59,347.75;13.5,30.5;24.75,66.5;41.5,167.25;62.5,318.25
1256;2,373.25;25.25,204;43,4.75;56,349.25;13.5,30.5;39,62.25;50.5,184;61,347
10475;1,371.5;37.75,164.5;43.5,5.25;49.25,349;26.25,8;39.5,78;50.5,184;61,347
2009;34.25,354.75;37.75,164.5;43.5,5.25;68,341.75;31.75,55.5;34.5,76.75;45.75,166.25;62.75,343
1839;1.5,369.5;40,136.25;43.5,5.25;69,337.75;6.25,58;41.5,78.25;45.75,145.75;62.75,343
10954;1.5,369.5;17.5,122.75;19,17.25;58,349.75;21,49.75;41.5,78.25;45.75,145.75;47.5,368.75
9162;1.5,369.5;8.75,83.25;25.75,33.5;43,351.75;8,33.25;21.5,92.25;45.75,145;47.5,368.75
9518;1.5,369.5;5.75,122.75;25.75,33.5;43,351.75;6,51.5;9.75,49.75;32.5,141.5;36,370.25
288;1.5,369.5;27.5,141;37,4.75;38,304.75;9.75,49.75;11,67;31,98;60.5,344.25
1152;3,350.5;27.5,141;42.25,18.75;47.5,301.5;11,67;21,51;57.25,93.75;63.25,345.75
4061;3,364.5;27,140.5;42.25,18.75;53,341.25;29.25,78.5;43.5,63.25;60,82.25;63.25,345.75
2524;3,364.5;24,116.75;42.25,18.75;52.5,340.5;26,65.25;45,59;49.25,37.25;62.25,300
6559;3,364.5;7.5,152.25;42.25,18.75;43.75,332.5;5.25,57;5.5,40.25;9.25,46.5;44.25,299.5
10530;3,364.5;7.5,152.25;37.5,52.25;43.75,332.5;14.75,59.25;24.75,7.75;24.75,77.75;67,268.75
1143;3,364.5;24.75,114.75;47,19.75;62,356;14.75,59.25;22.25,10.25;25.5,78.5;36,289
10242;3,364.5;24.75,114.75;49,50.75;62,356;0.5,40.75;17.5,48.25;21.75,50.5;22.25,327.75
2761;3,364.5;37.5,94.25;49,50.75;51.75,351.25;19,10.75;39.5,87.5;48.75,33.25;58.5,317.25
8487;12.75,312.25;34.25,94;49,50.75;64.5,344.75;2,8;2.25,120.75;30.5,48.25;58.5,317.25
2134;12.75,312.25;46,112.5;54.5,101.5;64.5,344.75;2.5,21.75;3.75,81.25;14.75,54.5;67,335.75
6924;12.75,312.25;63.75,69.5;64.25,100.5;69.5,367.75;2.5,21.75;13.25,56.5;22.75,54.25;64.5,346.25
3103;27.25,351.5;33.75,79.5;63.25,121.5;69.5,367.75;1.75,33.25;13.25,56.5;46.75,29.75;60.5,317.25
3584;20,330.75;31,115;63,160;69.5,367.75;5.25,11.25;11.5,82.25;46.75,29.75;63.25,289.25
10965;15,358;53.75,99.75;64.5,175.75;69.5,367.75;13.75,10.25;15.25,55.75;45.75,31.75;63.25,289.25
7000;2.25,366;27,80;62.25,178.25;69.5,367.75;17.75,15.5;24.25,77.75;32.25,20.25;63.25,289.25
9214;27,353.75;31.5,93.25;59.5,166;69.5,367.75;22.25,51;29.5,54;32.5,47.25;63.25,289.25
1980;27,353.75;31.5,93.25;32.5,181.5;69.5,367.75;12.75,64.5;34.25,54.25;43.5,36.25;64,285
7992;24.5,313;47.25,79.5;55.75,204.5;69.5,367.75;5.25,49;40.5,79;43.5,36.25;63.75,291.5
7866;7.75,314.25;9,63.5;55.75,204.5;69.5,367.75;18.75,9.5;22.5,55.75;25,3.5;64.5,289.25
2267;7.75,314.25;45,80;55.75,204.5;69.5,367.75;16,12.25;26.5,11;62.75,11.5;67,268.5
5026;42,326.25;45,80.25;46.75,245;69.5,367.75;8,11;9.75,50;29,49.5;67,268.5
8965;24,310.25;29.5,117.75;38.75,253.75;69.5,367.75;2,18.5;9.75,50;40.25,87.5;60.5,288.25
3505;24.25,306;29.5,117.75;33.25,253.5;54,352;2,18.5;4.25,46.75;15.75,58.25;39,284
1805;12.5,259;22.25,139;38,233.25;50,354.25;2,18.5;4.25,46.75;22.5,52;24,258.25
5288;12.5,259;22.25,139;38,233.25;65.75,325;2.5,12.5;5.75,65.75;8.75,8;29.75,212.25
10000;12.5,259;25,116.75;40.25,252.25;40.75,301.75;7.25,33;23.75,51;25.75,48.25;29.75,212.25
7635;12.5,259;13,115.75;40.25,252.25;40.75,301.75;6,11.5;6.75,12.5;47.25,8.5;60.75,213
3001;21,253.75;33.75,155.5;33.75,257;40.75,301.75;7.25,49.5;19,7.5;39.5,24;60.75,213
6164;21,253.75;25.25,191.5;25.5,288.25;33.75,256.75;14.75,91.25;15.75,57;19,7.5;45.25,167.75
3293;3.25,247.25;4.75,205.5;6.5,312.75;23.5,255;14.75,91.25;15.75,57;19,7.5;26.25,161.75
4713;3.25,247.25;4.75,205.5;23.5,255;29.75,314.75;0.25,103.25;2.5,21.5;25.75,66;35,182.25
6473;3.25,247.25;25.5,187.25;30.25,260.5;36,344.25;0.25,103.25;8.25,58.25;18,57.5;36,185.25
5323;13,255;14.75,190.5;30.25,260.5;36,344.25;20.25,146.75;21.75,11.5;34.5,78;42.25,134.25
10078;13,255;43.25,181.5;46.25,252.75;62.75,367.5;4.5,170;9.5,7.75;24,57.25;42.25,134.25
10184;2.5,258.5;26,157;46.25,252.75;63.25,359.75;4.25,196.75;6.25,9;24,57.25;34,126.25
8133;7,260.25;35.25,154.75;46.25,252.75;58.25,355.25;10.5,199.25;15.5,9.25;24,90.75;34,126.25
6743;7,260.25;35.5,155.25;43,270.5;43.75,353;6.75,176.75;23.25,7.5;24,90.75;57.5,101.25
2935;7,260.25;35.5,155.25;43,270.5;43.75,353;10.5,134.25;16.75,47.5;26.25,86.5;60,83.25
9796;30,305.5;32,181.5;36.75,284.5;43.75,353;11.25,144.25;11.5,66.75;20.75,98.75;60,83.25
3704;30,305.5;32,181.5;36.75,284.5;41.25,347;9,197.5;21.25,51.25;22,55;36.5,69.5
6052;7.25,315;33.75,180;36.75,284.5;58,346.75;9,197.5;9.5,9;27.25,11;47.25,60
8390;8.75,346.5;16.75,202.5;23,306.25;54.25,346.25;9,197.5;9.5,9;45.75,45.25;64.5,43.75
7572;2.75,371;16.75,202.5;24.5,303.5;54.25,346.25;15.25,232.25;15.5,12.25;30.5,32.75;32,52
1643;12.25,354.75;16.75,202.5;24.5,303.5;54.25,346.25;4.25,235;15.25,7;23,4.5;50.75,59
8480;3,361.5;16.75,202.5;27.25,269.5;33.25,341.75;4.25,235;14,7.25;23.5,9.25;29,88
13;7.25,363.5;16.75,202.5;25.75,283;39,306.25;5.25,249.25;14,7.25;50.25,10.75;65.75,99.75
9041;24.75,349.25;27.5,174;30.25,253;45.25,303.5;8.25,248.75;14,7.25;64,30.25;65.75,99.75
7972;5.75,314.5;27.5,170;46.5,283.75;65.5,303.75;8.25,248.75;14,7.25;65,31.25;67,91.75
2324;5.75,314.5;8.5,153.25;18.25,260.5;41.75,307;4.75,250.5;8.75,8;23.25,48;67,91.75
8960;3.75,315.25;11.75,151.25;24.5,256.25;39.75,339.5;4.75,250.5;8.75,8;23.75,48;45.5,116.25
338;3.75,315.25;12,120.25;24.5,256.25;39.75,339.5;4.75,250;7,50.75;18.25,11.75;43,124.25
5392;3.75,315.25;14,84.5;25.25,260.75;38.25,316.25;4.75,250;9.5,58.75;25.25,20;42.5,98.5
867;3.75,315.25;18.25,72.25;31,284.25;64.5,338.25;4.75,250;6.5,47;25.5,19.5;33,87
3387;3.75,315.25;19.75,105.5;37.75,304.5;39.75,339.5;4.75,250;17.5,9.5;49,57.75;56.75,45.25
729;9,314.25;17.25,107.75;37.75,304.5;57.25,346.25;15.25,252.5;17.5,9.5;20,82.25;24,51.5
8592;2.25,351;3.25,88.75;36.75,342.75;56,344;3.25,235;8.75,10.75;20,82.25;24,51.5
10393;2.25,360;3.25,88.75;17,350;49.5,362;7.25,248.5;8.5,9.75;20,82.25;24,51.5
263;2.25,360;3.25,122.75;29.25,363;48.75,361.75;6.25,234.25;8.5,9.75;36.75,58.5;59,39.5
3009;6.5,361.75;27.75,165.5;58,356.75;69,343.75;5.75,247.5;8.5,9.75;22.5,87;59,39.5
6989;9.75,352.25;27.75,165.5;39.75,358.5;43.75,327;3.5,279.25;17.25,10.75;21.25,83;59,39.5
10511;9.75,352.25;28.25,188.75;29.25,346.75;42.25,322;3.5,279.25;8.75,47.75;13,57.75;67,76
5925;9.75,352.25;28.25,188.75;42.25,322;46,343.75;3.25,277.5;32,75.75;39.5,88;65.25,92.5
9983;9.75,352.25;27.75,189;42.25,322;46,343.75;24.75,256.75;31.5,59.5;47.75,107.25;64.5,92.25
60;9.75,352.25;23,216.5;42.25,322;64.5,344.25;19.75,252;23.75,50;50.25,113.75;54.75,48
359;7,350.25;13,192.75;14.5,328.25;64.5,344.25;19.75,252;24,49.75;36.75,134.25;44.5,22.75
4455;7.75,363.75;14.5,186.25;28.75,305.75;64.5,344.25;19.75,252;32.5,47.5;44.25,150.25;65.5,44.25
6481;7.25,363.5;14,190.75;28.75,305.75;64.5,344.25;3.5,276.75;6.75,67;35.25,184.5;56,79.75
9874;3,370.5;10.25,206;17,325.5;41,352.25;3.5,276.75;13.75,55.75;21,186;56,79.75
10721;3.75,341.25;28,171.75;31.75,315;41,352.25;3.5,276.75;13.5,89.5;24.25,184.5;42,36.75
2189;22.75,364;28,171.75;34.75,356.25;43.5,319.25;2.5,278.75;13.5,89.5;26.25,188;46.75,35.25
9132;8,340.5;28,171.75;34.75,356.25;43.5,319.25;4,231;13.75,55;38,191.25;38.75,58
