begin;0,0;0,324.25;274,0;274,324.25;0,0;0,324.25;274,0;274,324.25
20641;17,114.75;19.5,198.5;199.75,81.75;221.25,68.75;13.25,16.5;62,301;74.75,6.75;162,175.5
508;17,114.75;19,198.25;168.75,113;186.75,43;47.75,50;56.5,277.5;74.75,6.75;162,175.5
34161;19.75,114.25;40.75,200;157,100;186.75,43;53.25,51.25;56.5,277.5;75.25,6.75;186.5,171.25
13206;19.75,114.25;49,189.75;129.5,106;218,36.75;63.75,88.5;69.5,308;75.25,6.75;154.25,147
19226;17.75,78.5;65,213;131.25,105.75;218.5,37;63.75,88.5;69.5,308;74.75,6.75;134.25,135
36664;46.75,55.25;65,213;131.25,105.75;218.5,37;43.25,122.25;52.25,278.75;74.75,6.75;97,123
34871;46.75,55.25;65,213;157.25,99.25;200.75,41;21.75,148;30.25,260.75;38.5,25;56.5,137.5
21541;60,86.25;62.5,213;139.25,105.25;200.75,41;1,149;13.25,293.5;38.5,25;53,165.75
1680;49.5,95;99.25,222.5;139.25,105.25;214,45;1,149;19,256.25;38.75,70;84,198.5
6196;60,104.75;125.5,209;139.25,105.25;210.75,73;2,145;17,287;75,76.25;84,198.5
8415;63,111.75;90,195.75;166.75,138.25;208.5,32.75;1,157;19.25,248.75;75,76.25;84,198.5
4007;87.5,115.75;90,195.75;159.75,120.5;219,14.25;5.25,157.25;31.75,268;75,76.25;112.75,167.75
8195;84.25,147.75;94,211.25;160.75,101.25;219,14.25;5.75,157.25;31.75,268;74,49.25;119.75,156.75
34279;83.25,147.5;94,211.25;144.75,80;254.5,24.75;18,192;32.25,268.25;74,49.25;124.25,151.75
26425;86.5,142.75;101,196.25;163,104.75;242.25,41;18,192;32.25,268.25;33.75,47;90.75,147.25
16684;80.75,185.5;139.25,191.5;142.75,129;257,62.75;29.5,215;32.25,268.25;33.75,47;90.75,147.25
24904;36.5,186;135.25,227.25;142.75,129;220.25,64.75;29.5,215;32.25,268.25;50,33.25;100,173
8379;50.5,168.75;102.75,227.25;157.25,123.5;203.25,36.25;24.5,182.75;32.25,268.25;50,34;100,173
