begin;0,0;0,224.25;173,0;173,224.25;0,0;0,224.25;173,0;173,224.25
1714;0,134.75;58,134.5;145.75,40.75;165,102.75;0,134.75;46.75,163.75;103.25,45.5;119,119.75
2073;0,134.75;63.5,159.5;122.25,30.75;150.25,103.5;3.25,122;46.75,163.75;96.25,18.25;133.75,118
491;7,136.25;56,139;123.75,47.75;150.25,103.5;15,107;44.75,163.5;96.25,18.25;131.75,116.5
5791;9.75,137.5;56,139;123.75,47.75;150.25,103.5;30.75,95.25;44.75,163.5;111.75,17.25;119,126.25
3700;1.75,103.75;55.5,143.5;127.75,51.25;136.75,120.25;30.75,95.25;37.75,171.25;85.75,18.75;119,126.25
5776;2.25,118.75;55.5,143.5;127.75,51.25;133.25,119.5;4.25,112;43.25,202.5;85.75,18.75;126.5,119.5
3212;4.75,120.75;48.25,181;113.5,50.75;133.25,119.5;40.75,105.5;56.25,200.75;85.75,18.75;126.5,119.5
2307;3.75,121.25;68,196.5;113.5,50.75;126.25,127;59.75,105.75;62,191.25;85.75,18.75;123.5,118.5
4388;31.5,112;65,183.25;113.5,50.75;144.25,105;32.75,107.75;62,191.25;79.75,18.5;136,95.5
5940;32.25,106.75;65,183.25;96.25,27.75;141.5,80.5;36.75,78.5;62,191.25;79.75,18.5;136,95.5
1961;32.75,107;66.5,196.5;96.25,27.75;116.5,91.5;31.5,88;52.25,164.5;79.75,18.5;146,89.25
4261;32.75,107;52,215.25;96.25,27.75;116.5,91.5;11,111;39,168;75.25,13.75;132,116.5
5903;13.75,135.5;20.25,205.25;99.5,2.75;111,117.75;26.75,92;39,168;75.25,13.75;132,116.5
5502;5.5,115.25;30.5,175.75;99.5,2.75;99.5,131.75;14.75,106.5;55.25,198.25;88,19.75;132,116.5
5258;6,115.75;6,158.5;99.5,2.75;105.25,152.75;14.75,106.5;63,199.75;115.75,12.75;132,116.5
1150;6,115.75;43.5,151.25;99.5,2.75;112.5,177.5;2.25,112;63,199.75;85.25,6.5;155,124.75
4608;13.5,121.5;43.5,151.25;101.5,19.25;113.25,171.5;13.25,110.5;63,201.25;83,9.5;155,124.75
4637;1.5,104.5;43.5,151.25;105,51.5;110.5,171.75;38,136.5;44,203.5;82,8.5;155,124.75
5927;1.5,104.5;53.5,127.25;105,51.5;134.25,188.75;38,136.5;38.5,172;82,8.5;149.5,133.25
1847;30.25,100;53.5,127.25;110,50.25;124.25,207.75;34.75,169.5;43.25,170.25;82,8.5;149.25,140.5
1355;41.5,111.75;53.5,127.25;85.75,64;97.5,188.75;36,199.75;43.25,170.25;82,8.5;147.75,145
1667;4,114.5;53.5,127.25;85.75,64;94.75,185.5;26.5,193.5;34.5,196;82,8.5;148.25,179
4382;19.75,137.5;85.25,124;87.5,90.25;99,183.5;26.5,193.5;68.5,207.75;82,8.5;154.5,142.5
1496;30.5,146;42.75,127.25;51.25,102;72.5,173;26.5,193.5;68.5,176.75;82,8.5;154.5,142.5
5626;42.75,127.25;49.75,156.25;51.25,102;82.25,184;50.75,210.5;68,177.25;82,8.5;150.5,161.25
2796;42.5,128;49.75,156.25;79.25,113.25;81.75,185.5;38.75,200.75;54,169.75;82,8.5;150.5,161.25
209;2,135.75;79.25,162.25;99.5,145;107.5,171.25;54,169.75;59,210.25;82,8.5;122.25,191.25
3963;3.25,137.5;76.5,196.5;84.5,146;126.5,188.75;54,169.75;59,210.25;82,8.5;101.5,185.75
3154;3.25,136.75;76.5,196.5;84.5,146;162.25,195.75;52.75,166.5;53.5,201.25;82.5,15.75;87.25,155.5
3418;23.75,135.5;79.75,196;91.25,164.25;165,195;52.75,166.5;53.25,201.25;64.75,16.5;87.25,155.5
2245;1.75,162;79.75,196;81.5,177.25;164.25,174;48,169.75;63.5,187.75;66.75,18.5;87.25,155.5
1591;21.75,180.75;88,187;99.25,186;164.25,174;36.25,170.25;56,183.5;66.75,18.5;74.25,140.5
5515;17.5,197.75;86.25,200.5;87.75,187.25;164.25,174;36.25,170.25;56,183.5;66.75,17.75;85,160.75
5310;17.25,180.25;74.5,206.25;104,172.25;164.25,174;5.75,158.25;72,209.5;82.75,18;85,160.75
5250;48.5,164.5;68.75,175.25;85.5,189;139,149.5;5.75,158.25;72,209.5;79.75,18.5;85,160.75
513;33,176;43.5,177.75;99.25,215.75;139,149.5;4.5,154.25;72,209.5;79.75,17.75;91,145.75
174;34,185.75;43.5,178.25;95.75,219;148.5,160.75;4.5,154.25;48,199.5;88.5,18.25;91,145.75
4225;8.5,195.25;44.25,149.75;97.25,211.5;169,172.25;14.25,129.75;36,173;88.5,18.25;91,145.75
2497;25.25,207;53.25,158.5;126.75,209.25;141,174.25;14.25,129.75;20.25,199.75;88.5,18.25;106.75,139
4681;26.5,196.5;53.25,158.5;103.75,205;139,171.75;14.25,129.75;29.5,193.5;87.75,22.75;130,116.25
4828;24.5,196.75;48.5,162.75;104.75,205;121.75,178.25;32,113.5;59.75,201.25;87.75,22.75;130,116.25
188;13,189.75;51.75,145.5;104.75,205;123.25,187.25;39,97;61.75,194.5;87.75,22.75;130,116.25
1441;16,190.75;72.25,152.75;104.75,205;123.25,187.25;34.25,93.5;60.75,195.75;87.75,22.75;116.5,121.5
4561;16.5,185.5;72.25,152.75;99.25,185;128.25,210;34.25,93.5;44,172.75;101.25,23.5;131.5,119.5
1215;16.5,185.5;78.75,125.75;116.25,207.25;145.75,211.25;34.25,93.5;64.75,171.5;77.5,23.75;132.75,119.25
3842;16.5,185.5;78.75,125.75;116.25,207.25;145.5,182.5;12,108.75;52,170;73.75,51.25;123.75,125.25
