begin;0,0;0,124.75;373.75,0;373.75,124.75;0,0;0,124.75;373.75,0;373.75,124.75
8824;0.25,51.25;0.25,51.25;282.25,47.75;367.75,65.75;0.25,51.25;2.5,121.5;357.25,17.75;362.25,116
970;0.75,65.25;41.5,31.25;293.25,92.75;364.25,18.25;0.25,51.25;2.5,121.5;328.75,18.75;362.25,116
7150;0.75,65.25;35.5,3.75;303.75,91.5;364.25,4.75;8.25,87;31.5,107.25;328.75,18.75;360,116
5334;3.5,100.75;35.5,3.75;319,114.5;364.25,4.75;4.75,86;57.5,93.25;343,38.5;361.25,116
7151;29.75,64.5;35.5,3.75;306,111;341.25,32.25;19.75,45;90.75,102.75;343,38.5;348.25,86.25
2903;60.75,53.75;68.25,11.75;312,114;341.25,32.25;57,33.25;75.75,100.5;342.25,34.5;348.25,86.25
2327;60.75,53.75;66,23.75;312,114;341.25,32.25;56.75,22;94.5,68.75;302.75,42.5;362.25,85.75
709;38.25,67;95.25,9.75;326,87.25;338.75,36;56.75,22;85,57.75;284.5,42.5;362.25,85.75
3404;43.5,80.75;95.25,9.75;326,87.25;338.75,36;46,31.75;90,81.75;270.25,15.75;337.5,93.5
4424;42.25,41;91.5,45.5;307.25,98.75;338.75,36;42.75,62.5;121.5,106.25;271.25,15.5;337.5,93.5
4351;41.5,40.75;91.5,45.5;299.25,101.75;331,27.5;19.25,50.5;122.25,114.75;253,2.75;337.5,93.5
2907;25.25,61;67,29.75;272,114.75;330.5,27.5;26,63.75;102.5,99.75;253,2.75;337.5,93.5
979;38.75,54.5;67,29.75;272,114.75;306,15.5;25.75,62.5;97.5,73.75;272,4.25;340.25,96
5355;35.25,81.75;95.75,38;282.5,87.25;306,15.5;45,95;97.5,73.75;275.25,7.25;340.25,96
7793;10.25,98.25;117,18.5;282.5,87.25;306,15.5;15.75,83.25;97.5,73.75;274.5,6.75;319.5,99.5
2793;23.5,78;81,7.75;261.75,52.75;331.75,35.25;26.5,63.75;97.5,73.75;274,6.75;319.5,99.5
8756;42.5,80.25;81,7.75;284,83;356.5,17;23.5,43.5;96.25,48.25;274,6.75;299.75,77
3608;42.5,80.25;52,29.25;302,101.25;370,27.5;23.5,43.5;124.25,27.75;274.5,6.75;311,93.5
9026;28,61.75;52,29.25;302,101.25;370,27.5;23.5,43.5;136.25,8.25;273.25,42.75;310,123.5
4937;34.5,53;35.25,5;309,72.75;366.25,65.75;22.75,38.75;136.25,8.25;273.25,42.75;307,123.5
2157;34.75,56;65.75,12.75;319.5,56;339.5,47.25;22.75,38.75;136.25,8.25;240.75,54;344,123.25
4482;67.25,39;71,29.75;330.25,56.5;339.5,47.25;38.75,62.5;136.25,8.25;222.5,62.25;322.75,101.75
2437;46.5,47.25;60,62.75;330.5,57.5;339.5,47.25;60.5,33.5;136.25,8.25;228.75,53.25;351.5,97.5
4484;40.75,18.5;67.75,42.75;354.25,39.75;357,17;58.25,24.5;136.25,8.25;192.5,54.5;351.5,97.5
4640;40.75,18.5;55.25,35.75;322,19.75;354.25,39.75;55.75,55.5;131.5,6;175.75,76.75;351.5,74.5
7715;40.75,18.5;57,34.25;282.25,24.25;354.25,39.75;42,32.25;131.75,21.25;178.5,39.75;351.5,74.5
2149;40.75,18.5;67.25,51.5;282.25,24.25;363.5,68.5;53,51.25;115.25,40.25;179,40;357,87.5
5027;9.5,20.75;95.5,45.5;278,1.5;366.5,101.5;53,51.25;115.25,40.25;179,40;331,104
5385;18,3.5;102,26;289,7.25;359.5,117.75;53,51.25;122.75,4.75;178.25,39.25;331,104
8813;18,2;102.5,27.5;289,7.25;327,96;23.75,70.5;124.25,39;155,12.75;331,104
7186;19.75,10.75;102.5,27.5;273.5,30.25;295.75,98.75;4.25,46.25;124.75,39.5;155,12.75;331,104
8571;19.75,10.75;109.75,20.25;259,16.25;295,99.25;4.5,46.25;149.25,55.5;155,12.75;331,104
2124;3.5,14;109.75,20.25;264.5,22;331.25,112.5;6.5,17.25;149.25,55.5;173.5,7.75;328.5,103.75
3542;27.75,1.5;111.5,17.25;264.5,22;314.25,110.5;42.5,31.75;149.25,55.5;176.75,7.25;328.5,103.75
1880;30.25,4;111.75,16.25;275.25,2.75;311.75,114.75;45.25,23;149.25,55.5;176.75,7.25;318,99.5
6470;30.25,4;111.75,16.25;289.75,29.5;327.25,119;19.75,54.75;152.25,98.5;176.75,7.25;318,99.5
2948;29.75,4;101.5,21.25;281.5,1.75;327.25,119;43.75,89;155.5,54.75;176.75,7.25;312.25,57
