begin;0,0;0,324.5;123.75,0;123.75,324.5;0,0;0,324.5;123.75,0;123.75,324.5
4035;0.25,46.75;49.75,260.25;58.75,70;84.5,299;0.25,46.75;36.5,210;91.75,62.75;123.75,320
5378;25.75,64;52,256.5;59.75,69.75;69.25,276;0.25,46.75;38,214.25;91.75,62.75;123.75,320
1069;0.25,65.75;44.5,276.5;56.5,39;71,281.5;0.25,46.75;33,183;54.25,73.25;123.75,320
2955;15.75,61.25;32,246.75;41,59.25;59.75,259.75;0.25,46.75;33,183;52.5,71.75;123.75,320
4782;12.25,48.5;34,246.25;43.5,51;77.5,246.25;0.25,46.75;50,171;52.5,71.75;123.75,320
4872;6.75,24.75;34,246.25;62.25,33;87.5,228;0.25,46.75;51.25,158;67.75,82.5;123.75,320
1378;6.75,24;40.5,229.75;51.25,36.25;107,222.25;0.25,46.75;45.25,160;67.75,82.5;123.75,320
3944;6.75,24;12,249.75;72.25,18;107,222.25;0.25,46.75;33.25,126.75;44,92;112.5,286.25
940;12,42.5;33.5,263;62,7.75;79.25,196;0.25,46.75;33.25,127.75;58.5,112.75;112.5,286.25
5963;12,42.5;61.75,269;62,7.75;77.5,167;14,38.25;33.25,127.75;58.5,112.75;110.25,252
2072;47.75,62.75;61.75,269;67.5,20.75;77.5,167;2.75,46.5;38,95.5;76.5,83.25;112,235.25
1841;38.25,67.75;72.5,261;91.5,16.75;104,175;2.75,46.5;9,97.75;77,85;112,235.25
5577;38.25,67.75;59.25,268;96.5,50.75;104,175;21,20.75;25,115;77,85;84.25,231.25
798;27,62.75;65.75,295;96.5,50.75;97.25,183.5;21,20.75;38.25,129;77,85;97,204.75
773;43,63;70.25,269.75;90.5,49.25;97.25,183.5;30.5,4;69.75,121.25;77,85;91.5,202.25
4158;14.75,63.75;61.75,267.5;82.5,69.75;102.75,182.25;30.5,4;75.25,116.75;77,85;91.5,202.25
6109;46.75,65.75;51,301.25;96,99.5;102.75,182.25;13,12;41.5,92.5;75.25,116.75;90.5,202
5647;46.75,65.75;75.25,317.75;98.25,99.5;103,182.25;41.25,35.75;41.5,92.5;71.5,88.25;74.5,194.75
5605;46.75,65.75;74.5,317.25;79.25,103.75;99.75,222;41.25,35.75;41.5,92.5;56.25,72;65.5,169.75
1543;33.25,64.25;68,292.5;72.25,141;100.25,222.25;41,37.25;44.25,133.25;56.25,72;65.5,169.75
