begin;0,0;0,324.25;274,0;274,324.25;0,0;0,324.25;274,0;274,324.25
962;0.25,13.25;17.5,236.75;221.75,95;259.5,302.5;0.25,13.25;43,233;212,31.5;263,316.75
44274;29.5,30.5;48,257;173.25,96.5;247.25,315.75;0.25,13.25;43,233;243.25,63;263,316.75
28371;29.25,30.75;86.75,239;181.5,50.75;247.25,315.75;3.75,19;43,233;248,91;263,316.75
11040;29.25,30.75;95,271.5;187.25,63.75;266,302;3.75,19;46,216.5;214.25,90.75;263,316.75
7456;16.75,8;84,292.5;164,71.75;266,302;11,51.75;46,216.5;215.25,90.5;258.5,295
38255;46.5,12;84,292.5;184.75,83;272.5,286;4.75,42;46,216.5;215.25,90.5;227.5,301.25
33135;46.5,12;91.25,320;190.25,47;271.75,285.75;14.75,79;46,216.5;228,53.25;228.5,301.75
1509;46.5,12;93.5,322.25;190.25,47;271.75,285.75;31,110.75;54.25,243.75;229,30.75;233.5,312.25
13561;81.25,1;93.5,322.25;168.75,39;268.75,281;45.5,72.5;54.25,243.75;214.25,57.5;235.25,310
36444;76,1.25;141,312.75;162.25,38.25;266,280.25;45.5,72.5;56.5,274;214.25,57.5;235.25,310
42791;76,1.25;170.5,291;189.75,47.75;266,280.25;28.25,59.5;46.75,314.5;210.25,73;235.25,310
50380;76,1.25;183,311;189.75,47.75;234,298.25;14.75,86.5;46.75,314.5;210.25,73;223,299.75
49184;90.25,1;168.25,310.75;189.75,47.75;219.5,278.75;14.75,86.5;83,322.75;212.25,72.5;257.75,296.75
32766;81.25,44.75;169.5,306.25;187,43.75;219.5,278.75;33.25,55.5;66.25,308.5;211.75,72;257.75,296.75
15010;81.25,44.75;160.5,276.5;189.75,45;197.5,268;31.25,59.5;37.75,319.75;186.25,94.5;257.75,296.75
11621;83,51;178.5,302;186.25,42.5;197.5,268;31.25,59.5;45.5,301;165.5,85.5;257.75,296.75
28484;82.75,51.5;147.75,273.75;181,82.5;191,267;22,46;45.5,301;171,112.5;257.75,296.75
10552;52.25,49;152.5,272.25;181,89.75;186,243.5;43,75.5;45.5,301;163.5,135;257.75,296.75
25105;15,72;152.5,272.25;181,89.75;210,238;18.5,55.5;45.5,301;191.75,165.25;219,306.5
