begin;0,0;0,274.75;273.25,0;273.25,274.75;0,0;0,274.75;273.25,0;273.25,274.75
4939;21.5,48.5;52,161.5;148,78.25;246.75,105.75;0,173;0,173;240,3.5;267.5,252.5
10110;22.75,92.25;73,181.25;152.25,101.25;249,98.5;0,173;0,173;240,3.5;261.25,268.75
8549;53,124;53,162.5;136,148.5;239.5,124;0.5,211.75;39,165.5;240,3.5;261.25,268.75
9908;33.5,123;48.75,197.5;104.5,118.75;216.75,92;0.5,211.75;53.75,148.5;207,33.25;261.25,268.75
2192;32.25,123.25;46.25,188.5;104,117;192.5,103.5;0.5,211.75;89.5,160.75;176.75,8.25;261.25,268.75
7135;45,75.75;46.25,188.5;139.75,93.5;192.25,102.75;23,243.75;87.25,150;170,56.75;261.25,268.75
122;45,75.75;52,157;162.5,72.75;192.25,102.75;12,201.5;91.75,141.75;189.75,57.75;261.25,268.75
6206;27.5,72.75;52,157;138,62.25;192.25,102.75;38.5,166.25;66.25,159.5;230.25,74;261.25,268.75
87;34,73.75;38.25,185.25;148.5,31.25;192.25,102.75;11.5,143.5;71.75,187.5;230.25,74;261.25,268.75
9367;34,73.75;60,194.5;145.5,6.75;175.25,129.25;11.5,143.5;87.25,164.5;230.25,74;231.75,259
5609;33.5,68;69,197.5;145.25,32.5;149.75,142;25.75,110.25;78.5,163;230.25,74;231.75,259
4499;33.5,68;116.5,204.25;169,16.75;180.75,165.25;4,84.5;57.5,184.5;217.25,100.25;231.75,259
708;23,72.5;99.5,186;169,16.75;200.25,185.5;39.5,86;57.25,185;220.5,70.75;231.75,259
10090;3.5,85.25;119.75,173;150.5,56;200.75,185.5;39.5,86;66.75,169.5;220.5,70.75;231.75,259
9253;41.5,81.5;105.25,169.5;107.75,77;236.25,184;39.5,86;67.25,169.25;195.25,33.75;231.75,259
7868;48.75,46;105.25,169.5;115.5,74;254.75,164;63,95.5;89.5,162.5;195.25,33.75;263,266
10783;45.75,81.5;105.25,169.5;116,78.5;254.75,164;78.5,116.5;92,199.25;219.25,31.25;263,266
2656;78,86;97,186;137.5,90.75;257.75,142.25;78.5,116.5;91.5,202.25;220,34.5;263,266
2408;82.75,87.25;99.5,186.5;171.25,107.5;255,176.75;78.5,116.5;91.5,202.25;191.75,42;263,266
899;82.75,87.25;126.75,195.25;191.5,122.75;252.25,174;95.75,150.25;99,232.5;192.75,39;263,266
3086;112.5,95.25;114.25,232.25;191.5,122.75;252.25,174;67.25,177.75;99,232.5;178.75,33.25;269.5,252.5
8380;86,86.25;91.75,256.75;206,92;252.25,174;70.25,213.75;127.75,264.75;181.5,63.5;269.5,252.5
9510;99.5,77.75;103.5,241;195,132;243.5,138.75;70.25,213.75;127.75,264.75;181.5,63.5;267.5,253.5
8861;94.75,43;103.5,241;195.25,126;243.5,138.75;69.25,213.75;104.25,248;195.5,25.5;234.25,261
9719;101,78;103.5,241;198,115.5;217.25,119.75;82.25,223;104.25,248;202,12.25;234.25,261
10185;101,78;105.5,209.5;228.75,135.75;244.5,135.75;89,237.75;104.25,244.75;154,12.5;234.25,261
10389;57.75,57;105.5,209.5;230,134.5;244.5,135.75;104.75,236.5;131.75,226;140.25,25.25;234.25,261
1191;20.25,59.75;85.5,168.5;230,134.5;244.5,135.75;65.5,233.75;131.75,226;150,58;209.75,255.75
