begin;0,0;0,324.5;324.25,0;324.25,324.5;0,0;0,324.5;324.25,0;324.25,324.5
11037;0.25,11.5;58.75,273.75;274,13.75;274.25,223.75;0.25,11.5;93.5,318.25;247.75,103.5;254,310.75
11550;18,54.75;58.75,273.75;270.75,9.75;289.25,181;16,65;93.5,318.25;252,65.5;255.5,313.25
16580;40.25,38.75;55.75,281.5;270.75,9.75;289.25,181;15.5,93.75;93.5,318.25;241.25,75.25;241.5,287.75
41259;47.75,67.75;55.75,281.5;271.5,39;289.25,181;25,63.75;93.5,318.25;239.25,87.25;241.5,287.75
41576;28.75,72.75;55.75,281.5;312.75,13.25;318.25,205.25;47.75,63.75;93.5,318.25;218.75,97.75;241.5,287.75
23379;0.5,101.5;4.25,288.75;270.75,1.25;318.25,205.25;47.75,63.75;131.25,323.5;180.75,95.75;233.5,293
34490;0.5,101.5;34.75,272.5;281.25,4.75;299.5,161.25;47.75,63.75;131.25,323.5;156.25,94.75;195.25,301.25
15603;41,99.25;60,273;277.75,13.25;301.25,162.5;47.75,63.75;131.25,323.5;158.75,123.25;223.75,276.75
262;66.25,104.5;79,303.5;277.25,9.75;301.25,162.5;82.5,80;131.25,323.5;161,112.75;223.75,276.75
16774;39.25,108.5;78.25,315.25;277.25,9.75;301.25,162.5;82.5,80;131.25,323.5;134,141.75;211.5,301.75
39252;31.5,142;68.25,317.5;281.75,16.5;300,138.75;79.75,82.75;131.25,323.5;134,141.75;214,301.25
24800;8.25,156.5;68.25,317.5;258.25,5;303.5,149;80.5,83.25;131.25,323.5;159.5,159.75;248.5,275
28269;6.75,159.25;21.25,312.5;211.5,21.25;319.25,131;54.25,111.75;131.25,323.5;159.5,159.75;248,270.5
721;7.25,159.25;21.25,312.5;191.75,66;308,115;48,83.25;131.25,323.5;183.25,174.75;213.5,233.75
40976;6.75,159.25;17.75,290;187.25,98.5;308,115;30.25,73.25;145.75,309.75;190.25,154.75;213.5,233.75
3078;6.75,159.25;17.75,290;167.75,127.75;320,90;57.75,82.25;145.75,309.75;198.75,145;213.5,234.25
13288;6.75,159.25;48,294;167.75,127.75;320,90;53,94.75;129.5,323.25;177.25,144;185.25,259.5
4619;31.5,148;47.25,293.75;164.5,82.5;320,90;53,94.75;136,298;193.75,186;226,274.75
2018;29.5,148;46.75,293.75;172,79.25;320,90;63.5,101;103.75,296;193.75,186;214.5,272.75
35361;6.25,144.25;54.5,259.25;155.25,40.25;320,90;82.75,65.5;137,288.75;193.75,186;218,267.5
25612;7.25,144.75;59,296.75;155.25,40.25;319.5,101.5;64.5,102.5;152.25,274;193.75,186;234.25,306.75
24095;20.25,144.25;58.75,297.25;114.75,46.5;319.5,101.5;66.25,125;154,269;193.75,186;248.5,306.5
27758;20.25,144.25;87,305.75;114.75,46.5;319.5,101.5;55.25,150.25;137.25,241;202,173.25;228.5,306.5
25834;14.75,175.5;110.5,303.25;115,47.5;311,116.75;55.25,150.25;128,262.75;202,173.25;222,284.25
3203;39.5,179.5;92.75,286;147,83;311,116.75;57.25,146.75;128,262.75;187,185.5;255.5,298
39679;39.5,179.5;92.75,286;176,52.25;283.75,110.5;34.75,177.75;113.75,231.25;187,185.5;226,292.25
34112;39.5,179.5;66.5,305.5;173.75,76;281,113.25;34.75,177.75;103.75,221;153.75,198.75;224.75,285.75
11575;15.75,152;51.75,269.25;193.75,100.75;281,112.5;18,157;120.75,231.5;153.75,198.75;224.75,285.75
15088;44.5,155.75;51.75,269.25;179.25,88.25;245.25,121;47.5,130.25;120.75,231.5;150.75,198.5;191.25,296.75
10382;44.5,155.75;61.75,271.5;167,57.5;247.5,89.75;62,157.5;86.25,237.75;160,164.75;191.25,296.75
29096;16,152;96.75,268.75;179.5,51;247,91;62,157.5;86.25,237.75;136.25,168.25;161.25,275
37970;16,152;100.75,253.25;178.25,55.25;256.5,85.25;60,157.75;91.75,249.5;119.25,173.25;161.25,275
3571;32.75,186.25;103.25,291.25;178.25,55.25;237.25,104.25;73.5,195.75;91.75,249.5;119.25,144;151.75,272.5
26193;32.75,186.25;103.25,291.25;166.75,80.75;225.25,117;97.75,187.25;106.25,230.5;106.5,173.5;154,269
41148;32.75,186.25;66,273.75;171.5,56.75;193.25,148.75;97.25,186.75;106.25,230.5;106.5,173.5;159,320.25
38591;32.75,186.25;50.5,269.5;140.5,84.25;216.75,162.75;97.25,186.75;106.25,230.5;118,136.75;185.5,279.75
18696;32.75,186.25;34.75,289.5;127.5,83.75;198.75,172;98.25,187;111.5,198.5;119.5,133.25;185.5,279.75
18349;32.75,186.25;35.75,266.5;127.5,83.75;237.75,181.5;102,198.25;111.25,198.25;136.25,136.75;154.75,258.75
5739;32.75,186.25;35.75,266.5;96.75,94.75;237.75,181.5;88.25,187;135.25,182.25;173,143.5;194,226.75
5412;32.75,186.25;41.25,281.25;109.25,127.5;238.75,182;67.75,184.75;135.25,182.25;142.5,151.5;217.5,241.5
23015;22,226.75;25,274.75;109.25,127.5;238.75,182;91.75,156.25;137,183;142.5,151.5;253.25,268.25
13453;13.25,239.5;60.5,269;127.25,152.75;271.75,180.5;51.75,164;137,183;142.5,151.5;253.25,268.25
21809;13.25,239.5;72.5,295.5;113.25,166;298.75,218;52.5,164.5;111.5,198.5;182.25,145.25;253.25,268.25
40059;13.25,239.5;100.5,305.25;121,138;268.75,198.75;53,164.5;111.5,198.5;154,125.75;253.25,268.25
26326;11.75,239.75;102.75,275;139.75,103;260,231.5;41.25,149.75;106.25,216.25;154,125.75;253.25,268.25
36417;45.75,234.5;73.75,273;96.25,95;236.75,246.5;5.5,173;106.25,216.25;154,125.75;259.5,231
9395;15.5,249;50.5,290;100.25,82.5;244.5,225.5;5.5,173;93.5,237.5;154,125.75;259.5,231
