begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
1474;14,12.5;17.25,66.5;27.25,261;32,256.5;2,16.75;32,88;65.25,364.25;68.5,336.5
4320;13.5,14;19.25,67;37.25,257.25;59.75,288;21,41.5;31.75,56.25;65.25,364.25;68.5,336.5
5628;13.5,14;19.5,67.75;31,268.25;45.25,301.5;21.25,21.25;31.75,56.25;63.25,344.5;65.25,364.25
4476;13,15;16,93.75;22,246.75;33.5,315.25;1,46;52.75,58;63.25,344.5;65.25,364.25
1707;3.25,10.75;15.75,119.75;24,254.25;39.5,345.75;14,81;52.75,58;58.25,364.75;63.25,344.5
1090;3.25,10.75;13.75,150.25;29,255;33.5,351;34.5,79.5;44.5,79;63.25,344.5;65.25,369.75
5870;30.25,32;32.25,156.75;42.5,271;50.25,353;21.5,50.5;44.5,79;63.25,344.5;65.25,369.75
3822;20.5,65.25;32,125.75;41.5,272.5;51.5,341.5;21.5,50.5;44.5,79;52.25,304.75;60.5,346
5648;20.5,65.25;32,125.75;41.5,272.5;51.5,341.5;14.25,64.25;21.75,56.25;34.25,281.5;63,365
1651;5,61.75;23.5,127.75;40.75,245;41.75,328.5;14.25,64.25;21.75,56.25;27,265;63,365
482;5.25,62.25;14.75,134.25;40.75,245;58.75,340.25;21.75,56.25;24,66.25;44,281.75;60.75,373
2050;5.25,67.75;12.5,93.25;40.75,245;55.5,339.25;22.25,48;37,59;58.25,278.75;60.75,373
392;5.25,67.75;40.5,98.5;46.5,269.5;69.5,304.75;7.25,51;40.75,86.5;60.75,291.5;60.75,373
2417;6.25,68.25;40.5,98.5;46,303;63.5,263.25;16,48.75;40.75,86.5;57.75,272.5;57.75,372.75
5235;6.25,68.25;40.5,98.5;46,303;64.5,262.75;18,59.25;42,115.5;48.25,245;61.75,360.25
5737;6.25,68.25;32.75,128.5;41.75,302.25;56.75,287.25;35.5,78.75;48.25,144.5;48.25,245;61.75,360.25
1639;5.75,68.25;32.75,128.5;41.75,284.25;47.25,302.25;16.75,46.5;43,121;48.25,245;54,335.5
3882;5.75,68.25;20.25,152;33.75,256.25;40,306.25;16.75,46.5;24.75,130;38.75,277.5;54,335.5
5779;18.25,72.25;29.5,181;33.75,256.25;40,306.25;6.75,80.25;52.5,152.5;64.25,267.25;65.5,305.25
6284;5.75,82.25;5.75,205.25;37,235.25;58,300.75;23.5,67;46,119;64.25,267.25;65.5,305.25
3961;2.75,86.75;14.25,239.5;18.5,260.75;37.5,315.75;23.5,67;36,127.25;50,245.75;65.5,305.25
3650;15.5,57.25;27.25,270;29.25,261.5;47.25,306.5;7.75,58.5;43.25,161.75;50,245.75;65.5,305.25
1494;6.5,54;27.25,270;33.5,255.25;42.75,313;3.5,79.5;20.5,187;44.5,265;65.5,305.25
4089;6.5,54;42,256.75;64.5,258.75;64.5,284.25;3.25,79;20.5,187;35,294.75;65.5,309
4019;5.5,55.25;42,256.75;60.5,289.75;64,289.25;8.25,104.75;13.5,219.5;31.75,292.75;65.5,309
733;19.25,93.5;21.25,249.75;60.25,306.25;64.5,263;8.25,104.75;30.25,234.5;31.75,292.75;65.5,309
1045;15.75,119.5;32.5,254.25;47.25,306;50,255;8.25,104.25;30.25,234.5;31.75,292.75;60,289.75
3125;6.5,132.75;8,254.5;23.25,310.75;39.5,252.25;8.25,104.25;30.25,234.5;40.25,291;60,289.75
6108;6.5,132.75;7.5,240.5;23.25,310.75;63,264.5;20.5,66.5;30.25,234.5;32.75,288;63.5,279.75
2071;6.5,132.75;7.5,240.5;7.75,311.75;62.5,266.25;8.25,48.25;29.75,235;30.75,290.5;37,265.5
727;5.5,131.75;10.25,259.75;32.75,302.75;62.75,299.25;21,22.75;29.75,235;30.75,290.5;45.25,266
531;18.25,132.5;22,240.5;32.75,302.75;61,296;13,55;28,231.25;30.75,290.5;36.5,258
1279;10.5,126.5;22,240.5;44.5,280.75;54,290;17.25,57;28.75,231.25;30.75,290.5;40,224.75
1189;10.5,126.5;25.25,252.5;29.25,305.75;62,256;20.75,47;25.5,257;30.75,290.5;60.25,232
