begin;0,0;0,324.25;274,0;274,324.25;0,0;0,324.25;274,0;274,324.25
5259;0.25,13.25;49.75,320.5;163,71;201.25,209.75;0.25,13.25;33,264.75;240.5,89.25;263,316.75
310;0.5,15;49.75,320.5;121.25,49.75;258.25,220.25;0.25,13.25;28.5,217;242.75,89.25;258.75,298.25
2776;2.25,23.5;55.5,260.5;67,59.25;208.25,226;0.25,13.25;15.5,203;242.75,89.25;260.75,303
8218;21.5,24.25;61.25,252.75;68,58.75;208.25,226;1,10;33.25,174;242.75,89.25;260.75,303
12383;21.5,24.25;43.75,214.25;82,56.5;204.75,234.5;9.5,51.25;54.5,171.75;242.75,89.25;260.5,303.5
40;6.25,48.5;48.5,225;82,56.5;176.5,212;45.75,36.5;95.75,162;242.75,89.25;260.5,303.5
18615;15,71.5;25.5,236.75;82.5,56;176.5,212;45.75,36.5;99.5,179;249.75,63.25;259.75,304
7153;7.5,96.75;26,239.25;95,13.75;177,212.75;9.75,53.25;99.5,179;249.75,63.25;259.5,303.5
19076;14,67.5;26,239.25;97.5,15;177,212.75;9.25,10.75;124.5,208.75;245,89;258.5,270
7793;14,66.25;22.75,227.25;97.5,15;147.75,220.25;9.25,10.75;137.75,209.25;222.25,67.25;245,300
65;14,66.25;22.75,227.25;101.5,2.5;120.25,213.5;19.5,20.5;138.5,208.25;242.25,90;245,300
5451;3.25,78.5;20.5,231.75;101.5,2.5;151.25,219;19.5,20.5;146.5,211.5;208.5,73.25;249.25,268.75
7130;1.5,78.5;11.5,215.25;101.5,2.5;151.25,219;62.25,18.25;156.5,226;216,53.75;250,268.25
17381;1.5,78.5;40.25,203;101.5,2.5;128.5,209.5;62.5,36.5;182.25,249.25;228,73;250,268.25
18550;1.5,78.5;40.25,207.25;76,0.75;130.75,164.75;62.5,36.5;182.25,249.25;244.25,80;250,268.25
19036;1.5,78.5;40.25,207.25;76,0.75;164.75,176.25;62.5,36.5;204.5,221.25;215.75,53.75;232.5,269.5
16472;15,108;16.5,180.75;76,0.75;163.25,177.25;62.5,36.5;220,179.25;233.25,90;255.5,234.25
19616;14.5,108.25;16.5,180.75;76,0.75;163.25,177.25;59.25,51;220,165.75;228.5,132.5;255.5,234.25
15586;40.75,87.75;65.25,164.75;76,0.75;149.5,180.5;65,20.25;220,165.75;232.25,132;237.75,207.5
17682;42.5,84.25;65.25,164.75;76,0.75;149.5,180.5;43.75,20.25;183.5,190.75;247.5,95.75;264.5,161
2122;7.25,128;65.25,164.75;123.25,30;134.25,173.75;7.25,33.5;177.75,231.25;247.5,95.75;264.5,160.5
16663;16.75,157.25;65.25,164.75;109.5,15.75;125,139.75;7.25,33.5;178.5,231.5;218.25,128.25;264.5,160.5
2543;50,168.75;72.75,170.25;75.25,1.5;130.5,105.5;35.75,61.75;214.75,233.5;218.25,128.25;264.5,160.5
8708;18.25,174.25;72.75,170.25;86,32.5;104.5,75.75;42.25,50.25;184.25,236.5;218.25,128.25;264.5,160.5
17109;18.25,174.25;75.5,143.25;86,32.5;103.5,113;41.75,70.5;180.25,222;219,126.25;264.5,160.5
