begin;0,0;0,124.5;222.75,0;222.75,124.5;0,0;0,124.5;222.75,0;222.75,124.5
7962;0.25,68.75;36.5,94.25;169.5,36.25;191.5,65.25;0.25,68.75;49.75,89;165.5,18.75;220.75,121
11708;0.25,68.75;25,81.25;153.75,19.25;201.5,61.75;0.25,68.75;50.75,89.25;155.75,9.25;220.75,121
13343;0.25,68.75;21.75,90.75;177.5,22.25;188,38.75;0.25,68.75;60.25,64.5;155.75,9.25;220.75,121
2339;19.5,90.75;46,103.5;153.25,33;216.25,56.25;0.25,68.75;60.25,64.5;155.5,8.75;220.75,121
4310;18.25,101.5;47,105.5;153.25,33;195.5,63.75;15,94;39.75,87.25;179.25,4.75;220.75,121
64;46.5,105.75;60.5,87.5;162.75,50.5;200.75,63.25;15,94;39.75,87.25;166.25,27.25;218.25,120.5
2408;47,94.25;68.25,66.25;170,30.75;182.5,80.5;15,94;30.75,91.5;172.25,20.25;218.25,120.5
793;24.5,79.25;96.75,58;170,30.75;196.75,108.5;8,93;40,83.25;171.5,20.25;218.25,120.5
462;24.5,79.25;124.75,67.5;170,30.75;200.5,82.75;21.25,82.75;69.25,87.25;171.5,20.25;217.75,121
984;9.75,90.5;120.5,83.25;174.25,10.5;200.5,82.75;36,90.75;69.25,87.25;171.5,20.25;217.75,121
1914;22,93.5;120.5,83.25;174.25,10.5;200.5,82.75;47,106.25;81.75,99;177,22.5;192.5,111.5
1051;19.75,121.25;112,108.5;154.5,20.75;208.75,57.5;64.5,115.5;81.75,99;177,22.5;193.25,103.25
11466;19.75,121.25;122.75,123.25;154.5,20.75;200.75,64.25;64,114.5;81.75,99;171.25,14;216.75,86
9678;19.75,121.25;129.25,95.25;154.5,20.75;213.25,75.75;70.75,103;80.5,75.5;171.5,20.25;218.25,80
11809;19.75,121.25;129.75,94.75;154.5,20.75;213.25,75.75;57.75,105.5;64.75,66.25;183.5,7.25;222.5,68.5
2109;9.75,117.75;151.75,87.25;154.5,20.75;213.25,101.25;57.75,105.5;65.25,66.5;191,22.75;222.25,61
11229;26,118.25;131.75,66.75;154.5,20.75;213.25,101.25;54.5,105.5;65.25,66.5;169.5,30.5;222,52.5
4382;26,118.25;133,58.75;158.5,41;205.25,119.25;56,99.25;65.25,66.5;181.25,36.75;222,52.5
8491;39.25,97;145,76.25;163.75,30.75;205.25,119.25;36,89.5;65.25,66.5;197.75,36;215.5,78.25
5982;44,102.25;128,88.5;171.25,45.75;205.25,119.25;36,89.5;65.25,66.5;205.25,39.75;218.25,76.25
11608;44,102.25;99.25,92.5;195.75,34.25;205.25,119.25;25.5,82.5;70.5,66.5;204,39.75;222.5,56.75
4409;44,102.25;73,104;200,23;212.25,99.75;25.5,82.5;75.75,40.25;185.5,40.5;219,65.25
1753;20,93.5;56.75,116;201,24;212.25,99.75;19.25,82.25;66,28;185.5,40.5;214.25,80.5
10642;20,93.5;53,96.5;201,24;212.25,99.75;7.25,104;84.5,23.75;175.5,22.5;222.25,52.75
243;20,93.5;75,114.75;202,16.25;212.25,99.75;6,102.75;79.75,2.5;175.75,24.5;220.5,41.25
325;20,93.5;70.5,110.5;173,1.5;212.25,99.75;6,102.75;79.75,3.75;201.25,33;215.75,36
7913;44,77;69.5,110.5;172.5,1.25;212.25,99.75;31.5,82.5;63,14;191.25,61.75;215.75,36
11415;44,77;69.5,110.5;148,13.5;212.25,99.75;11.5,94;55.75,28.5;191.25,61.75;209.25,36.5
8160;24.75,60.75;61.75,98.75;131,13.75;213,102.25;11.5,94;55.75,28.5;191.75,59.5;209.75,39
12718;38,67.5;59.5,117;131,13.75;201.5,111.5;6,71.25;79.25,42.25;191.75,59.5;210.75,39
8416;38,67.5;59.5,117;115.25,10.25;196.75,111.5;5.5,71.75;84.25,35.25;190,73;194,34.75
12611;24.25,61.75;58.5,86.5;109,19.25;175.5,111;5.5,71.75;100.5,54;190,73;207,8.25
