begin;0,0;0,374.5;374.25,0;374.25,374.5;0,0;0,374.5;374.25,0;374.25,374.5
25130;0.25,103;101.25,318;237.25,10;274.75,306.75;0.25,103;7.75,369.25;295.75,113.25;369.75,366.25
45623;29.5,55.5;127.75,335.5;236,9.5;274.75,306.75;0.25,87.25;7.75,369.25;295.75,113.25;369.75,366.25
39332;78,44;127.75,335.5;185,1.5;297.25,284.75;0.25,87.25;27,359.5;315.75,157.75;369.75,366.25
16641;129.25,29.5;168,338.25;206.5,32.25;301,314.75;8,131.25;27,359.5;315.75,157.75;369.75,366.25
9927;131.25,75.25;168,338.25;208.25,34.75;301,314.75;11,174.5;44.25,342.5;334.5,195.75;369,365.5
1447;133,73.25;167,308.5;200.75,63.25;305.5,312.5;11,174.5;70.5,369.5;334.5,195.75;369,365.5
32269;143.5,118;167,308.5;191.5,76;290,308.25;11,174.5;105.5,349.75;361.25,209;368,365.25
6544;102.5,111.75;146.5,356.25;191.5,76;257,282;5.25,170.5;105.5,350;361.25,209;368,365.25
12123;64.75,110.25;141.5,350.75;152.25,83;232,291.5;45.25,179;105.5,350;367.75,195.5;368,365.25
48525;59,144.25;159.5,310.75;199.75,79;211.5,342.5;45.25,179;66.25,303.25;367.75,195.5;369,365.5
2366;74.25,173.25;152.75,272.75;199.75,79;254.25,332.75;45.25,179;46,290.75;323.5,212.5;346.25,369.5
36505;67.75,173;176.75,251.5;200.75,34.75;262.25,369.75;45.25,179;46,290.75;279.25,219.5;343,369.5
3493;98.75,158.75;174.5,251;208.75,64.25;262.25,371;5,153.25;42.75,241.25;279.25,219.5;343,369.5
35297;84.75,199.5;174.5,251;208.75,64.25;262.25,371;5,153.25;5.5,255.75;232.5,206;315,362.25
20041;73.25,165.75;142,294.75;240.5,40.5;262.25,371;5,195.5;5.5,255.75;232.5,206;296.25,319.25
46549;108.75,178.75;159,291.5;235.25,11.25;262.25,371;5,195.5;5.5,255.75;194.25,169.75;296.25,319.25
21574;145.75,206.25;147.75,336.75;194.25,35.75;267.5,370.25;5,195.5;5.5,255.75;152,146.25;323.5,329.5
1700;135,174.5;173.75,348.75;187.25,54.5;265.75,371;5,195.5;5.5,255.75;172,175;320,323
6221;135,174.5;149.5,343;222,63;265.75,371;5,195.5;34.25,280.75;150.25,206.5;320,323
35523;135,174.5;172.5,324.5;207.75,86;244,361.5;4.25,240;34.75,279.5;150.25,206.5;320,323
8662;143,216.75;172.5,324.5;217.25,64.5;224.25,317.25;4.25,240;34.75,279.5;164,196.5;281.75,305.5
52300;101.25,213.25;187,370.25;217.25,64.5;243,345.75;4.25,240;13.25,305.25;162.25,198.25;281.75,305.5
49449;100,213.5;187,370.25;217.25,64.5;248.75,360.25;4.25,240;66,286.5;169.5,164;232.5,315.75
45904;73.25,227.5;149,356.5;217.25,64.5;251.75,345.5;0.75,236;66,286.5;169.25,164.5;218.25,319.75
11393;73.25,227.5;149,356.5;216.25,66;230,356.75;0.75,236;58.75,239;152.75,158.5;185.5,347.5
38633;77.5,261;149,356.5;216.25,102.75;230,356.75;18,196.25;58.75,239.5;133,118;158,329.75
22325;111.75,250;149,356.5;210.25,64.25;228.25,359.25;43.25,173.5;77,263.5;133,118;159.75,329
50413;111.75,250;163.5,366.75;210.25,64.25;228.25,359.25;62.75,180.25;87.75,294.75;150.5,125;159.75,329
19963;79.75,222;163.5,366.75;192.75,80.25;268.25,370.75;21.75,174.75;82.75,303.75;150.5,125;159,329
3747;98.75,197.25;139,328.75;166,92.5;269.25,368.5;21.75,174.75;92,279.25;150.5,125;159.75,329
52231;82.25,237.25;139,328.75;160.75,83.5;269.25,368.5;13.5,146.5;77.25,285.25;146.25,121.75;183.5,304.5
16877;99,214.5;139,328.75;160.75,83.5;298.75,335;26.25,144.25;93.75,318;141.5,122.25;186.75,304.5
29010;100,214.75;139,328.75;160.75,83.5;272.5,314.75;35.75,183.75;51.75,346.5;141.5,122.25;197.25,331
16765;131,186.25;155.5,313.75;193.25,67.75;303,312;35.75,183.75;43,329.5;174.75,111.75;197.25,331
51404;132.5,186;152,272.5;193.25,67.75;303,312;5.75,174.25;43,329.5;151.5,146.25;178.5,297.75
53388;106.75,205;152,272.5;197.75,109;296.5,320.75;5.75,174.25;28.5,328;151.5,146.25;178.5,297.75
17149;106.75,205;154.75,273;203,62.5;332.25,352.25;5.75,174.25;29,321.5;143,192;184.5,345.5
28606;142.25,206.75;154.75,273;203,62.5;340,372.25;5.75,174.25;13.75,292.5;140.75,188.75;184.25,296
16731;134.5,255.5;167.25,302.25;203,62.5;343,315.25;5.75,174.25;13.25,293;140,188;204,258.5
51278;133.75,255.25;171.5,342.75;186.25,55.75;350.75,337.75;5.75,174.25;13.25,293.5;128.75,155.25;204,258.5
3491;157.5,227.25;171.5,342.75;176.5,11.5;352.5,338;5.75,174.25;58.75,295.5;128.25,151.5;174,305
8711;157.5,227.25;179,370.5;215,41.75;352.5,338;26,130.75;85.5,330.5;157.5,193.25;164.25,286.25
49946;158,228.25;180.5,369.5;215,41.75;352.5,338;63.25,150.75;85.5,330.5;171.75,212.5;174,295.75
43745;158.5,228.25;165.25,370;236.75,73;352.5,338;19.5,190;106.25,276;171.75,212.5;216.25,275.5
28016;158.5,228.25;165.25,370;216.75,76.75;352.5,338;33.25,208;110.5,275;136,233.5;203,320.75
47413;151,261.25;165.25,370;218,78.5;352.5,338;53.25,238.5;116.5,234.75;142.25,271.25;203,320.75
2764;110.5,269.5;165.25,370;179.5,51.75;352.5,338;38.5,241.25;96.5,275.5;142.25,271.75;191,357.75
47359;99.25,227.75;166.75,364.5;204,53;352.5,338;52.75,271;94.5,275.5;124.25,298.25;191,357.75
19966;117,231.25;166.75,364.5;237.25,74.5;352.5,338;52.75,271;75.25,271.75;112.75,324.75;221.5,363.5
16566;108.25,189.5;166.75,364.5;243.5,25.75;352.5,338;49,321.75;82.25,286.75;112.75,324.75;271.25,366
52677;127,178.25;204,343;243.5,25.75;352.5,338;21.5,290.5;79.25,286;81.25,304.25;271.25,366
22568;175.25,203.25;203.5,367.75;262.25,64.75;352.5,307;40.75,260.25;79.25,286;81.25,304.25;271.25,366
607;184.75,162.5;203.5,367.75;274.75,108.75;352.5,307;42.5,262;65.5,322;79.25,287;306.5,343.75
47557;162.75,158.25;203.5,367.75;274.75,108.75;342.75,267.25;19.5,278.75;65.5,322;79.25,287;290.75,327.5
22256;164,158.25;174.25,373;275.25,109.75;341.5,269.25;19.5,278.75;56.25,351.25;60,284.75;290.75,327.5
50369;125.5,159.5;174.25,373;287.5,123.25;341.5,269.25;18,289.5;56.25,351.25;79.75,237.25;292.25,327.25
20979;144.5,148.25;182,371.75;320,131;341.5,269.25;18,289.5;63.5,312.75;111.5,220.25;263.25,365.5
25578;144.5,148.25;179,373.25;320,131;356.75,297.25;17.75,289;95,331;96.25,237;213.75,339.25
38629;130.5,101.25;212.25,328.5;275.5,96.25;330.5,340.25;17.75,289;95,331;97,237.25;262.25,334.25
8904;130.5,101.25;211.25,328;228,91.75;320,322.5;17.75,289;113.5,362;124.5,243.5;252.5,305
5435;156.25,134.75;167.25,328.5;228,91.75;293.75,282.75;42.25,245.75;113.5,362;148,250.5;288.75,338.5
50000;159.5,163.75;166,329;204.75,61.25;293.75,282.75;34,231;113.5,362;177.5,283.75;248.25,360.5
19366;156.75,136.75;178.75,291.75;194.75,55.75;292.25,284.25;58.25,223.25;113.5,362;177.5,283.75;214.25,331.25
10377;156.75,136.75;178.75,291.75;220.75,80.5;292.25,284.25;74.75,198.5;84.75,348.75;177,284;240,309
34454;155.75,176;178.75,291.75;200.75,63;283,299;62.5,221.5;73,317.5;177,284;240,309
38489;155,176;180.5,290.25;228,60.75;250.25,307.5;62.5,221.5;73,317.5;193.25,330;244.75,358.75
50954;164.25,120;174.5,258;235.75,59.5;250.25,307.5;19.75,208;73,317.5;193.25,330;216.5,369.75
49071;162.75,83.5;175.75,238.75;235.75,60.5;250.25,307.5;19,207.75;83.5,322.25;208.75,312.25;216.5,369.75
46644;135.75,56.75;211.75,242.75;235.75,60.5;245.75,346.25;10,232.25;83.5,322.25;208.75,312.25;216.5,369.75
44250;135.75,56.75;162.25,258.25;212.25,70.75;245.75,346.25;11.25,232.5;31,310;192,329;204.5,352.5
7410;100.5,73.25;162.25,257.75;199.75,70;245.75,346.25;23.25,235.25;31,310.5;191.75,330.25;204.5,352.5
46276;100.5,73.25;162.25,257.75;199.75,70;264.75,360.75;16,255.75;31,310.5;152,337.25;241.25,367.5
10487;109,74.75;110.75,248;171.5,102;288.25,333.25;16,255.75;31,310.5;152,337.25;226.25,358.5
28753;92.25,30.75;122.5,270;211.25,111;294.75,332.5;16,255.75;31,310.5;137.5,363;216.5,320.75
9500;64.75,11.5;111.25,304.75;211.25,111;301,352.5;16,255.75;30.5,310;137.25,345.75;215.75,319.25
27984;26.75,55.5;110,250;201.5,81.5;300,314.75;16,255.75;61,309;137.25,345.75;215.75,319.25
22548;5.75,74.5;110,250;199,103.5;294,315;20.25,291.5;68.75,303.75;137.25,345.75;195.25,306.25
52317;26.5,99.75;152.5,261;199,103.5;293.5,315;31.75,333.25;68.75,303.75;114.5,362;195.25,306.25
11521;27.75,99.5;195.5,247.25;225.25,67;293.5,315;61,355.25;68.75,303.75;114.5,362;217.5,305
37021;39.75,142;219.25,228;225.25,67;294,315;61,355.25;92.75,316.5;164.75,354;198.75,304.5
50995;74.5,151.75;199.25,254.75;225.25,67;291,329.5;61.25,354.25;122.25,347.25;164.75,354;198.75,304.5
5297;86,143.75;203.5,253.75;239.25,92;291,329.5;61.25,354.25;144.5,337.75;164.75,354;178.75,253.25
1283;57,146;205.5,246.25;216.25,87.25;289.75,330;61.25,354.25;144.5,337.75;164.75,354;189.5,219.75
41428;2.25,139.25;185.25,250.75;222.25,103.75;295.75,300;61.25,354.25;149.25,370.5;158,329.75;189.5,219.75
1832;2.25,139.25;171.75,227.75;245.75,83.5;299,264.75;61.25,354.25;149.25,370.5;174.75,334;195.75,256.5
29697;14.75,99.25;171.75,227.75;281.25,47;345.25,252.5;61.25,354.25;148.5,329.75;149.25,370.5;181.5,259.5
6493;15.25,146.5;171.75,227.75;279.5,9.25;334.75,235.5;61.25,354.25;149.25,370.5;173,349.5;184.5,275.5
52510;43.75,128.25;107.75,227.75;219,13.25;285.75,235.25;61.25,354.25;149.25,370.5;174.75,316.5;185.75,276
9841;45.5,160.25;107.75,227.75;193.5,44.75;266.5,193;59.25,332;149.25,370.5;159.75,316;185.75,276
17803;65.25,192.25;109,249.5;206.75,71.5;266.5,193;59.25,332;141.5,363;170.5,317.75;187,275.5
16399;61.25,188.5;88.75,237.5;226.75,87.25;259.75,220.75;59.25,332;141.5,363;182.25,289;206.25,259.5
44610;60.75,188.5;88.75,237.5;222.5,99;275,216;59.25,332;112.5,358.5;219.25,303.5;250.75,271
