begin;0,0;0,74.5;273,0;273,74.5;0,0;0,74.5;273,0;273,74.5
387;0.25,16;4.75,71;230,38.25;230.25,57.25;0.25,16;26,62.75;222,33;260.75,22.5
2909;18,40.75;20.5,73.75;221.25,51.25;230,38.25;0.25,16;25.75,62.25;222.75,33.75;260.75,22.5
2967;22,42.5;23,74;221.25,51.25;230,38.25;1.25,18.75;25.75,62.25;220,46.5;259,23.25
2532;8,54;23,74;221.25,51.25;245.75,37.5;9,33.5;9,69.25;211.5,47.75;259,23.25
2733;10.25,58.25;25.75,72.75;204.5,33.75;266.25,29.25;9,33.5;9,69.25;200.75,65.5;259,23.25
683;9.75,58.25;37.25,72.25;219,61;266.5,31.5;4,34.75;9,69.25;166.25,68.25;259,23.25
852;12.25,29;37.25,72.25;226.75,67.25;251.75,17.75;4,68.75;24.25,62.5;200.75,65.75;259,23.25
1475;27,43.25;27.25,73.25;226.75,67.25;238.5,25.5;13,69;18,57.75;200.75,65.75;253,21.75
53;25.5,15;45.5,58.75;202.5,57;228,50.25;13,69;18.5,58.75;200.75,65.75;235.75,34
2924;6.75,17;45.5,58.75;199.5,30.5;237,38;13,69;18.5,58.75;200.75,65.75;261.25,25
2936;6.75,17;60,54.25;198.5,30.75;238,25;13,69;15.5,35;212,46.5;261.25,25
2278;21.5,34;74.5,54.5;205.75,33.5;259.75,30.5;3,68.75;15.5,35;212,46.5;261.25,25
2637;23.75,25.25;64.75,46.75;196.25,22;262.25,10.25;19.75,55.75;25,13.5;212,46.5;261.25,25
1257;23.75,25.25;49,47.5;196.25,22.75;253.5,6.25;20.5,56.5;26.25,20;212,46.5;263.5,33.5
3139;23.75,25.25;49,47.5;203,27.75;245.5,8.75;20.25,57.5;33.75,18.25;216,42.75;263.5,33.5
402;47,22;63.5,39;204.5,51.5;229.5,32.25;6,33.25;41.75,10.75;216,42.75;263.5,33.5
1562;47,22;63.5,39;200.5,57;233.75,20.5;11,35;54,22.25;220.25,28.25;247.75,22.75
358;57,3;79.5,38.25;200.5,57;222,37.75;19,25.75;38.5,39.25;205.25,32.5;247.75,22.75
523;58.25,4;85,39.25;176.5,64.75;243.5,41.5;19,25.75;48.75,22.75;183,37.25;247.75,22.75
1117;58.25,4;89,39.5;176.5,64.75;243.5,41.5;19.5,20.25;41.25,6;185.25,17.5;249.5,35.75
1037;47.75,3.75;77,56.25;163,50.5;243.5,41.5;16.25,4.25;41.25,6;164.75,12;235.25,28.75
2961;45.25,4;83.75,34.5;152.75,48;253.25,32.5;16.25,4.25;41.25,6;164.75,12;210.5,27.75
