83,765	146,81	83765	146810
142,843	74,874	142843	74874
180,883	156,249	180883	156249
185,263	89,466	185263	89466
83,635	146,665	83635	146665
185,133	89,321	185133	89321
174,126	146,794	174126	146794
109,738	132,894	109738	132894
109,608	132,749	109608	132749
140,524	88,825	140524	88825
134,313	102,385	134313	102385
134,183	102,24	134183	102240
163,263	138,545	163263	138545
187,166	80,303	187166	80303
140,424	74,885	140424	74885
186,413	87,21	186413	87210
104,619	132,894	104619	132894
73,473	147,494	73473	147494
73,343	147,349	73343	147349
186,543	87,355	186543	87355
104,489	132,749	104489	132749
125,774	112,71	125774	112710
136,503	93,935	136503	93935
187,181	80,234	187181	80234
183,151	153,851	183151	153851
183,021	153,706	183021	153706
142,593	63,869	142593	63869
145,133	61,329	145133	61329
147,524	74,784	147524	74784
162,448	135,302	162448	135302
145,043	91,475	145043	91475
114,6	132,749	114600	132749
114,73	132,894	114730	132894
56,874	157,01	56874	157010
184,622	147,113	184622	147113
134,973	112,499	134973	112499
183,643	82,039	183643	82039
72,114	157,01	72114	157010
150,213	61,329	150213	61329
183,725	82,026	183725	82026
135,103	112,644	135103	112644
147,674	66,41	147674	66410
186,157	76,009	186157	76009
174,256	146,939	174256	146939
88,691	146,73	88691	146730
145,133	63,869	145133	63869
145,133	66,41	145133	66410
186,287	76,154	186287	76154
88,821	146,875	88821	146875
145,394	74,805	145394	74805
178,883	156,249	178883	156249
147,674	63,869	147674	63869
140,494	91,814	140494	91814
129,894	112,54	129894	112540
130,024	112,685	130024	112685
69,49	132,713	69490	132713
188,883	156,249	188883	156249
69,62	132,858	69620	132858
123,233	67,169	123233	67169
120,949	81,389	120949	81389
120,819	81,244	120819	81244
107,993	110,169	107993	110169
79,73	132,713	79730	132713
119,084	99,58	119084	99580
119,214	99,725	119214	99725
74,804	132,858	74804	132858
74,674	132,713	74674	132713
79,86	132,858	79860	132858
186,031	107,707	186031	107707
159,693	155,595	159693	155595
108,613	95,335	108613	95335
186,416	109,626	186416	109626
168,367	145,21	168367	145210
106,613	84,594	106613	84594
168,237	145,065	168237	145065
186,286	109,481	186286	109481
167,493	142,849	167493	142849
167,623	142,994	167623	142994
185,901	107,562	185901	107562
104,495	104,058	104495	104058
104,365	103,913	104365	103913
120,694	67,169	120694	67169
84,98	132,894	84980	132894
73,503	145,304	73503	145304
185,901	93,93	185901	93930
186,031	94,075	186031	94075
120,694	110,169	120694	110169
123,233	110,169	123233	110169
73,373	145,159	73373	145159
133,263	94,715	133263	94715
182,883	156,249	182883	156249
78,575	145,595	78575	145595
78,445	145,45	78445	145450
129,723	102,24	129723	102240
129,853	102,385	129853	102385
163,723	141,075	163723	141075
133,399	83,879	133399	83879
90,036	132,858	90036	132858
129,274	86,995	129274	86995
129,144	86,85	129144	86850
84,85	132,749	84850	132749
186,883	156,249	186883	156249
89,906	132,713	89906	132713
130,304	85,025	130304	85025
128,174	96,534	128174	96534
186,349	96,041	186349	96041
128,044	96,389	128044	96389
184,883	156,249	184883	156249
118,153	110,169	118153	110169
186,479	96,186	186479	96186
184,752	147,258	184752	147258
163,723	118,215	163723	118215
144,521	129,301	144521	129301
144,484	129,279	144484	129279
115,757	155,349	115757	155349
172,883	156,249	172883	156249
137,474	152,809	137474	152809
118,043	155,349	118043	155349
134,045	155,349	134045	155349
163,723	95,355	163723	95355
162,654	98,605	162654	98605
163,263	92,825	163263	92825
178,734	146,986	178734	146986
124,902	150,27	124902	150270
178,153	66,41	178153	66410
120,329	150,27	120329	150270
163,263	81,695	163263	81695
113,471	155,349	113471	155349
136,331	155,349	136331	155349
148,359	117,824	148359	117824
155,111	134,202	155111	134202
165,454	66,41	165454	66410
163,723	84,225	163723	84225
162,593	89,734	162593	89734
122,615	150,27	122615	150270
162,654	121,465	162654	121465
162,654	87,174	162654	87174
150,443	117,954	150443	117954
120,329	155,349	120329	155349
136,331	150,27	136331	150270
163,723	106,784	163723	106784
127,188	155,349	127188	155349
149,723	129,375	149723	129375
124,902	155,349	124902	155349
131,759	150,27	131759	150270
162,654	110,034	162654	110034
176,943	147,066	176943	147066
134,045	150,27	134045	150270
162,593	112,594	162593	112594
147,283	135,744	147283	135744
176,813	146,921	176813	146921
129,473	155,349	129473	155349
149,593	129,23	149593	129230
162,593	101,165	162593	101165
163,263	115,685	163263	115685
131,759	155,349	131759	155349
138,55	150,564	138550	150564
178,864	147,131	178864	147131
127,188	150,27	127188	150270
170,533	61,329	170533	61329
175,614	66,41	175614	66410
170,883	156,249	170883	156249
163,263	104,254	163263	104254
122,615	155,349	122615	155349
170,533	66,41	170533	66410
129,473	150,27	129473	150270
124,974	132,586	124974	132586
155,111	141,755	155111	141755
155,294	63,869	155294	63869
180,464	153,21	180464	153210
163,723	129,644	163723	129644
125,104	132,731	125104	132731
180,847	85,242	180847	85242
106,614	150,27	106614	150270
155,111	139,195	155111	139195
163,263	127,114	163263	127114
142,081	112,193	142081	112193
110,64	146,644	110640	146644
110,51	146,499	110510	146499
105,39	146,499	105390	146499
77,194	157,01	77194	157010
180,334	153,065	180334	153065
148,723	88,055	148723	88055
166,883	156,249	166883	156249
119,721	132,713	119721	132713
119,851	132,858	119851	132858
148,593	87,91	148593	87910
152,753	66,41	152753	66410
162,654	132,894	162654	132894
105,52	146,644	105520	146644
152,753	63,869	152753	63869
144,813	99,279	144813	99279
144,757	99,352	144757	99352
108,9	150,27	108900	150270
112,328	152,809	112328	152809
162,913	61,329	162913	61329
162,913	63,869	162913	63869
174,883	156,249	174883	156249
155,048	136,704	155048	136704
115,757	150,27	115757	150270
139,76	152,809	139760	152809
118,043	150,27	118043	150270
111,186	155,349	111186	155349
162,593	78,605	162593	78605
162,913	66,41	162913	66410
162,593	124,025	162593	124025
162,654	76,045	162654	76045
138,812	155,668	138812	155668
155,048	88,442	155048	88442
147,663	108,24	147663	108240
147,793	108,385	147793	108385
130,03	132,586	130030	132586
176,883	156,249	176883	156249
130,16	132,731	130160	132731
111,186	150,27	111186	150270
168,883	156,249	168883	156249
149,709	108,424	149709	108424
113,471	150,27	113471	150270
107,757	152,809	107757	152809
155,048	93,498	155048	93498
160,373	63,869	160373	63869
83,373	67,169	83373	67169
167,394	146,855	167394	146855
75,754	67,169	75754	67169
63,054	110,169	63054	110169
88,194	87,38	88194	87380
172,141	146,794	172141	146794
101,353	89,839	101353	89839
169,392	147,195	169392	147195
169,262	147,05	169262	147050
65,593	110,169	65593	110169
164,883	156,249	164883	156249
172,271	146,939	172271	146939
65,593	67,169	65593	67169
88,324	87,525	88324	87525
101,483	89,984	101483	89984
88,254	81,699	88254	81699
99,544	77,014	99544	77014
88,384	81,844	88384	81844
78,293	67,169	78293	67169
68,134	112,71	68134	112710
167,264	146,71	167264	146710
107,993	67,169	107993	67169
99,414	76,869	99414	76869
149,709	108,424	149709	108424
163,723	106,784	163723	106784
155,111	141,755	155111	141755
159,693	155,595	159693	155595
163,723	118,215	163723	118215
162,654	132,894	162654	132894
163,723	129,644	163723	129644
162,654	87,174	162654	87174
140,424	74,885	140424	74885
162,593	101,165	162593	101165
133,399	83,879	133399	83879
163,263	81,695	163263	81695
133,263	94,715	133263	94715
162,654	121,465	162654	121465
163,263	92,825	163263	92825
155,048	88,442	155048	88442
155,111	139,195	155111	139195
163,263	127,114	163263	127114
163,723	141,075	163723	141075
108,613	95,335	108613	95335
155,111	134,202	155111	134202
163,263	115,685	163263	115685
155,048	93,498	155048	93498
142,318	112,239	142318	112239
163,263	104,254	163263	104254
180,847	85,242	180847	85242
148,494	117,904	148494	117904
145,394	74,805	145394	74805
162,593	135,454	162593	135454
163,723	84,225	163723	84225
162,654	110,034	162654	110034
142,843	74,874	142843	74874
162,654	76,045	162654	76045
162,654	98,605	162654	98605
162,593	112,594	162593	112594
147,283	135,744	147283	135744
163,723	95,355	163723	95355
163,263	138,545	163263	138545
140,524	88,825	140524	88825
162,593	89,734	162593	89734
145,043	91,475	145043	91475
106,613	84,594	106613	84594
136,503	93,935	136503	93935
155,048	136,704	155048	136704
147,524	74,784	147524	74784
150,443	117,954	150443	117954
162,593	124,025	162593	124025
130,304	85,025	130304	85025
140,494	91,814	140494	91814
162,593	78,605	162593	78605
178,157	96,335	178157	96335
178,157	98,635	178157	98635
143,864	86,375	143864	86375
143,864	84,075	143864	84075
175,782	139,483	175782	139483
170,093	103,195	170093	103195
175,253	123,559	175253	123559
171,117	133,468	171117	133468
178,683	123,51	178683	123510
170,864	130,369	170864	130369
172,403	123,859	172403	123859
170,669	105,115	170669	105115
174,544	121,38	174544	121380
185,133	105,82	185133	105820
171,132	124,932	171132	124932
171,783	121,439	171783	121439
165,274	121,18	165274	121180
165,234	109,59	165234	109590
175,304	136,79	175304	136790
185,581	77,98	185581	77980
181,421	141,339	181421	141339
150,246	142,107	150246	142107
177,454	136,839	177454	136839
153,318	106,139	153318	106139
169,354	115,049	169354	115049
153,382	132,827	153382	132827
153,445	137,883	153445	137883
153,445	101,019	153445	101019
153,318	103,644	153318	103644
153,382	98,523	153382	98523
153,445	140,38	153445	140380
153,318	117,468	153318	117468
153,318	109,852	153318	109852
153,318	121,371	153318	121371
153,382	75,675	153382	75675
153,318	83,291	153318	83291
153,382	135,387	153382	135387
153,318	80,796	153318	80796
153,509	114,972	153509	114972
153,318	78,171	153318	78171
153,318	123,868	153318	123868
152,625	126,523	152625	126523
153,382	89,627	153382	89627
153,318	128,988	153318	128988
146,403	80,73	146403	80730
153,318	87,067	153318	87067
153,382	112,475	153382	112475
133,843	116,93	133843	116930
131,813	116,6	131813	116600
133,774	97,23	133774	97230
132,323	100,823	132323	100823
133,704	86,445	133704	86445
153,318	94,683	153318	94683
153,382	92,187	153382	92187
137,584	137,31	137584	137310
136,155	97,251	136155	97251
131,234	86,85	131234	86850
146,652	152,53	146652	152530
99,603	152,909	99603	152909
183,234	58,89	183234	58890
134,973	58,89	134973	58890
72,114	157,11	72114	157110
67,034	157,11	67034	157110
61,954	157,11	61954	157110
82,274	157,11	82274	157110
77,194	157,11	77194	157110
118,043	150,37	118043	150370
178,153	66,51	178153	66510
115,757	155,449	115757	155449
119,186	152,909	119186	152909
122,615	150,37	122615	150370
114,614	152,909	114614	152909
165,454	61,429	165454	61429
136,331	155,449	136331	155449
165,454	66,51	165454	66510
165,454	63,969	165454	63969
113,471	155,449	113471	155449
111,186	155,449	111186	155449
120,329	150,37	120329	150370
116,9	152,909	116900	152909
142,593	61,429	142593	61429
152,753	66,51	152753	66510
142,593	63,969	142593	63969
152,753	61,429	152753	61429
152,753	63,969	152753	63969
140,054	66,51	140054	66510
140,054	63,969	140054	63969
155,294	66,51	155294	66510
155,294	61,429	155294	61429
155,294	63,969	155294	63969
145,133	66,51	145133	66510
145,133	63,969	145133	63969
147,674	66,51	147674	66510
147,674	61,429	147674	61429
147,674	63,969	147674	63969
150,213	66,51	150213	66510
142,593	66,51	142593	66510
150,213	63,969	150213	63969
145,133	61,429	145133	61429
150,213	61,429	150213	61429
115,757	150,37	115757	150370
112,328	152,909	112328	152909
138,617	155,449	138617	155449
113,471	150,37	113471	150370
110,043	152,909	110043	152909
139,76	152,909	139760	152909
162,913	66,51	162913	66510
162,913	63,969	162913	63969
108,9	155,449	108900	155449
162,913	61,429	162913	61429
157,834	66,51	157834	66510
108,9	150,37	108900	150370
157,834	63,969	157834	63969
106,614	150,37	106614	150370
157,834	61,429	157834	61429
160,373	63,969	160373	63969
160,373	66,51	160373	66510
160,373	61,429	160373	61429
111,186	150,37	111186	150370
107,757	152,909	107757	152909
121,472	152,909	121472	152909
173,074	63,969	173074	63969
118,043	155,449	118043	155449
120,329	155,449	120329	155449
128,33	152,909	128330	152909
173,074	66,51	173074	66510
122,615	155,449	122615	155449
170,533	61,429	170533	61429
127,188	150,37	127188	150370
170,533	63,969	170533	63969
123,759	152,909	123759	152909
134,045	150,37	134045	150370
130,616	152,909	130616	152909
175,614	66,51	175614	66510
167,993	63,969	167993	63969
167,993	66,51	167993	66510
173,074	61,429	173074	61429
167,993	61,429	167993	61429
129,473	155,449	129473	155449
131,759	150,37	131759	150370
136,331	150,37	136331	150370
124,902	150,37	124902	150370
134,045	155,449	134045	155449
126,045	152,909	126045	152909
131,759	155,449	131759	155449
178,153	63,969	178153	63969
127,188	155,449	127188	155449
175,614	63,969	175614	63969
135,188	152,909	135188	152909
124,902	155,449	124902	155449
132,902	152,909	132902	152909
129,812	150,349	129812	150349
178,153	61,429	178153	61429
137,474	152,909	137474	152909
170,533	66,51	170533	66510
175,614	61,429	175614	61429
125,774	112,81	125774	112810
123,233	112,81	123233	112810
118,153	112,81	118153	112810
80,834	67,269	80834	67269
120,694	67,269	120694	67269
118,153	67,269	118153	67269
113,073	110,269	113073	110269
107,993	67,269	107993	67269
78,293	67,269	78293	67269
78,293	69,81	78293	69810
63,052	67,269	63052	67269
63,052	69,81	63052	69810
78,293	112,81	78293	112810
107,993	112,81	107993	112810
63,054	112,81	63054	112810
113,073	67,269	113073	67269
123,233	67,269	123233	67269
125,774	69,81	125774	69810
65,593	69,81	65593	69810
120,694	112,81	120694	112810
164,883	156,349	164883	156349
178,883	156,349	178883	156349
172,883	156,349	172883	156349
180,883	156,349	180883	156349
184,883	156,349	184883	156349
186,883	156,349	186883	156349
176,883	156,349	176883	156349
166,883	156,349	166883	156349
174,883	156,349	174883	156349
168,883	156,349	168883	156349
182,883	156,349	182883	156349
170,883	156,349	170883	156349
140,054	100,004	140054	100004
140,054	106,004	140054	106004
127,957	123,576	127957	123576
107,7	130,693	107700	130693
77,22	142,123	77220	142123
87,317	135,005	87317	135005
133,1	142,123	133100	142123
112,716	135,005	112716	135005
117,796	123,576	117796	123576
82,301	142,123	82301	142123
92,397	135,005	92397	135005
133,036	135,005	133036	135005
102,62	142,123	102620	142123
133,1	130,693	133100	130693
122,941	130,693	122941	130693
72,076	135,005	72076	135005
122,877	123,576	122877	123576
117,796	135,005	117796	135005
72,076	123,576	72076	123576
117,86	130,693	117860	130693
128,021	130,693	128021	130693
77,156	123,576	77156	123576
139,052	123,576	139052	123576
122,941	142,123	122941	142123
107,636	135,005	107636	135005
92,397	123,576	92397	123576
82,237	123,576	82237	123576
87,381	142,123	87381	142123
72,14	142,123	72140	142123
112,78	130,693	112780	130693
133,036	123,576	133036	123576
82,301	130,693	82301	130693
122,877	135,005	122877	135005
107,636	123,576	107636	123576
107,7	142,123	107700	142123
82,237	135,005	82237	135005
102,556	135,005	102556	135005
117,86	142,123	117860	142123
112,716	123,576	112716	123576
77,22	130,693	77220	130693
87,381	130,693	87381	130693
102,62	130,693	102620	130693
92,461	130,693	92461	130693
72,14	130,693	72140	130693
139,116	130,693	139116	130693
87,317	123,576	87317	123576
92,461	142,123	92461	142123
127,957	135,005	127957	135005
77,156	135,005	77156	135005
128,021	142,123	128021	142123
102,556	123,576	102556	123576
