begin;0,0;0,174.5;223.5,0;223.5,174.5;0,0;0,174.5;223.5,0;223.5,174.5
3474;11.5,7.5;108,63.25;141,52.5;145.25,85.25;65.25,5.5;71,156.5;142.75,115.5;220,66.75
767;18,5.25;88.5,54;159.75,56.25;164.25,56.25;64,5;71,156.5;139.75,114.5;220,66.75
3998;18,5.25;87.5,52.5;125.25,47.25;184.25,59.25;64,5;71,156.5;125,86.5;216.75,79.25
328;18,5.25;91.5,47.5;112.5,31;158.25,54.25;64,5;72,169.75;124.5,85.75;216.75,79.25
4645;18,5.25;61.25,51.25;118.75,5.5;164.5,83.75;53,17.5;53.25,173.75;124.5,85.75;188.25,97.75
3246;18,5.25;85.5,74;99.75,34;164.5,83.75;60.25,30.75;68.25,157.75;124.5,85.75;165.25,74.5
2916;33.5,28.25;49.75,68.75;130.5,17.75;164.5,83.75;60.25,30.75;63.5,149.75;96.5,78.75;195.5,56.5
507;33.5,28.25;50.75,66.75;143.25,26.25;156,58.25;61.75,32;63.5,149.75;81,104;193.75,66.25
7490;35.75,28.75;79.5,47.25;143.25,26.25;154,74.5;51.75,17.5;63.5,149.75;66.25,75;173.5,95.25
5662;41.5,37.5;79.5,47.25;131.5,53;138,54.25;51.75,17.5;65.25,146.5;83.75,58.75;160,82.75
3561;22.25,12.5;96.75,69.75;131.5,53;156.25,58.75;18.5,18.5;76.75,142.5;85.5,59.5;160,82.75
8405;22.25,12.5;122.5,71.5;131.75,56.25;158.5,84.5;18.5,18.5;76.75,142.5;80.5,90.25;156.75,85.75
2914;22.25,12.5;122.5,71.75;138,63;172,95;6.5,26.75;72.25,133.25;80.5,90.25;156.75,85.75
584;8,5.25;94.5,78.25;138,63;172,95;17,45;74.75,107.5;81.5,87.75;156.75,85.75
7633;8,5.25;94.5,78.25;138,65;159.5,77.25;21.25,21.5;68.5,99.25;81.5,87.75;131.5,99.25
1865;36.75,14.75;94.5,78.25;123.5,54.75;143,103.5;12.25,15;68.75,98.5;81.5,87.75;118.5,74
1532;36.75,14.75;94.5,78.25;131.25,53.75;142.25,107.25;19.5,21.5;80.25,125.75;93,108.25;117.25,70.5
7801;36.75,14.75;94.5,78.25;120.5,54.5;145.75,107.5;5.5,12.75;67,151;96,129.75;117.25,70.5
8276;18.25,5.25;92.25,108;99.75,36.25;139,104.5;5.5,12.75;58.5,135.25;96,129.75;117.25,70.5
7515;30.25,29.5;92.25,108;99.25,35;152.25,84;17.75,20.25;48,120.75;68.25,129;117.25,70.5
843;30.5,26;84.25,97.5;87,47;175.25,78.25;17.75,20.25;67,113.5;69.25,108;117.25,70.5
4707;30.5,26;84.75,95.25;97.75,54.25;177.25,57;17.75,20.25;70.5,134;74.5,74.75;141.5,74.5
5694;16.75,40.75;84.75,95.25;90.5,23.25;194.5,68;17.75,20.25;70.5,134;94.75,50;115.25,56.5
7579;24.75,18.75;85.25,95.25;118.25,22.75;194.5,68;40,17.5;66.75,104;79,22.75;115.25,56.5
5056;24.75,18.75;84.75,95.25;128.75,21.25;175.25,73.25;40,17.5;73.5,118.25;76,13.25;122,52.25
