begin;0,0;0,274.5;124.5,0;124.5,274.5;0,0;0,274.5;124.5,0;124.5,274.5
2826;0,73;2.75,266.25;120.5,32.5;120.75,264.75;0,73;57.5,230.5;85.75,45.5;92,215.5
2106;0,73;2,249.75;120.25,32;120.25,265.75;14.75,48.75;74.5,216.25;85.75,45.5;90,188.5
6441;14,65.75;25,270.25;120.25,32;120.25,265.75;34,66.5;62.5,193.75;85.75,45.5;90,188.5
5009;14.75,64.75;30.75,261.75;120.25,32;120.25,265.75;3.25,60.25;49.25,191.5;80,86.5;90,188.5
4731;27.75,92.75;28.25,224.5;108.5,12.75;120.75,265.75;3.5,64;60.25,215.5;80,86.5;90,188.5
5738;36.5,78.5;42.5,193.5;103.5,12.25;120.75,265.75;21.75,76.5;60.5,197.75;80,86.5;94.25,170
6419;32.5,38.75;83.5,191;103.5,12.25;120.25,265.75;21.75,76.5;67,198.75;80,86.5;88,166.75
3162;32,28.25;95.25,190.75;103.5,12.25;120.75,265.75;52.5,80.5;67,198.75;75.5,106.5;100.75,168.5
528;32,28.25;98,227.5;117.25,50.25;120.25,265.75;50.75,69.5;67,198.75;109.75,121;112.5,175.5
4638;63,25.25;92.75,219.75;106.5,68.5;121,251;50.75,69.5;84.75,214.75;110.25,128.25;112.5,175.5
6402;76,44.25;92.75,219.75;113.25,64.25;121,251;36.75,104;62,217.25;86,141.75;108.25,170.25
6670;76,44.25;89.5,227.25;113.25,64.25;121,251;54.5,133.5;71.25,219.5;84.25,108.5;108.75,171.25
5473;76,43.75;108.25,262;113.25,64.25;115.5,237.25;54.5,133.5;61.75,247.75;68.75,106.75;108.75,171.25
249;94,16.75;108.25,262;113.25,64.25;115.5,238.25;50.5,113;66.5,220.25;67.25,67;108.75,171.25
3374;45.75,31.25;63.25,232.5;83,91;108.25,262;19.75,77;66.5,220.25;67.25,66.5;99.5,165.75
1629;45.75,31.25;57,240.25;83,91;108.25,262;20.25,51.5;64.75,192.25;84,38.5;119.25,152.75
5970;46,30.25;57,240.25;83,91;112,230.75;2,48.75;64.75,192.25;66.75,15;112.25,153
5776;41,27.75;57,240.25;90.5,117.5;104,230;3,42.75;64.75,192.25;80.75,38.75;109.25,152.5
5868;41,27.75;41.25,215.75;82.75,147;101.5,234.75;3,43.5;54.25,193.25;80.75,38.75;106,168.25
6346;28.25,28.75;45.5,191;82.75,147;101.5,234.75;3,43.5;74.75,179.5;95.25,53.5;106.5,170.5
4658;25.75,24.25;44.5,214;59.25,146;77.5,242.5;14.75,37.75;74.75,179.5;95.25,53.5;106.5,170.5
6323;13.25,4.5;20,199.5;42.75,171.5;105.5,228.5;7.25,50.25;74.75,179.5;95.25,53.5;106.5,170.5
6297;14.75,26;16.5,197.75;32.25,193.5;105.5,228.5;7.25,50.25;70.25,169.5;97.75,54;105.75,171.25
1676;2.5,31.25;36,216.25;54.75,186.5;105.5,228.5;7.25,50.25;57,194.75;80.75,61.5;95,192.75
3699;4.25,22.25;36,216.25;54.25,188.5;92.5,228.5;2.25,48.5;58.5,215.25;78.25,54;95,192.75
6818;13.75,46;27,201.75;37.25,163.25;68.25,230.5;7,34.75;58.5,215.25;78.25,54;87.5,216.75
5659;24.75,25.25;27,201.75;35.75,147.75;66.25,249.75;21,28.75;69.5,212.75;78.25,54;87.5,216.75
2469;22.75,31.75;27,201.75;30.25,154;83,250.75;32.5,18.25;69.5,212.75;78.25,53.25;79.75,218.5
2405;20.75,58.5;27,201.75;30.25,154;75,269.75;41.25,25;70.75,212;77.25,66;85.5,220
2753;20.75,58.5;38,213.25;57,150.5;62.75,241.75;66.75,14;71.25,210.5;77,68.75;85.5,220
2333;19,82.5;65.25,206.5;66.25,184.25;81.5,242;59.75,28.75;71,194.5;77,68.75;85.5,220
5502;19,86;41.5,181.25;58,161.75;94.25,208.75;37.5,40;67.25,164;77,68.75;85.5,220
6178;28,92.25;33,197.5;57,160.75;99.25,190.5;32.25,18;67.25,164;72.25,94;85.5,220
1224;28.25,92.75;29.75,218;57,160.75;97.5,214;20.5,18.75;67.25,164;72.25,94;79.5,200.5
1392;21,96.25;29.75,218;87.25,145.5;96.5,214;22.5,37.5;53.5,178.5;72.25,94;79,200.75
3500;8.25,97;31.75,191;55.75,155.25;96.5,214;22.5,31.75;43,203;72.25,94;79,200.75
4402;8.25,97;24.25,194.25;55.75,155.25;90,188.25;6.75,49.25;63,214.75;73.25,75;79,200.75
989;9.25,95.75;15,176.75;58.75,138;111.25,190.5;6,35.75;63,214.75;65,87.5;79,200.75
4106;9.25,96.5;17.75,176.75;58.25,137.75;111.25,190.5;26.25,20.25;56.75,201.5;65,87.5;66.5,215
4793;3.5,97.25;18.25,179.75;36.25,141.75;100,222.25;43.5,55;46.25,207;65,87.5;66.5,215
1179;1.75,132;8,192.75;72.5,127;100,222.25;15.25,49.75;46.25,207;50,83.5;70.75,218.25
5624;1.75,132;4.5,174.25;55.25,155.5;100,223.25;20,15;46.25,207;50.5,83.25;88,216.75
1374;1.75,132;4.5,174.25;41.75,133.25;100,223.25;15.5,35;33,229.5;46.5,114.5;108.25,209.75
1343;1.75,132;9,162.5;37.5,169.75;100,223.25;6.75,17.5;14,243;61,118.5;108.25,209.75
5427;0.25,132;9,162.5;68.5,161.25;121.5,249;28,49;30.5,250;90.5,131.25;108.25,209.75
3477;13,121;15.25,154.25;82,170.25;100,236.25;29,46.75;30.5,250;90.5,131.25;108.25,209.75
1952;4,143;10.5,134.75;82,170.25;98.5,259.75;6.5,34.5;30.5,250;75.5,131;90.75,246.25
3932;7,166.25;10.5,134.75;82.25,176.75;113,264.75;10.75,18;30.5,250;60.25,107.25;87.5,272
3431;7,166.25;22.5,147.75;80.75,149.5;97.25,245.5;1.5,44;20.25,221.25;73,93.75;87.5,272
4390;5.25,165.25;22.5,147.75;76.75,161.25;99.25,234.75;1.5,43.5;20.25,221.25;76.25,103.75;113.75,262.75
2975;5.25,167.75;28.5,147.75;76.75,161.25;78,244.75;4.5,29.5;12.25,230.75;76.25,103.75;106.75,248
2906;4.25,148.75;64,166.5;79,123.75;80,242.5;4.5,29.5;12.25,230.75;84.25,86;106.75,248
