begin;0,0;0,274.5;74.75,0;74.75,274.5;0,0;0,274.5;74.75,0;74.75,274.5
4293;7.75,106.25;39.75,69;44.25,144.5;58.75,266.25;25.75,3.5;31.25,185.75;33.75,7.5;69.5,223.5
8595;7.75,106.25;24.5,53.25;42.5,146;58.75,266.25;12.75,21;22.25,176.5;40,27;69.5,223.5
3171;7.5,92.75;24.5,53.25;54.25,138.25;58.75,266.25;19.25,4;22.25,176.5;23.75,7;47.5,224
1563;8.25,118.25;13.5,78.5;41,144.25;57.25,266.5;19.25,4;22.25,176.5;31.75,4;34,203.5
691;8.25,118.25;39.75,90.75;40.75,140.25;67,236.5;19,17.5;23.75,174;31.75,4;47.5,221.25
12277;8.25,118.25;42.75,98;48.5,149.25;65,239.5;20.25,22.25;23.75,174;31.75,4;38.25,229.25
1978;8.25,118.25;17.5,91.75;44,130.75;65,239.5;23.25,18.25;26.25,180.75;26.5,26.75;37.25,228.75
8864;20.5,122;28,66;33.25,105.5;48.25,223.25;23.25,18.25;26.25,180.75;26.5,26.75;34.25,206.25
9073;8.25,118.25;28,66;32,107;48.25,223.25;26.25,10;29.75,201.25;36.25,58.5;45.75,195.5
9160;8.25,118.25;28,66;29.5,124;48.25,223.25;17,6.75;32.75,187.25;53.5,61.25;58.5,180.5
12054;9.25,132.75;28,66;41.75,118.25;50.5,226.25;17,6.75;37.75,182.25;55.5,54;58.5,180.5
9263;20.75,123.25;24.25,39.5;41.75,118.25;49.75,212.25;27.25,5.25;35.5,166.75;55.5,54;65.25,177.75
10768;20.75,123.25;24.25,39.5;48.75,118.25;49.75,212.25;24.25,28.75;44.25,144.5;62.75,63;68.5,173.75
4388;20.75,123.25;24.25,39.5;40,139.25;54.75,238.25;6,52;53,145;67.75,45.25;71.75,149
406;9.75,106.5;19.75,53.25;48.25,149.25;54.75,238.25;14.75,21.25;49,121;53.5,39.25;71.75,149
4483;20.5,124.75;27.25,52.75;51.5,165.25;54.75,238.25;14.75,21.25;44.75,115.5;58.25,37.75;65.75,167
11797;29.75,122.25;41.25,70.5;51,164;54.75,238.25;14.75,21.25;47.25,90.75;65.5,35.25;65.75,167
9414;29.75,122.25;41,73.75;51,164;54.75,238.25;17.5,5.75;44.25,91;66.25,63.25;72.5,156.5
3647;29.75,123.75;50.75,90.25;51,164;55.75,227.5;17.5,5.75;29,109.5;65,59.25;66.75,135.25
8780;8,109;51.5,61.25;54.25,127.25;55,227.5;17.5,5.75;35.5,112.75;60,64.25;66.75,135.25
8021;9,122.25;31.75,49.5;43,145;55,227.5;17.5,5.75;35.5,112.75;40,59.5;70,135
10262;9,122.25;17.75,26;24.75,157.5;51.75,206.25;18.75,5;39.5,107.75;41.25,59.75;70,135
78;13.5,126.75;18.75,57.75;24.75,157.5;38,227.25;18,18;22.25,102.75;41.25,59.75;70,135
11240;11.75,126.5;12,80.5;21.5,180.5;38,227.25;18,18;22.25,102.75;40,58.5;54.5,140.5
3055;6,153;26,56.25;32.5,190.25;37.5,228;19.25,45;22.25,102.75;43.75,37.25;54.5,140.5
8936;23.5,151.75;26,56.25;33.25,218.5;61,238.75;0.25,43.75;6.25,79.25;43.75,37.25;55.5,140.25
2941;12.75,179.75;14.25,50.5;33.25,218.5;65,240;24.5,45.75;27,86.5;30,30.5;55.5,140.25
9504;0.5,168;28.5,50;33.25,218.5;65,240;24.5,46.25;29,86.5;39.5,4.5;47.5,168
12569;18.75,159.5;27,50;31.25,191.25;65,240;13,31;37,72.75;37.25,16;47.5,168
5114;14.25,181.75;27,50;28.5,221.75;48.25,257.75;18.25,20.75;37,72.75;37.25,16;60.75,197.5
12351;14.25,181.75;28.5,54.75;32.5,226.75;58,268.5;18.25,20.75;35.75,70.75;37.25,16;44.25,229.5
147;10.5,220.5;28.5,54.75;38.75,225.75;39.5,236.5;26.25,59.5;29.75,31.75;37.25,16;49.25,229.25
498;10.25,219.5;12.75,42.75;26.75,218.75;52,257.75;26.25,59.5;29.75,31.75;33.25,4.25;47.25,221.75
10436;17.75,219.25;23.5,27;23.5,225.75;65,238;27.5,59.75;29.75,31.75;31.25,4;47.25,221.75
12286;15.75,223;24,28.5;26.75,225.75;65,238;4,62.25;29.75,31.75;31.25,4;34.5,240.25
2642;20.75,205.5;24,28.5;41.75,248;44.5,247;4,62.25;21.25,17.75;31.25,4;41.5,262
11736;25,221;39.5,5.5;56,268.75;67.25,240.75;4,62.25;21.25,17.75;31.25,4;54.75,244.5
12925;24.25,218.5;39.5,5.5;55,269.75;63.5,240.75;4,62.25;25,2.25;26,30.25;54.75,244.5
322;27,219.5;39.5,5.5;55,269.75;67.75,236.75;4,62.25;17.5,6.75;37.25,37.25;68.25,242.5
5348;5.5,241.5;39.5,4.75;52.5,247.25;55.25,237.25;4,62.25;17.5,6.75;48,19;51.25,231.5
4152;7.5,255;39.5,0.5;43.5,255.75;50,249.25;4,62.25;24.5,11.5;38.5,32.75;51.25,231.5
1524;7.5,255;13.75,11.75;31.25,249.25;49.25,264.5;2.25,56.25;17.5,17.25;39,6.75;51.25,231.5
9533;7,262;13.25,8.75;32,225.5;37.75,247.25;13,49.75;17.5,17.25;26.75,5.25;51.25,231.5
1867;7.75,273;13.75,8.75;23.75,219.5;37.75,247.25;14,50;42.5,17.75;50.5,11.5;51.25,231.5
5757;11.75,267.25;13.75,8.75;16.75,208;41.75,237.25;14,50;38.75,31.75;49.25,11.25;51.25,231.5
11574;11.75,267.25;13.75,8.75;28.5,181.75;32.75,225.75;14,50;33.25,30.75;47.5,38.25;49.75,243.5
11212;11.75,267.25;13.75,8.75;13.75,179.25;33.25,221.25;28.75,58;32,22;38.75,17.5;73.75,246.5
4784;2,248.5;18.75,9.5;25.75,190.25;35.25,191.75;28.75,58;30.75,5.5;32,22;63.25,242.75
6188;18.75,226.75;20.25,8.75;25.75,190.25;45.25,181.25;28.75,58;30.25,20.75;39.25,3.5;60.25,223
5976;7.5,248;19,10.5;25.75,190.25;51.5,157;7,52.5;30.25,6;46.25,16.75;60.25,223
1744;14.5,241.25;19,10.5;19,178.25;59.75,146;7.75,52;26.75,22.5;46.25,16.75;50.5,229.75
6631;8,222.75;20.5,10.25;30.25,191.25;62.75,146.25;6.25,72.75;32.75,45.25;46.25,16.75;50.5,229.75
1442;1.25,202.25;20.5,10.25;30.25,191.25;54.75,137.5;5.25,72;11.75,35.25;25,11;50.5,229.75
853;13,197.25;16,7.25;28.25,190.25;41.75,144.5;5.25,72;11.75,34.75;43.25,18.5;50.5,229.75
12171;12.75,208;16,7.25;20.5,191.5;46.5,144;5.25,72;18.5,15.25;41.5,6.5;42,229.75
12358;0.75,233.5;12.25,29;20.5,191.5;25.5,144.5;12.25,48;21.5,17;41.5,6.5;47.75,260.25
11255;0.75,233.5;10.75,15.25;13,174;41.75,149.25;11.75,48;35.5,26.75;46.5,31.25;47.75,260.25
4;9.25,229.75;10.75,15.25;13.5,171;59.25,131.25;30.75,49.75;35.75,28;46.5,31.25;46.5,261.75
2380;3.25,258;10.75,15.25;27.25,170.5;61.25,121.25;25.75,15.25;30.5,45;35.5,23.25;46.5,261.75
8995;15,271;15.75,47.75;19.25,161.5;32.75,122.5;8.25,34.25;25.75,15.25;35.5,23.25;46.5,261.75
9969;0.75,249.75;8.75,55.25;19.75,157;28.25,121.75;7.75,46.5;25.75,15.25;35.5,23.25;40,250.25
457;4.25,242.25;24.75,39.5;28,181.25;28.25,121.75;11.75,73.25;18.25,21.75;35.5,23.25;46.75,223.5
11729;4.5,249.5;10,52.75;26.75,170;28.25,121.75;11.75,73.25;18.25,21.75;43.5,4;68.75,222
5277;8,220.75;26,53.25;28.25,200;30,87.25;16.5,49.25;18.25,21.75;47.25,4;68.75,222
11610;8,220.75;17.75,57.25;42.75,180.75;45.75,91.25;16.5,48.75;29,23.25;44.25,26.75;68.75,222
8790;10,220.5;27,53.25;42.75,180.75;45.75,70;16.5,48.75;18.5,15.25;30.75,27.75;68.75,222
10951;20.25,218.25;26.75,55.75;35.5,179.5;46.5,70.75;1.5,33.25;18.5,15.25;30,45;68.75,222
2409;12.75,201;17,66.5;35.5,179.5;36.75,90.25;1.5,33.25;32.25,3.75;41.5,36;68.75,222
10817;22.75,205.5;25.75,69.5;26,203;36.75,90.25;1.75,33.75;14.75,7;31.5,23.25;68.75,222
851;11.75,185.75;13,89.25;32.25,220.25;57.75,113.5;1.75,33.75;14.75,7;37.5,21.75;38.75,223.5
55;11.75,185.75;25,104;37.25,221.5;55.25,128.25;2.25,33.75;14.75,7;37.25,20.75;46.25,223
10616;2.25,194.5;21.5,103;45.75,236.75;54.75,148.75;1.75,33.75;14.75,7;37,32;46.25,223
3757;2,195;21.5,103;44,247.25;46.5,138;4.75,41.5;22.5,5.25;37,32;40,232.75
5513;2,195;38.25,114.25;48.5,264;55.25,139.25;4.75,41.5;18,6;24.25,13.25;46.75,231.25
2798;15.75,212;19.25,126;49.25,248.25;56.25,140.25;4.25,42;18,6;42,30.25;46.75,231.25
4994;19.25,222.75;43.25,117.75;50,249.5;60.25,112.75;3.5,28.75;28.5,11;42,30.25;46.75,231.25
9322;8.75,209.5;43.25,117.75;49.5,248.75;62.5,99.5;2.5,28.75;25,7.25;42,30.25;56.5,235.5
4043;8.5,209;21.75,125.75;39.25,257.75;63,95;2.5,28.75;16.75,20.75;42,30.25;56.5,235.5
12075;11.25,219.75;30.75,103.5;39.25,257.75;63,95;10.5,31.5;11.25,34.25;26.5,44.75;56.5,236.5
5521;1.5,202.5;38.5,101.25;46,269;55.25,77.5;11,31.5;11.25,34.25;26.5,44.75;56.5,236.5
7655;24.5,221.25;32.5,104;43,258.25;47.25,60.5;11,31.5;33.75,45.5;47.75,38.25;56.5,236.5
6292;16.75,222.5;44,113.5;54.75,239.75;58.25,61.5;24.5,7.25;33.75,45.5;47.75,38.25;56.5,236.5
4209;4.75,242.25;44,113.5;46.75,248.25;51.5,77.5;18.5,4.5;26,32.25;47.75,38.25;60.5,243.75
1419;4.75,258;45.25,113.75;46.75,248.25;50.5,61.25;18.5,4.5;38.5,36.25;63.75,39;70.5,221.5
3951;4.75,258;35,125.75;39.75,270.5;60.75,72.5;40.5,6;52,21;62.75,47.75;70.5,221.5
4319;14,235.25;39.25,107.5;39.75,270.5;58.75,62.25;40.5,6;47.25,18.25;54.75,37.5;71.75,233.5
6340;14,234.25;35.25,105.5;39.75,270.5;66.25,63.5;18,4.5;30.5,2.5;54.75,37.5;70.75,237
12993;17.25,245;28.5,83.75;42,257.75;66,60.5;18,4.5;30.5,2.5;59.5,49.25;70.25,237
848;25.5,221.5;30.5,69.5;42,257.75;66,60.5;16,5.5;22.75,7;59.5,49.25;68.5,261.5
4352;15.25,219.75;28.5,66.5;45.75,247.75;53.25,62.5;16,5.5;43,2;59.5,49.25;67.75,262
4171;13.5,207.5;28.5,66.5;38.25,225.75;51.25,63;25.5,17.25;43,2;67.25,52;67.75,262
6851;17.25,198;18.25,55.75;49.75,205.25;51.25,63;20,23.75;25,9.5;62.75,53;67.75,262
4370;24.25,221.75;37,44.5;49.75,205.25;52.5,63.5;16.25,9.25;20,23.75;63.25,45.75;67.75,262
10054;24.25,221.75;26.25,51.75;49.5,208.75;64.5,63.5;30.25,7;37.25,32.5;63.25,45.75;67.75,262
9054;8.25,218.5;26.25,51.75;29.5,209;54.75,74.5;30.25,7;62.75,17;67.5,55.75;68.75,258.75
9909;1.5,196.5;5.75,72;29.5,209;63.5,102.25;37,31;63,43;63.5,37.75;68.75,258.75
12775;2,196.5;5.75,72;8,221.75;63.5,102.25;14.75,37;62.75,44.5;63.25,47.5;68.75,258.75
12797;2,196.5;6.25,62.5;7.75,248.5;59.75,73.5;16,15.75;35,58;62.75,44.5;68.75,258.75
11489;2,196.5;6.25,62.5;16.25,249;57.5,91;19.25,5.75;36.5,72.75;65.5,31.5;68.75,258.75
7797;4,179.25;5.5,62.75;18.5,218.5;58.5,91;24.25,2.75;36.5,72.75;42.75,36;68.75,258.75
6131;4,180.25;18.25,36.5;29,226.25;48.5,127;24.25,2.75;33.25,45.5;68,48;68.75,258.75
13088;4,180.25;18.5,37.25;30.5,225.75;61.75,140.5;17.5,5.25;33.25,45.5;67,47;68.75,258.75
4768;15,159.5;18.5,37.75;30.5,225.75;54.75,143.75;22,4.25;32.5,44.75;67,47;68,264.75
11445;0.75,150.25;11.75,42.75;19.5,218.25;44,145.5;22,4.25;32.5,44.75;67,47;67.75,265
12848;0.75,150.25;11.75,42.75;24.5,201;39.75,135;15.5,3.25;32.5,44.75;63,64.75;67.75,265
4848;0.75,150.25;10.5,27;32.75,223;35.5,144.5;27,6.25;32.75,21;63,64.75;67.75,265.5
2010;4.5,164.25;14.5,22;32.75,223;56.25,149.75;14.75,2.25;26,4.25;63,64.75;67.75,265.5
3952;2,162.75;19.25,57.75;32.75,223;63.5,136.5;42,4.5;47.25,19.75;51.75,76.75;67.75,265.5
4973;1.5,165.75;19.5,66.5;32.75,223;34.5,133.75;37.75,22.5;42,4.5;46.25,91.75;67.75,265
11588;13.75,181.75;22.5,45;37.25,226.75;38.25,122.5;26.25,42.25;42,4.5;51.5,90;67.75,265
12028;3.25,159.5;17.25,53.25;37.25,226.75;43.25,116.75;1.75,42;39.5,5.25;49,69.25;67.75,265
12549;17.5,161.5;17.75,55.25;37.25,226.75;62.5,107.75;12.5,21;39.5,5.25;62,84;67.75,265
183;17.5,161.5;35.75,75;41.5,247.25;48.5,118.5;10,38.5;48.25,19;62,84;69,258.25
5808;18.25,163.5;45.25,52.75;47.5,268;48.5,118.5;16.75,50.75;33.25,7.5;62,84;67.75,257.75
9951;18.25,163.5;45.25,52.75;47.5,268;54.75,147.25;14.25,46;35,30.75;64.75,62.75;69.5,266.75
8420;18.25,163.5;48.75,41.75;53.25,247.25;54.25,149;26.75,45.25;35.25,6.75;64.75,62.75;67.75,265
3300;40.75,162;54.5,56;57,269.5;61,148.25;19,21.25;32.75,2;64.75,62.75;67.75,265
9864;40,139.25;45.75,48.75;51,271;61,148.25;19.75,22;32.75,2;33,58;46.25,231.25
12818;33.75,127.25;48.25,69.5;49.5,248.25;50.75,159.25;25.25,23.25;32.75,2;33,58;36.75,211
8528;38.25,144.25;38.5,68.5;49.5,248.25;59.5,152.5;25,3.75;25.25,23.25;32.25,61.25;33.75,203.25
