4;0;net_0;net_1;net_6446;net_8273;net_25363;net_38744;net_39577;net_52162
8;0;net_1752;net_7182;net_15826;net_16817;net_30004;net_45312;net_50664;net_53809
16;0;net_786;net_1952;net_2339;net_6517;net_13499;net_21434;net_36957;net_46491
22;0;net_6165;net_6322;net_10433;net_11341;net_34719;net_39221;net_39609;net_45863
38;0;net_2682;net_3093;net_18080;net_19181;net_42144;net_45696;net_49082;net_54301
31;0;net_4151;net_17741;net_18834;net_25964;net_31764;net_38591;net_39318;net_45841
47;0;net_1;net_2033;net_4422;net_13254;net_14517;net_23382;net_38320;net_40252
55;0;net_0;net_1;net_1612;net_2069;net_17794;net_23913;net_39412;net_54203
58;0;net_0;net_2863;net_7009;net_12882;net_29702;net_36325;net_45826;net_52108
91;0;net_0;net_3549;net_7101;net_7483;net_13608;net_31332;net_33058;net_45555
105;0;net_0;net_921;net_12837;net_21473;net_29859;net_37685;net_47362;net_51528
106;0;net_0;net_4943;net_6876;net_11625;net_20060;net_32389;net_35182;net_40237
119;0;net_1037;net_1160;net_4116;net_8695;net_26488;net_33004;net_43003;net_53956
138;0;net_0;net_2323;net_2514;net_21916;net_23202;net_23458;net_39336;net_51058
158;0;net_0;net_11094;net_12687;net_21305;net_25355;net_31669;net_37863;net_52379
173;0;net_5709;net_11754;net_20189;net_22156;net_29163;net_33843;net_40474;net_44940
191;0;net_5730;net_5825;net_12902;net_27952;net_31153;net_48641;net_50310;net_51348
245;0;net_1;net_2844;net_4675;net_19031;net_21823;net_34919;net_42431;net_48694
250;0;net_10639;net_10777;net_19905;net_27329;net_33021;net_35215;net_36856;net_40563
261;0;net_2545;net_10538;net_22473;net_23609;net_29063;net_39193;net_41641;net_47163
306;0;net_1922;net_9177;net_22522;net_23802;net_28237;net_40740;net_41163;net_49185
822;0;net_2552;net_6939;net_15414;net_18460;net_18605;net_39501;net_47770;net_50272
312;0;net_0;net_13976;net_26417;net_27491;net_29321;net_29416;net_37592;net_39075
349;0;net_2819;net_3245;net_15423;net_21840;net_23078;net_27703;net_43659;net_47076
369;0;net_985;net_3695;net_22692;net_24552;net_31343;net_39080;net_47382;net_49130
389;0;net_6780;net_8275;net_10914;net_22213;net_46140;net_48423;net_50187;net_50198
400;0;net_6805;net_7966;net_9766;net_24683;net_32346;net_35511;net_42205;net_44073
425;0;net_2454;net_8127;net_12056;net_23244;net_27113;net_28485;net_44053;net_48860
453;0;net_4462;net_15819;net_18860;net_20241;net_34295;net_34613;net_40977;net_42249
468;0;net_1269;net_2206;net_17143;net_19164;net_25565;net_37335;net_43389;net_46394
536;0;net_0;net_237;net_17847;net_23385;net_26794;net_29433;net_38842;net_51782
541;0;net_0;net_2312;net_8897;net_15255;net_18069;net_36280;net_36594;net_54282
575;0;net_4882;net_13954;net_19181;net_26578;net_36462;net_37250;net_42126;net_47604
582;0;net_7816;net_10317;net_14713;net_27853;net_28522;net_31379;net_43925;net_46728
597;0;net_0;net_23017;net_25875;net_27392;net_33112;net_34141;net_42643;net_52909
613;0;net_8004;net_10624;net_19430;net_27625;net_28559;net_40301;net_50907;net_53324
619;0;net_0;net_7236;net_23163;net_23938;net_26709;net_33315;net_33848;net_46742
632;0;net_1;net_365;net_830;net_2435;net_9157;net_27894;net_33570;net_48964
634;0;net_130;net_11660;net_17118;net_28203;net_35038;net_43535;net_46091;net_53603
653;0;net_2998;net_6184;net_6606;net_10608;net_23715;net_30616;net_33915;net_41460
644;0;net_1383;net_6014;net_18696;net_21717;net_25480;net_42582;net_43918;net_45661
651;0;net_320;net_1367;net_1714;net_1971;net_23574;net_31114;net_31305;net_53417
682;0;net_0;net_1906;net_7113;net_10784;net_12605;net_19388;net_36853;net_38296
696;0;net_5548;net_14869;net_15936;net_18403;net_39964;net_49059;net_49879;net_54208
697;0;net_1;net_3022;net_10975;net_25911;net_36188;net_45953;net_46286;net_48961
700;0;net_0;net_16070;net_20857;net_23094;net_30774;net_40209;net_46464;net_53117
724;0;net_0;net_3383;net_5753;net_22510;net_35358;net_35508;net_38611;net_48271
755;0;net_1539;net_15316;net_19846;net_26788;net_32545;net_33607;net_37829;net_49808
745;0;net_0;net_3127;net_6776;net_7989;net_25843;net_30335;net_38660;net_40288
765;0;net_0;net_9528;net_15046;net_17197;net_22584;net_35539;net_47141;net_51936
791;0;net_1887;net_14835;net_16938;net_23206;net_26731;net_31334;net_45811;net_47383
793;0;net_1;net_4709;net_6119;net_16070;net_24818;net_39685;net_43590;net_45128
818;0;net_2004;net_18341;net_20034;net_23613;net_25178;net_36215;net_41060;net_54566
825;0;net_1088;net_2236;net_14170;net_14917;net_37303;net_39142;net_51757;net_52249
827;0;net_3890;net_9992;net_15797;net_20956;net_34541;net_37834;net_38003;net_54367
838;0;net_0;net_788;net_15757;net_26609;net_39400;net_41662;net_48472;net_54633
843;0;net_1178;net_2565;net_6038;net_18936;net_31097;net_35719;net_40804;net_43664
855;0;net_8638;net_10811;net_21379;net_25030;net_29315;net_38242;net_38774;net_52091
867;0;net_0;net_6270;net_20297;net_21502;net_38881;net_43201;net_47347;net_54499
878;0;net_3961;net_7907;net_24227;net_27908;net_34031;net_42106;net_44789;net_48095
1027;0;net_2956;net_7010;net_25998;net_27850;net_30730;net_34006;net_53242;net_54453
917;0;net_0;net_9371;net_16545;net_20975;net_30974;net_36327;net_51495;net_51733
975;0;net_22498;net_23129;net_24792;net_27571;net_32024;net_38043;net_48280;net_54083
925;0;net_1467;net_6240;net_11756;net_12476;net_17986;net_46489;net_47162;net_51483
929;0;net_16635;net_16815;net_24642;net_25663;net_40463;net_47021;net_50747;net_54011
955;0;net_14116;net_14158;net_16304;net_25329;net_37800;net_40188;net_48481;net_54352
986;0;net_0;net_5126;net_18469;net_23883;net_34987;net_40422;net_49768;net_51761
979;0;net_0;net_19433;net_26044;net_26067;net_38802;net_39423;net_42369;net_45206
1024;0;net_925;net_2132;net_13813;net_14207;net_33058;net_38368;net_44942;net_54095
1015;0;net_0;net_1;net_1783;net_8184;net_8468;net_29759;net_43998;net_47892
1017;0;net_13501;net_22553;net_22666;net_24649;net_30747;net_40631;net_45609;net_50948
1034;0;net_2006;net_10704;net_11031;net_21654;net_26891;net_32165;net_46030;net_47675
1059;0;net_2494;net_3555;net_10308;net_13499;net_18615;net_28400;net_41869;net_51466
1074;0;net_13206;net_17820;net_18845;net_23980;net_39621;net_46710;net_47140;net_53199
1087;0;net_0;net_426;net_2184;net_14172;net_29045;net_41412;net_44951;net_45343
1108;0;net_0;net_1;net_4252;net_9419;net_9845;net_16670;net_33820;net_54341
1119;0;net_4912;net_11872;net_13863;net_18927;net_30007;net_32300;net_41822;net_52795
1120;0;net_0;net_1304;net_4909;net_5642;net_14561;net_34166;net_42099;net_53178
1183;0;net_274;net_23021;net_24394;net_24491;net_39559;net_42065;net_43882;net_46494
1248;0;net_339;net_827;net_7122;net_7602;net_16351;net_28163;net_31764;net_49904
1277;0;net_3370;net_3954;net_8357;net_17332;net_29046;net_31164;net_32664;net_46152
1297;0;net_379;net_2458;net_4262;net_19476;net_21994;net_29199;net_44284;net_52121
1257;0;net_0;net_2876;net_3999;net_12963;net_24611;net_27235;net_33980;net_36637
1309;0;net_1122;net_1524;net_7992;net_8242;net_12597;net_28522;net_43431;net_50722
1347;0;net_0;net_456;net_2164;net_2945;net_10248;net_19119;net_47973;net_48017
1361;0;net_1433;net_5413;net_10638;net_25174;net_35246;net_36468;net_37040;net_39869
1376;0;net_0;net_609;net_4973;net_10336;net_10403;net_40842;net_42479;net_43739
1408;0;net_1;net_11923;net_18285;net_25120;net_38286;net_39863;net_44687;net_46488
1360;0;net_1908;net_2379;net_5758;net_17888;net_20531;net_44967;net_45573;net_53632
1460;0;net_0;net_1430;net_10643;net_11671;net_24755;net_33794;net_33985;net_41397
1465;0;net_1635;net_17832;net_22196;net_24375;net_25614;net_33042;net_34210;net_36118
1468;0;net_7317;net_9046;net_19577;net_22955;net_30144;net_32054;net_38697;net_48182
