begin;0,0;0,174.75;324,0;324,174.75;0,0;0,174.75;324,0;324,174.75
14782;0.25,32.25;53,90.75;242.25,11.25;310.75,61.5;0.25,32.25;43.5,63.25;242.5,13.5;302.5,105.5
5161;18.5,22.5;28,110;242.25,11.25;308.75,61.25;0.25,32.25;45.5,61.25;253,30;308,87.5
16210;26.5,22.25;28,110;242.25,17.75;308.75,61.25;0.25,32.25;66.25,61.25;226.25,38.25;318.5,76.75
998;26,36.75;51,105.25;258,44.25;299.75,86.75;24.75,44.75;65,61;226.25,38.25;318.5,76.75
17031;39.25,8;73.75,100;257.5,44;287,120.5;24.75,44.75;65,61;212.5,12.75;318.5,76.75
6668;39.25,8;77.25,120;256.5,43.25;278,148;42.25,20.75;59.5,47.75;183,8.5;318.5,76.75
684;64.5,22;94.25,99.5;256.5,43.25;307,150.5;20.75,22.75;59.5,47.75;183,8.5;312.25,77
22790;64.5,22;87.75,97;249.75,45.25;309.75,131.25;27.75,44.25;59.5,47.75;175,10.25;311.25,48.75
15209;72.25,18.25;77,97.25;249.25,45.25;296.5,115.5;27.75,44.25;59.5,47.75;185,16.75;315,66.5
1011;90.5,4;93.5,115.25;245.75,33.25;294.5,115.5;36.25,31;59.5,47.75;184.75,16.25;315,66.5
4827;90.5,4;113,102.25;243.5,17.5;276.75,147;6.75,18.5;84.75,51;184.75,16.25;315,66.5
19986;108.5,2.75;113,102.25;243.5,17.5;290.5,152.75;24.5,24.75;65.5,29.5;184.75,16.25;303.5,38.5
3317;88.25,10.5;102,119.5;215.75,2.5;281.75,166;24.5,24.75;65.5,29.5;179,22;303.5,38.5
13622;69.5,21.75;102,119.5;215.75,2.5;281.75,166;39,36.25;85.25,3;188.25,5.5;306.25,67
16114;89.5,12;102,119.5;215.75,2.5;308.75,144.75;47.75,1.25;92.5,2.5;188.5,3;307.25,67.25
18573;84.75,12;102,119.5;215.75,2.5;311.5,170.75;63.5,29;126.5,21;172.5,34;321,80.5
20921;84.75,12;102,119.5;215.25,4.75;311.5,170.75;41.75,32.25;115.75,45.5;184.5,8.25;314,71.5
13843;91,6;102,119.5;215.25,4.75;311.5,170.75;24.25,40.75;131.25,70.75;203.25,31.5;318.5,88.25
21874;72.75,30.5;102,119.5;223.75,40.75;279.75,147.5;24.25,40.75;102.5,40;203.25,31.5;323,89.25
20228;72.75,30.5;102,119.5;232,10.75;269.25,122.25;27.75,62.25;123.25,36.5;182,52;323,89.25
12485;68,31;85.75,108;218.75,35.5;262.75,118.25;27.75,62.25;127.75,35.25;182,52;318.25,79.5
19987;67.5,31;79.5,121.5;219.25,35.25;245.5,97;58.5,56.5;104.5,38;182,52;318.25,79.5
22186;67.5,31;68.5,146.25;227,51;245.5,97;58,56.25;90,60;167,48.25;318.25,79.5
15443;67.5,31;68.5,146.25;227.25,49.75;245.5,97;58,56.25;122,63.25;149.75,27.5;323,79
5231;33,44.75;69.25,142.75;227.25,49.75;244.75,97;23.25,66.25;147.5,55.75;179.75,42.5;323,79
13331;12,28;69.25,142.75;227.25,49.75;254.5,73.5;16.5,84.25;130.5,35.5;183.5,19;323,79
16128;12,28;78.5,161.25;250.25,42.25;254.5,73.5;37,86;135,57.5;183.25,19.5;318.75,70
16067;1.5,24.5;89.75,174.25;250.25,42.25;280,68.75;20.5,91.5;110.75,47.75;183.75,19.5;318.75,70
11974;3,38.5;89.75,174.25;249.75,42.5;285,65.25;19,92.75;104,67.75;173,24;318.75,70
23092;0.25,35.25;89.75,174.25;223.25,57.5;265.5,48.25;33,122;103,70.75;151.5,42;318.75,70
20381;0.25,35.25;89.75,174.25;225.5,47.5;266,48.25;29.5,92.25;115.5,94.25;135.25,34.25;318.75,70
21136;3.5,22.5;109,168.25;219.5,73.5;266,48.25;44.25,66.75;108.25,120.25;135.25,34.25;318.75,70
9351;3.5,22.5;108.75,167.75;195.25,74.25;272.5,23.75;23.5,84;108.75,116;152.75,39.5;318.75,70
23248;1.75,52.75;108.75,167.75;182.5,77.25;246,17;30,110.5;108.75,116;134.25,17;318.75,70
23714;1.75,52.75;108.75,167.75;209.25,50.75;245.25,17.75;23,120.25;84.25,101;163.75,8.25;318.75,70
11378;16,65.25;108.75,167.75;190.25,37;245.25,17.75;33.75,112.5;84.25,101;167,45.75;323.5,80.25
4603;16,65.25;85.25,163.25;199.75,40;254.5,25.5;33.75,112.5;82.75,101.25;173,46.25;291.25,99.5
24097;16,65.25;90.25,128.5;181,38;254.5,25.5;48,116.25;63,108;173,46.25;274.75,133.5
18043;25.5,73.25;104.25,151.5;181,38;255.75,29;72.25,97.75;88,124;173,46.25;274.5,133.75
17684;49.5,89.75;104.25,151.5;153,25.5;238.25,28.75;60,66.75;72.5,97.25;173,46.25;280.5,116.25
22536;48.5,89.75;104.25,151.5;152.25,24;222.25,12.5;48.5,71.25;72.5,97.25;173,46.25;290.5,135
12006;23.75,74.75;104.25,151.5;152.25,24;228,32.25;50,68.25;96,107;173,46.25;317,146.75
21461;23.75,74.75;111.5,130.75;159.25,8.5;246,28.25;64.75,91.25;101,132.25;173,46.25;317,146.75
12663;10,67.5;127.75,129.75;159.75,8.5;225.5,21.25;64.75,91.25;118.5,157.5;163.25,70.25;317,146.75
15892;10,67.5;153.5,100.25;160.25,8.25;225.5,21.25;76.5,88.75;143,166.75;187.25,67.75;306,148.25
5982;32.25,50.25;153.5,100.25;177.5,36;206,2.75;76.5,88.25;164.75,169.5;187.25,67.75;301.25,132
11709;20.5,26;129.75,83.75;164.75,27;206,2.75;48.75,75.5;164.75,169.5;166.75,94.5;300.5,132.25
2432;3,47;118,58.5;158.25,16;208.5,19.75;59.75,76.5;164.75,169.5;166.75,94.5;300.5,132.25
14857;3,47;101.5,26.5;165,0.5;210.5,17.75;69.75,44.75;146.75,167.25;166.75,94.5;300.5,132.25
22153;3,47;106,3.25;165,0.5;190.5,27.25;43,22.75;146.75,167.25;201,99;300.5,132.25
10752;0.25,48.25;105.25,3.75;165,0.5;175,37.5;43,22.75;142.25,164.75;217.25,114.25;293.75,147.75
5960;25,48.25;105.25,9.25;161.75,5;182,21;17,25;142.25,164.75;217.25,114.25;295,150
20547;25,48.25;82.5,29.75;175,5.75;179.25,44.5;12.75,58.25;161.75,161.5;208.5,97.25;295,150
22099;14,26.25;82.5,29.75;174.5,5.75;179.25,44.5;42,65.25;161.75,161.5;205.5,88;281,158
21589;14,26.25;86.25,6;149,1;166.25,17.25;42,65.25;161.25,166.25;181.5,85;281.75,159.25
21897;38.5,28.25;111,26;152,23;180.75,39.25;42,65.25;161.25,166.25;163.25,52.25;281.75,159.25
6364;46.5,30;114,25.75;152.5,22.5;180.75,39.25;42,65.25;125.75,166;126.25,44.75;291.25,165.75
3234;46.5,30;85.75,25.25;152,22.5;180.75,39.25;25.25,45;114.25,168.75;145.5,39.5;279.75,143.75
18447;41,29.75;85.75,25.25;152.5,22.5;175.5,22.75;32.75,20.75;114.25,168.75;133,23.25;279.5,145.5
9551;52.5,30.75;85.75,25.25;152,22.5;175.5,22.75;38.25,42.25;97.75,161.25;136,20;272.75,114.25
5098;52.5,30.75;99.5,39.25;152.25,12;188,35.75;22.25,45.5;78.25,143.75;136,20;264.25,116
21766;71.25,29.25;112,59.5;153,12.75;180.25,20.75;16.25,24.5;78.25,143.75;136,20;263.25,115.75
23592;71.25,9;109,86.75;153,12.75;171.75,42.5;13.25,48.25;78.25,143.75;139.75,24.5;263.25,115.75
5269;71.5,9;80.5,98.5;153,12.75;187.5,26.75;24,34.5;78.25,143.75;139.75,24.5;272.75,132
8540;71.5,9;91,91.5;153,12.75;187.5,26.75;27.75,62.25;43,130.5;136.25,37.25;274.25,109.25
11374;76,24.75;91,90.75;144.75,20.5;171.25,7.5;27.75,62.25;49,110.75;142,28.75;274.25,109.25
