begin;0,0;0,224.75;373.75,0;373.75,224.75;0,0;0,224.75;373.75,0;373.75,224.75
16778;0,36.25;22.25,106.25;301.25,55;334,118.25;0,36.25;6,177;251.75,42.75;296,153
51329;0,36.25;22.25,106.25;297.5,14.75;334,118.25;2,29.75;44.25,183.25;251.25,19.5;254.75,165.25
38975;0,36.25;22.25,106.25;291,9.5;318.25,123.75;11,32.75;46.75,176.5;237,57.5;270.5,195.5
46803;0,36.25;52.5,71;289.5,35.5;317.25,124;11,32.75;46.75,176.5;262.75,23.75;289.5,198.25
33193;0,36.25;49.5,76;291.5,57.25;329.25,137;11,32.75;61,169.75;237,31.75;289.25,199.5
33021;0,36.25;89.25,65;290.25,65.25;362.75,145.75;11,32.75;50,145.5;239,33.5;301,183
31836;17.25,51.5;71.25,47.75;293.5,62.5;355.75,185.75;11,32.75;39.75,183.5;281.25,27;301,183
36948;4.25,26;72.5,45.5;287.75,97.25;348,190.75;20,17.75;39.75,183.5;283.25,61.25;301,183
4392;0.5,29;72.5,45.5;321.75,116.25;331.75,209.25;24.25,11.5;39.75,183.5;270.25,25.5;301,183
31085;38.25,41.5;54.75,85.75;298.75,111.5;326.75,179.75;22.5,53.5;39.75,183.5;270.25,25.5;304.5,178.5
48813;38.25,41.5;92.25,87.75;290.75,134.25;315,191.25;23,53;39.75,183.5;234,32.75;304.5,178.5
25072;38.25,41.5;92.25,87.75;273.75,145.5;301.75,219;23,49;59.25,169.75;248.25,61.5;304.5,178.5
45730;53.5,27.5;94.25,105.5;273.25,145.5;301.75,219;23,49;59.25,169.75;258,73.5;314.25,203
14716;38.75,9.5;118.25,94.5;273.25,145.5;297.75,213;23,49;77.75,171.25;260.5,50;314.25,203
27144;61.5,12.25;118,94;283.75,135.75;297.75,213;23.75,48.5;72,140.5;283,40;314.25,203
21280;64.25,8.75;118,94;283.75,135.75;322.75,220.75;14,79.5;72,140.5;257,51.75;287.5,191.25
44127;64.25,8.75;138,106;250.25,129.75;352,213;33.25,93.5;71.5,140.75;257,51.75;290.75,184.25
12155;97.75,1.75;164.25,108.5;250.25,129.75;363.75,203;38.5,99.75;71,140.75;251.5,54;290.75,184.25
20858;71.75,2.25;171,123.25;244.5,120.5;364.75,202.25;38.5,99.75;71,140.75;221,48.75;290.75,184.25
22928;64.25,10;181.5,119;242,144.25;364.75,202.25;68.25,102.5;88,124.5;221,48.75;290.75,184.25
31849;64,18.75;174.25,88.5;269.25,162.75;349,191;68.25,102.5;81.5,150.25;224,49;290.75,184.25
8827;48.25,39.75;174.25,88.5;251.5,135.25;338.75,222.75;68.25,102.5;69.75,130.5;224,49;292.5,210
42252;41.75,40;182.75,50.75;260.5,166;338.5,223.25;68.25,102.5;106,144.25;202.25,21.5;292.5,210
2007;41.75,40;188.75,52.75;260.5,166;338.5,223.25;89.5,100.5;116.25,142.5;224,15.75;291.5,185.25
16749;42.5,12.75;188.75,52.75;245.25,163.75;327.25,208.75;88.5,100;133,162.75;194.25,9.75;291.5,185.25
24193;46.75,3.25;175.5,89.25;242.75,183.25;314.5,217.75;89.75,100;150,152.25;194.25,9.75;291.5,185.25
39376;59.5,30.25;179.25,104.5;242.75,183.25;318.25,208.25;89.75,100;183.25,150;193.5,9.5;291.5,185.25
11262;59.5,30.25;160,126.25;218.75,195.5;316.75,205.5;88.5,100;183.25,150;183.75,38.25;265.25,188.5
40492;34.5,48.75;141.75,107;237.5,197.25;330.25,183.75;97.75,84;183.25,150;183.75,38.25;237.5,169.5
51055;34.5,48.75;109.5,97.25;237,196.75;366.25,201.25;96.75,83;183.25,154;183.75,38.25;214,171
48869;34.5,48.75;77.25,97.25;237,196.75;337.25,176.25;96.75,83;169.5,187.5;183.75,38.25;224.5,171.25
36245;34.5,48.75;96.25,101;253.75,199;309,180.25;96.75,83;169.25,187;191.75,47.25;228,190.5
33086;34.5,48.75;109,127.75;236.25,221;309,180.25;119.5,104.5;183.5,192.25;206,68.75;251.75,202.25
9350;34.5,48.75;109,127.75;236.25,221;317.75,178.5;104.5,113.5;194.5,207.75;205,56.5;266.25,210.25
51186;73.75,38.5;95.5,109;236.25,221;325.25,197.5;104.5,113.5;196,212.75;205.5,57.25;266.25,210.25
12786;86.5,23;95.25,108.25;236.25,221;310,219.75;102.75,112.5;166.5,201;227.5,33.25;266.25,210.25
40854;95,43;96.5,69.75;236.25,221;343.25,213.5;102.75,113;166.5,201;245,48.5;254.25,206.25
47380;96.25,1.75;96.5,70.75;223.5,195.5;343.25,213.5;144,100.25;165.25,199;245,48.5;298.75,203.75
41539;72.25,26.25;125.25,75.25;223.5,195.5;341,215;146.75,133.75;165.75,199;245,48.5;306,185
42141;45.25,4.25;121,51;233.25,216;341,215;146.75,133.75;167.5,208.25;244.5,74;303.25,158
51458;50.5,24.5;120.5,68;233.25,216;341,215;146.75,133.75;177,208.75;244,73.75;296.75,184
46019;50.5,24.5;133,54.25;236.75,187;342,209.5;141.75,162;163.75,207.25;250.75,108.5;296.75,184
48930;45.75,41.5;136,54;216.5,177;362.25,221.75;140.75,162.25;163.75,207.25;260.25,121.25;296.75,184
48033;16.75,46.75;119.75,59.5;216.75,178.75;362.25,221.75;116.75,161.75;165.25,199;244,135.5;296.75,184
6556;16.75,46.75;138.75,80.5;216.75,178.75;356.25,186.25;116.75,161.75;154.25,205.5;243,112.75;282.75,207.5
49563;46.75,70.5;138.75,80.5;218.5,180.25;351.75,182.25;88.5,182.25;154.25,205.5;243,112.75;268.5,172.75
35082;62,86;145.75,43.5;216.75,178.75;351.75,182.25;78,150.25;154.25,205.5;240,114.75;290.75,181
45237;62,86;174.5,30.25;216.75,178.75;331.25,204.75;110.25,169.5;168,208;240,114.75;290.75,181
35583;64.75,61.5;183.75,10.25;216.75,178.75;304,210.75;112.5,144;168,208;240,114.75;290.75,181
7402;93.75,54.5;183,13.25;216.75,178.75;308,208.25;121.5,171.5;168,208;240,114.75;285,171
32255;91.75,60;183,13.25;224,144.5;325.5,221.25;111,173.5;168,208;240,114.75;285,172
9343;83.75,83.5;183,13.25;254.75,133.25;324,196.75;111,173.5;160,209.75;217,138.75;285,172
18542;70.5,83;183,13.25;254.75,133.25;298.5,179.75;109.75,176.75;188,213.25;195.75,146.75;285,172
27378;70.5,83;214.25,13.5;245,113.5;307,193.5;109.75,176.75;188,213.25;207.25,168.75;299.5,144.75
11401;43.5,82.75;214.25,13.5;245,113.5;307,193.5;121.75,191.25;172.75,212.75;189.25,171;316.75,134
42943;65.25,85.25;242.5,9.75;245,113.5;316.75,192;121.25,191.5;171.5,217;189.25,171;305,151.5
45162;65.25,85.25;242.5,9.75;248.25,91;327.25,166;121.25,191.5;171.5,217;178,191.25;330,152.75
32185;72,83.5;242.5,9.75;266.5,73;327.25,166;102.25,168.5;171,217;213.25,175.75;328.75,153
35809;55.5,87.25;242.5,9.75;266.75,66.75;337.25,182.25;68,168.75;186,222;213.25,175.75;337.75,123.5
42040;66.75,91.75;242.5,9.75;266.75,68.25;337.25,182.25;52,172.5;184.5,220.25;194,152;310.75,108.75
45899;67.5,89.75;235.75,10.25;267.25,72.5;350.75,210.5;52,172.5;184.75,210.75;194,152;316.25,111.5
4074;82.75,75.75;249.25,24.75;284.5,43.75;350.75,210.5;52,172.5;188.75,213.25;218.5,172.25;285,131.75
48662;94.5,82.5;243.75,39.5;290.25,30.5;330,182;61.25,139.5;188.75,213.25;218.5,172.25;289,129.75
3200;83.5,61;243.75,39.5;303.5,4.5;304.25,173.5;81,172.25;188.75,213.25;219.5,176.5;299.25,159.75
40135;71.5,28.25;243,43.75;300,17.25;304.25,175.5;81,172.25;188.75,213.25;219.5,140.25;265.25,145.5
47567;97.5,9.75;243,43.75;299.5,18;303.75,209;85,172.25;188.75,213.25;206.75,157.5;265.25,145.5
2626;97.5,9.75;243,43.75;288.75,10.75;317.75,223.25;78.25,136.75;170,205;206,158.25;235.5,148.75
44593;82.75,10;269.5,71.75;288.75,10.75;317.75,223.25;44.75,135.5;170.25,199;198.25,175.75;236.25,148.25
37112;82.75,10;256.5,90;303.75,36.5;317.75,223.25;72.25,107.5;170.25,199;173.75,152.75;236.25,148.25
29291;67.5,30;243,97.75;309,34.75;317.75,223.25;72.25,107.5;148,169.25;170,139.5;263,153.5
38699;61.75,4.75;243,97.75;309,34.75;316.5,189.25;70.5,74.5;148,169.25;178.25,138;296.25,143.5
17937;45.25,14.25;236.75,93.5;305.75,16.75;316.5,189.25;61.25,98.75;114.5,153.25;179,138.5;296.25,143.5
44522;34.25,50;236.75,93.5;305.75,16.75;316.5,189.25;32.5,122;107.5,143.75;179,138.5;312.75,165.5
43048;14.5,30.5;240.5,95.75;305.75,16.75;321.75,205;9.25,153.5;102.75,134;177.25,140.25;312.75,165.5
42055;14.5,30.5;230,123.25;306.25,17.25;354.75,207.5;7,153.25;107.5,142.25;181.5,166.75;312.75,165.5
